Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Couch Slouch,D.R.I.,Dealing With It! (Millennium Edition), 1983,82120,4,0.179,0.979,10,-7.735,1,0.155,0.0000767,0.416,0.155,0.0491,136.812,29
I Don't Need Society,D.R.I.,The Dirty Rotten CD, 1983,76946,4,0.379,0.922,5,-5.693,1,0.175,0.00165,0.068,0.256,0.352,119.149,26
Nursing Home Blues,D.R.I.,Dealing With It! (Millennium Edition), 1983,228373,4,0.173,0.96,0,-9.086,1,0.0607,0.0000499,0.102,0.0858,0.349,83.673,19
Suit And Tie Guy,D.R.I.,Four of a Kind, 1983,224211,4,0.287,0.516,1,-15.612,1,0.0454,0.0000185,0.123,0.0789,0.62,139.78,27
Thrashard,D.R.I.,Thrash Zone, 1983,219866,4,0.379,0.823,2,-10.902,0,0.074,0.000203,0.00631,0.871,0.51,152.152,42
Ain't Nothing To Do,Dead Boys,Night Of The Living Dead Boys, 1977,165400,4,0.133,0.925,9,-7.141,1,0.094,0.476,0.286,0.922,0.0433,83.704,5
All This And More - Live Halloween 1986,Dead Boys,Return Of The Living Dead Boys - Halloween Night 1986 (Live), 1986,171572,4,0.271,0.943,7,-4.143,1,0.0657,0.00173,0.0000347,0.231,0.399,134.559,2
Flame Thrower Love - Live Halloween 1986,Dead Boys,Return Of The Living Dead Boys - Halloween Night 1986 (Live), 1986,127218,4,0.17,0.947,9,-4.323,1,0.0792,0.00189,0.00156,0.514,0.316,152.923,1
High Tension Wire - Live at Max's Kansas City Halloween 1976,Dead Boys,Ignorance In Action (The Rarities), 1976,250615,4,0.342,0.864,9,-6.57,0,0.0563,0.11,0.00389,0.118,0.232,116.164,9
I Need Lunch - Live at Max's Kansas City Halloween 1976,Dead Boys,Ignorance In Action (The Rarities), 1976,256363,4,0.301,0.831,9,-7.226,1,0.084,0.0256,0.0139,0.732,0.144,118.69,7
I Won't Look Back,Dead Boys,Night Of The Living Dead Boys, 1977,172200,4,0.275,0.916,6,-7.508,0,0.0715,0.612,0.0138,0.991,0.0756,88.222,5
Not Anymore,Dead Boys,"Young, Loud And Snotty", 1977,221173,4,0.354,0.753,2,-10.479,0,0.0632,0.0174,0.00124,0.171,0.581,116.116,25
Search And Destroy - Live Halloween 1986,Dead Boys,Return Of The Living Dead Boys - Halloween Night 1986 (Live), 1986,223747,4,0.149,0.954,6,-5.106,1,0.118,0.0000715,0.0000434,0.15,0.342,185.047,1
Sonic Reducer,Dead Boys,Night Of The Living Dead Boys, 1977,181266,4,0.245,0.928,10,-6.02,0,0.0901,0.328,0.00927,0.348,0.0458,94.342,10
What Love Is - Live at Max's Kansas City Halloween 1976,Dead Boys,Ignorance In Action (The Rarities), 1976,152174,4,0.303,0.91,9,-6.115,1,0.0637,0.361,0.000286,0.809,0.293,85.735,8
Bikeage,Descendents,Milo Goes to College, 1982,134066,4,0.251,0.86,5,-8.505,1,0.0517,0.00121,0,0.356,0.749,194.06,45
Clean Sheets,Descendents,All, 1982,194712,4,0.286,0.954,7,-3.761,1,0.114,0.00413,0,0.209,0.622,186.504,34
Coolidge,Descendents,All, 1982,167144,4,0.275,0.927,7,-4.782,1,0.195,0.00353,0.00000149,0.279,0.34,194.963,43
Everything Sux,Descendents,Everything Sucks, 1996,90200,4,0.374,0.997,4,-5.902,1,0.0725,0.176,0,0.405,0.332,104.523,46
Good Good Things,Descendents,I Don't Want to Grow Up, 1982,142333,4,0.323,0.857,0,-6.233,1,0.0427,0.0633,0,0.104,0.544,177.204,54
Hope,Descendents,Milo Goes to College, 1982,120333,4,0.502,0.898,2,-8.912,1,0.0469,0.00164,0,0.336,0.765,117.246,54
I'm The One,Descendents,Everything Sucks, 1982,135133,4,0.391,0.968,0,-6.324,1,0.0624,0.0102,0.0000701,0.446,0.647,90.483,52
Myage,Descendents,Milo Goes to College, 1982,120800,4,0.463,0.889,1,-10.384,1,0.0652,0.000322,0.0000837,0.123,0.503,98.264,50
Suburban Home,Descendents,Milo Goes to College, 1982,100333,3,0.385,0.776,2,-9.347,1,0.0389,0.0000382,0,0.346,0.833,99.772,53
When I Get Old,Descendents,Everything Sucks, 1982,149600,4,0.3,0.983,0,-6.314,1,0.0835,0.0152,0.0000311,0.379,0.526,151.658,44
Decontrol,Discharge,Why?, 1980,154613,4,0.28,0.918,3,-3.611,0,0.087,0.00000203,0.289,0.136,0.192,113.504,19
Hear Nothing See Nothing Say Nothing,Discharge,Never Again, 1982,89386,4,0.297,0.961,1,-4.473,1,0.0586,0.00000292,0.75,0.339,0.0877,77.946,37
New World Order,Discharge,End of Days, 1990,183899,4,0.19,0.991,0,-3.462,1,0.177,0.0000147,0.0873,0.317,0.441,172.523,35
State Violence/State Control,Discharge,Hear Nothing See Nothing Say Nothing, 1982,164626,4,0.398,0.99,11,-4.703,1,0.166,0.0000534,0.0023,0.0943,0.603,101.442,28
Warning,Discharge,Never Again, 1983,168853,4,0.321,0.967,9,-4.554,1,0.136,0.00154,0.00483,0.321,0.31,128.013,21
Do Or Die,Dropkick Murphys,Do Or Die, 1998,110625,4,0.217,0.978,9,-3.439,1,0.0545,0.0000976,0,0.497,0.606,137.002,29
Fields of Athenry,Dropkick Murphys,Blackout, 2005,264473,4,0.29,0.877,3,-3.246,1,0.0511,0.0000511,0,0.209,0.281,140.292,43
Fortunate Son,Dropkick Murphys,Singles Collection Vol. 2, 2004,158880,4,0.235,0.988,11,-2.222,1,0.108,0.00189,0,0.528,0.296,148.575,38
Going Out In Style,Dropkick Murphys,Going Out In Style, 2011,248586,4,0.205,0.987,10,-2.662,1,0.158,0.00203,0,0.334,0.739,152.002,43
I'm Shipping Up To Boston,Dropkick Murphys,The Warrior's Code, 2005,153600,4,0.452,0.928,2,-3.133,1,0.079,0.000706,0.000637,0.226,0.6,129.188,68
Rose Tattoo,Dropkick Murphys,SIGNED and SEALED in BLOOD, 2005,306520,4,0.323,0.912,9,-2.059,0,0.0425,0.0219,0,0.373,0.609,108.084,61
The State Of Massachusetts,Dropkick Murphys,The Meanest Of Times, 2007,232186,4,0.398,0.967,2,-3.232,0,0.0611,0.000945,0.00000571,0.18,0.611,111.676,56
A-OK,Face To Face,Big Choice (Remastered), 1998,177360,4,0.378,0.959,0,-5.052,1,0.0796,0.0000333,0,0.252,0.578,143.535,39
Disconnected,Face To Face,Don't Turn Away, 1993,207733,4,0.427,0.978,11,-6.639,1,0.0774,0.0307,0.00000701,0.335,0.747,193.707,48
No Authority,Face To Face,Don't Turn Away, 1998,162826,4,0.517,0.98,4,-6.59,1,0.0466,0.00667,0.0013,0.0346,0.555,109.027,28
Ordinary,Face To Face,Face to Face (Remastered), 2000,167733,4,0.497,0.965,0,-4.027,1,0.0493,0.00132,0.000134,0.192,0.598,112.968,41
Under The Gun,Face To Face,Face To Face + bonus tracks, 1996,278333,4,0.694,0.92,2,-6.631,0,0.0378,0.00125,0.107,0.122,0.72,118.019,3
Walk Away,Face To Face,Don't Turn Away, 1996,129360,4,0.403,0.984,7,-6.32,1,0.045,0.0152,0.00000101,0.128,0.745,121.348,21
Beef Bologna,Fear,The Record, 1982,106890,4,0.388,0.801,9,-9.99,1,0.198,0.00267,0.0000479,0.118,0.0939,104.922,27
Bomb the Russians,Fear,More Beer (35th Anniversary Edition), 1982,50508,4,0.504,0.953,5,-3.011,0,0.0521,0.0948,0,0.241,0.813,108.63,18
Camarillo,Fear,The Record, 1982,69075,4,0.491,0.922,7,-7.315,1,0.0794,0.0121,0,0.319,0.373,101.092,23
Foreign Policy,Fear,The Record, 1982,134117,4,0.518,0.935,4,-8.638,1,0.104,0.00142,0.00619,0.173,0.428,94.92,19
I Believe I'll Have Another Beer,Fear,Have Another Beer With Fear (Deluxe Edition), 1982,169813,4,0.26,0.896,4,-4.119,1,0.159,0.000305,0.00356,0.109,0.374,195.918,24
I Don't Care About You,Fear,The Record, 1982,109915,4,0.274,0.995,9,-8.042,1,0.129,0.000251,0.0000303,0.0828,0.125,188.388,37
I Love Living in the City,Fear,The Record, 1982,125042,4,0.542,0.914,2,-8.058,0,0.0718,0.00102,0,0.486,0.339,95.766,38
Let's Have a War,Fear,The Record, 1982,140672,4,0.417,0.883,11,-7.775,0,0.058,0.0127,0,0.362,0.369,99.679,29
New York's Alright If You Like Saxophones,Fear,The Record, 1982,128571,4,0.432,0.826,9,-7.448,1,0.136,0.000262,0.0000251,0.0362,0.493,76.71,25
The Mouth Don't Stop (The Trouble Today With Women Is) [Rough Mix],Fear,More Beer (35th Anniversary Edition), 1982,128843,4,0.459,0.923,11,-4.605,0,0.0387,0.000711,0.0216,0.132,0.759,96.761,4
Black Friday Rule,Flogging Molly,Swagger, 2008,421106,4,0.304,0.95,11,-6.527,0,0.195,0.0288,0.00434,0.369,0.634,142.444,41
Drunken Lullabies,Flogging Molly,Drunken Lullabies, 2002,230640,4,0.386,0.966,7,-4.258,1,0.0716,0.00152,0.0248,0.0791,0.862,155.994,61
Float,Flogging Molly,Float, 2008,293440,4,0.543,0.665,9,-6.222,0,0.026,0.00318,0.0166,0.104,0.342,105.996,45
If I Ever Leave This World Alive,Flogging Molly,Drunken Lullabies, 2004,201533,4,0.353,0.615,2,-5.932,1,0.0294,0.227,0.00000916,0.0506,0.492,104.829,55
Rebels of the Sacred Heart,Flogging Molly,Drunken Lullabies, 2008,311893,4,0.252,0.926,2,-4.146,1,0.083,0.0231,0.00000483,0.106,0.43,153.814,39
Salty Dog,Flogging Molly,Swagger, 2002,141426,4,0.373,0.934,7,-6.581,1,0.085,0.00742,0.000184,0.398,0.776,79.949,53
The Kilburn High Road,Flogging Molly,Drunken Lullabies, 2008,223280,4,0.287,0.992,4,-3.36,0,0.0623,0.000726,0.00655,0.213,0.47,143.784,36
The Seven Deadly Sins - Live,Flogging Molly,Live at the Greek Theatre, 2008,243120,4,0.224,0.988,2,-2.962,1,0.22,0.282,0.000114,0.941,0.455,157.621,15
The Worst Day Since Yesterday,Flogging Molly,Swagger, 2004,218786,4,0.347,0.489,2,-7.662,1,0.0341,0.287,0.00000209,0.221,0.361,136.16,46
What's Left of the Flag - Live,Flogging Molly,Whiskey On a Sunday, 2008,253480,4,0.178,0.981,7,-4.769,1,0.137,0.00747,0.00607,0.821,0.387,160.889,16
Bad Mouth,Fugazi,13 Songs, 1995,155626,4,0.456,0.649,9,-8.315,1,0.036,0.000593,0.564,0.321,0.64,91.173,56
Blueprint,Fugazi,Repeater + 3 Songs, 1989,232933,4,0.498,0.78,9,-7.661,1,0.0309,0.00173,0.00141,0.117,0.177,100.187,39
I'm So Tired,Fugazi,Instrument Soundtrack, 1990,118933,4,0.328,0.13,6,-15.094,1,0.0307,0.892,0.0129,0.122,0.169,78.454,66
Life And Limb,Fugazi,The Argument, 1990,189693,4,0.535,0.57,1,-12.264,1,0.0292,0.0383,0.786,0.15,0.836,142.332,45
Long Division,Fugazi,Steady Diet Of Nothing, 1995,132493,4,0.754,0.814,11,-8.535,0,0.0496,0.123,0.838,0.0847,0.626,132.969,44
Merchandise,Fugazi,Repeater + 3 Songs, 1990,178960,4,0.52,0.767,4,-9.119,0,0.0936,0.0236,0.00611,0.0743,0.58,179.632,40
Repeater,Fugazi,Repeater + 3 Songs, 1990,181386,4,0.386,0.735,9,-9.354,1,0.0515,0.000167,0.00971,0.344,0.79,131.693,40
Suggestion,Fugazi,13 Songs, 1989,284146,4,0.477,0.503,2,-8.322,1,0.0515,0.00114,0.4,0.0844,0.38,89.219,45
Waiting Room,Fugazi,13 Songs, 1989,173266,4,0.618,0.716,6,-8.224,0,0.0367,0.00473,0.822,0.179,0.545,92.174,65
Armalite Rifle,Gang Of Four,Yellow, 1982,182495,4,0.537,0.575,8,-6.517,1,0.0382,0.0000159,0.487,0.0872,0.837,140.707,14
Damaged Goods,Gang Of Four,Entertainment!, 1979,206786,4,0.75,0.79,0,-5.935,1,0.116,0.0148,0.0115,0.111,0.946,157.432,49
Ether,Gang Of Four,Entertainment!, 1981,231093,4,0.533,0.881,4,-5.929,0,0.183,0.00105,0.00111,0.0645,0.515,164.87,30
I Found That Essence Rare,Gang Of Four,Entertainment!, 1979,194346,4,0.586,0.939,9,-5.253,1,0.19,0.0166,0.00193,0.053,0.963,160.724,34
Natural's Not In It,Gang Of Four,Entertainment!, 1979,186493,4,0.765,0.867,0,-5.401,1,0.243,0.0642,0.011,0.017,0.859,161.529,41
Not Great Men,Gang Of Four,Entertainment!, 1981,186560,4,0.831,0.652,11,-5.658,0,0.0693,0.00282,0.31,0.0876,0.782,123.892,29
To Hell With Poverty!,Gang Of Four,"Another Day, Another Dollar", 1981,299600,4,0.413,0.881,7,-9.636,1,0.118,0.000422,0.0367,0.19,0.244,133.779,27
What We All Want,Gang Of Four,Solid Gold, 1981,299640,4,0.674,0.817,11,-10.359,0,0.0354,0.0146,0.00117,0.125,0.844,111.776,28
Big Women,GBH,"Leather, Bristles, Studs and Acne", 1982,137533,4,0.442,0.821,0,-12.686,1,0.0749,0.0000135,0.519,0.341,0.744,143.638,32
Children of Dust,GBH,City Baby's Revenge, 1982,209066,4,0.359,0.946,2,-3.82,1,0.111,0.00000426,0.16,0.0788,0.453,122.395,8
Give Me Fire,GBH,City Baby's Revenge, 1982,171786,4,0.34,0.958,4,-3.752,1,0.0638,0.000122,0.000035,0.109,0.621,78.81,29
I Am the Hunted,GBH,City Baby Attacked By Rats (Expanded Version), 1982,172706,4,0.228,0.988,2,-4.9,1,0.11,0.000106,0.00000952,0.259,0.0999,154.907,19
Race Against Time,GBH,"Leather, Bristles, Studs and Acne", 1982,164066,4,0.302,0.859,1,-9.645,0,0.071,0.000004,0.0972,0.138,0.404,147.182,30
Sick Boy,GBH,City Baby Attacked By Rats (Expanded Version), 1982,152746,4,0.28,0.973,11,-5.018,0,0.132,0.0000445,0.000831,0.317,0.29,152.556,41
The Forbidden Zone,GBH,City Baby's Revenge, 1982,189053,4,0.332,0.944,9,-3.845,0,0.126,0.000171,0.000284,0.169,0.224,103.491,19
Dancing with Myself,Generation X,Kiss Me Deadly, 1981,228080,4,0.387,0.947,4,-3.141,1,0.0697,0.0000465,0.612,0.662,0.834,176.371,63
Kiss Me Deadly - 2002 Remaster,Generation X,Generation X (2002 Remaster), 1981,263960,4,0.272,0.802,5,-4.613,0,0.15,0.0434,0,0.209,0.41,151.183,38
Wild Youth - 2002 Remaster,Generation X,Generation X (2002 Remaster), 1981,173200,4,0.263,0.94,9,-3.485,1,0.0998,0.233,0.0183,0.706,0.471,161.532,25
American Leather,Germs,GI, 1979,71400,4,0.289,0.949,2,-7.286,1,0.146,0.0000178,0.0748,0.302,0.69,130.154,25
Communist Eyes,Germs,GI, 1979,135533,4,0.361,0.895,7,-8.816,1,0.0519,0.00000945,0.00783,0.402,0.855,126.523,37
Forming,Germs,Media Blitz, 1979,97360,4,0.319,0.892,4,-8.062,1,0.214,0.0661,0.0764,0.369,0.258,80.79,25
Land of Treason,Germs,GI, 1979,129600,4,0.45,0.99,4,-7.45,0,0.0686,0.000287,0,0.327,0.461,125.561,30
Lexicon Devil,Germs,GI, 1979,104360,4,0.504,0.877,4,-7.469,0,0.053,0.000242,0.00000266,0.293,0.821,106.272,49
Manimal,Germs,GI, 1979,131106,4,0.318,0.956,11,-8.354,0,0.053,0.0000297,0.0406,0.16,0.319,105.879,30
"Richie Dagger's Crime - Live at the Starwood, December 3, 1980",Germs,"Live At The Starwood Dec 3, 1980", 1981,116173,4,0.226,0.661,6,-17.86,0,0.101,0.0425,0.858,0.363,0.318,138.394,3
Sex Boy (Studio Recording 1977),Germs,Media Blitz, 1977,128880,4,0.516,0.634,7,-11.809,1,0.0506,0.984,0.0587,0.111,0.652,96.633,9
We Must Bleed,Germs,GI, 1979,185266,4,0.295,0.968,11,-7.587,0,0.0731,0.0000227,0.502,0.371,0.256,108.991,34
What We Do Is Secret,Germs,GI, 1979,44400,4,0.518,0.816,0,-6.508,1,0.109,0.0000606,0.0000242,0.344,0.843,112.28,37
Gorilla Biscuits,Gorilla Biscuits,Start Today, 1988,82866,4,0.372,0.937,9,-6.493,1,0.134,0.00037,0,0.664,0.17,106.447,30
High Hopes,Gorilla Biscuits,Gorilla Biscuits, 1988,144933,4,0.291,0.731,11,-11.84,1,0.0415,0.0000152,0.254,0.0571,0.344,110.644,32
Hold Your Ground,Gorilla Biscuits,Gorilla Biscuits, 1988,122000,4,0.233,0.863,10,-10.656,1,0.0769,0.0000104,0.00174,0.0337,0.389,168.058,34
New Direction,Gorilla Biscuits,Start Today, 1988,149133,4,0.356,0.983,6,-4.354,1,0.136,0.00321,0.00000239,0.246,0.19,137.374,42
No Reason Why,Gorilla Biscuits,Gorilla Biscuits, 1988,112800,4,0.354,0.917,9,-10.522,1,0.0704,0.0000147,0.000966,0.0664,0.452,110.646,26
Sitting Around at Home,Gorilla Biscuits,Start Today, 1988,104133,4,0.536,0.759,9,-7.402,1,0.032,0.000262,0.0000576,0.0969,0.685,105.472,28
Start Today,Gorilla Biscuits,Start Today, 1988,123706,4,0.53,0.944,11,-6.321,1,0.0611,0.000178,0.00156,0.0529,0.431,106.908,41
Celebrated Summer,Husker Du,New Day Rising, 1985,242733,4,0.288,0.927,7,-10.055,1,0.0578,0.0787,0.081,0.388,0.185,100.509,30
Could You Be the One?,Husker Du,Warehouse: Songs And Stories, 1986,155200,4,0.33,0.866,0,-9.728,1,0.0568,0.00231,0.0185,0.368,0.672,162.256,30
Diane,Husker Du,Metal Circus (EP), 1985,279866,4,0.346,0.775,7,-12.749,1,0.0346,0.0000374,0.357,0.0842,0.613,126.787,26
Hardly Getting over It,Husker Du,Candy Apple Grey, 1985,366933,4,0.326,0.668,7,-13.801,1,0.0449,0.0211,0.893,0.0884,0.419,178.742,24
Never Talking to You Again,Husker Du,Zen Arcade, 1985,100933,4,0.403,0.381,4,-14.679,0,0.0338,0.841,0,0.087,0.504,137.209,34
New Day Rising,Husker Du,New Day Rising, 1985,154866,4,0.0866,0.826,0,-11.294,1,0.0429,0.00235,0.00665,0.0771,0.546,199.456,32
Pink Turns to Blue,Husker Du,Zen Arcade, 1985,162933,4,0.242,0.96,9,-11.85,1,0.0638,0.0000509,0.392,0.12,0.323,153.439,37
She Floated Away,Husker Du,Warehouse: Songs And Stories, 1985,218666,3,0.25,0.929,4,-10.45,0,0.0418,0.00594,0.215,0.318,0.245,94.485,17
Something I Learned Today,Husker Du,Zen Arcade, 1985,122560,4,0.406,0.963,4,-10.842,1,0.0408,0.0033,0.000515,0.11,0.342,104.729,41
The Girl Who Lives On Heaven Hill,Husker Du,New Day Rising, 1985,186466,4,0.288,0.949,0,-10.167,1,0.0567,0.0367,0.961,0.303,0.167,165.364,29
I'm Alive,Johnny Thunders,I'm Alive / Verbal Expressions, 1978,176920,4,0.517,0.828,4,-10.618,1,0.0568,0.229,0.00747,0.147,0.456,96.835,47
In Cold Blood,Johnny Thunders,Hurt me, 1978,146906,4,0.468,0.664,0,-13.156,1,0.0606,0.611,0.00224,0.665,0.481,131.34,13
It's Not Enough,Johnny Thunders,It's Not Enough, 1978,248506,4,0.48,0.657,2,-9.918,1,0.0297,0.0145,0.0523,0.0726,0.599,117.446,16
You Can't Put Your Arms Round a Memory,Johnny Thunders,So Alone, 1978,226079,4,0.478,0.679,2,-7.645,1,0.0348,0.0674,0.0248,0.224,0.295,121.985,38
Born to Lose,Johnny Thunders & The Heartbreakers,L.A.M.F. - The Lost '77 Mixes, 1977,184120,4,0.395,0.892,11,-8.07,1,0.0537,0.0797,0,0.706,0.67,148.43,42
Chinese Rocks - Remastered,Johnny Thunders & The Heartbreakers,L.A.M.F. (The Lost '77 Mixes) [40th anniversary: remaster], 1977,176493,4,0.428,0.855,7,-8.093,1,0.0502,0.00467,0.0000255,0.365,0.705,139.399,31
One Track Mind,Johnny Thunders & The Heartbreakers,L.A.M.F. - The Lost '77 Mixes, 1977,152933,4,0.202,0.673,0,-9.073,1,0.0701,0.0969,0.000164,0.114,0.731,158.172,26
Pirate Love,Johnny Thunders & The Heartbreakers,L.A.M.F. - The Lost '77 Mixes, 1977,236786,4,0.431,0.637,0,-8.85,1,0.044,0.223,0.00039,0.0611,0.425,131.706,24
Change,Killing Joke,Down by the River, 1980,246853,4,0.427,0.873,5,-7.569,1,0.0595,0.00061,0.481,0.757,0.569,141.398,8
Eighties,Killing Joke,Laugh? I Nearly Bought One!, 1984,231133,4,0.404,0.946,2,-11.561,0,0.0881,0.000217,0.00164,0.411,0.437,151.716,34
Eighties - 2007 Digital Remaster,Killing Joke,Night Time, 1984,239280,4,0.394,0.965,3,-8.837,1,0.139,0.000744,0.0161,0.337,0.346,151.918,54
Empire Song - 2005 Digital Remaster,Killing Joke,Revelations, 1982,198253,4,0.379,0.809,5,-8.411,0,0.0534,0.0000119,0.828,0.531,0.364,146.4,20
Europe - 2007 Digital Remaster,Killing Joke,Night Time, 1980,274293,4,0.508,0.919,5,-8.106,1,0.0325,0.122,0.323,0.0971,0.652,149.511,23
Love Like Blood,Killing Joke,Night Time, 1985,408826,4,0.472,0.757,7,-8.308,0,0.0402,0.0323,0.508,0.199,0.566,125.78,47
Requiem - 2005 Digital Remaster,Killing Joke,Killing Joke, 1980,225466,4,0.497,0.685,10,-7.293,1,0.028,0.0435,0.0401,0.152,0.743,172.206,37
Sanity - Chris Kimsey Mix,Killing Joke,Brighter Than A Thousand Suns (Restored Mixes Version), 1980,255320,4,0.655,0.809,3,-9.211,1,0.0265,0.00601,0.000292,0.289,0.905,128.023,23
Wardance - 2005 Digital Remaster,Killing Joke,Killing Joke, 1980,225813,4,0.391,0.981,11,-8.086,0,0.0487,0.000184,0.762,0.37,0.43,144.514,31
Andres,L7,Hungry For Stink, 1992,183973,4,0.521,0.869,9,-7.17,1,0.0553,0.0000709,0.629,0.0908,0.709,129.021,40
Everglade,L7,Bricks Are Heavy, 1992,196866,4,0.535,0.937,4,-9.905,1,0.035,0.000037,0.0107,0.0971,0.594,141.473,35
Fast and Frightening - Remastered,L7,Smell the Magic, 1992,160093,4,0.289,0.908,4,-7.961,1,0.0482,0.00117,0.000413,0.128,0.545,179.322,37
Monster,L7,Bricks Are Heavy, 1992,176573,4,0.629,0.802,9,-8.867,1,0.0321,0.0000081,0.704,0.141,0.857,121.159,31
Pretend We're Dead,L7,Bricks Are Heavy, 1992,235093,4,0.569,0.789,4,-8.559,1,0.0309,0.00000562,0.642,0.0811,0.911,115.152,57
Shove - Remastered,L7,Smell the Magic, 1992,193480,4,0.386,0.916,4,-6.24,0,0.0519,0.000404,0.495,0.0855,0.321,100.238,39
Slide,L7,Bricks Are Heavy, 1992,218800,4,0.397,0.885,7,-9.081,1,0.0334,0.00000368,0.0678,0.271,0.85,88.117,28
Wargasm,L7,Bricks Are Heavy, 1992,162440,4,0.366,0.858,7,-9.215,1,0.0413,0.00000129,0.646,0.0747,0.816,159.278,42
Beer Goggles,Lagwagon,Duh, 1998,163120,4,0.284,0.885,11,-4.61,1,0.0753,0.000297,0.0000186,0.0653,0.76,170.655,20
Bro Dependent,Lagwagon,Hoss, 1998,98933,4,0.417,0.891,9,-4.221,1,0.0623,0.000432,0.00000326,0.0998,0.859,96.374,21
May 16,Lagwagon,Let's Talk About Feelings, 1998,176960,4,0.337,0.985,2,-4.675,1,0.0787,0.000409,0.00027,0.238,0.371,103.95,50
Messengers,Lagwagon,Let's Talk About Feelings, 1998,117320,4,0.348,0.949,0,-5.04,1,0.0959,0.0119,0.0000146,0.24,0.522,106.674,28
Mr. Coffee,Lagwagon,Duh, 1998,135613,4,0.401,0.791,6,-5.23,0,0.0803,0.000851,0.00000306,0.15,0.499,108.886,29
Razor Burn,Lagwagon,Hoss, 1998,158106,4,0.31,0.935,4,-4.324,1,0.0744,0.0000629,0.000116,0.101,0.659,144.343,34
To All My Friends,Lagwagon,Double Plaidinum (Reissue), 1998,149960,4,0.396,0.559,2,-6.814,1,0.0444,0.000293,0.00000871,0.121,0.584,96.959,23
Violins,Lagwagon,Hoss, 1998,187586,4,0.45,0.948,0,-3.965,1,0.0607,0.000893,0,0.135,0.744,122.896,45
Come Together,MC5,Kick Out The Jams (Live), 1969,274960,4,0.196,0.811,2,-10.549,1,0.052,0.00146,0.654,0.937,0.534,156.343,21
I Want You Right Now,MC5,Kick Out The Jams (Live), 1969,322000,3,0.226,0.542,2,-12.078,1,0.0581,0.0234,0.101,0.397,0.364,171.584,19
Kick Out the Jams,MC5,Kick Out The Jams (Live), 1969,160533,4,0.316,0.921,2,-3.491,1,0.0708,0.00407,0,0.37,0.723,145.559,44
Looking at You,MC5,Back In The USA, 1969,181306,4,0.451,0.802,2,-5.568,1,0.048,0.226,0.00000185,0.374,0.89,92.216,35
Motor City Is Burning,MC5,Kick Out The Jams (Live), 1969,364933,3,0.356,0.682,2,-10.468,1,0.0519,0.00961,0.0122,0.979,0.748,103.17,22
Ramblin' Rose,MC5,Kick Out The Jams (Live), 1969,255026,4,0.319,0.724,6,-9.08,0,0.148,0.00473,0.000575,0.911,0.497,89.885,27
Rocket Reducer No. 62 (Rama Lama Fa Fa Fa),MC5,Kick Out the Jams, 1969,342133,4,0.161,0.955,1,-5.907,0,0.184,0.0256,0.000114,0.409,0.263,75.53,1
Shakin' Street,MC5,Back In The USA, 1969,139133,4,0.643,0.8,9,-5.182,1,0.0514,0.401,0.000219,0.191,0.853,77.826,25
Starship,MC5,Kick Out The Jams (Live), 1969,504733,4,0.196,0.692,4,-12.53,1,0.137,0.0871,0.0818,0.669,0.0559,73.18,16
The Human Being Lawnmower,MC5,Back In The USA, 1969,141693,4,0.326,0.8,9,-5.583,0,0.0572,0.0651,0.000464,0.0758,0.467,162.871,17
Born to Die - Millions of Dead Cops - Full Length,MDC,Millions of Dead Cops - Millennium Edition (Remastered), 1983,117346,4,0.462,0.982,9,-3.81,0,0.19,0.0083,0,0.596,0.154,101.966,22
Corporate Deathburger - Millions of Dead Cops - Full Length,MDC,Millions of Dead Cops - Millennium Edition (Remastered), 1983,78444,4,0.485,0.991,0,-4.002,1,0.186,0.0127,0,0.067,0.359,104.198,21
Dead Cops/America's so Straight - Millions of Dead Cops - Full Length,MDC,Millions of Dead Cops - Millennium Edition (Remastered), 1983,124808,4,0.29,0.977,11,-3.981,0,0.165,0.000289,0,0.307,0.318,114.302,23
Dick for Brains - Millions of Dead Cops - Full Length,MDC,Millions of Dead Cops - Millennium Edition (Remastered), 1983,64140,4,0.405,0.951,5,-5.543,1,0.242,0.000806,0.0000122,0.154,0.371,90.198,21
I Hate Work - Millions of Dead Cops - Full Length,MDC,Millions of Dead Cops - Millennium Edition (Remastered), 1983,56743,4,0.481,0.934,0,-4.52,1,0.213,0.0122,0,0.324,0.637,98.782,24
John Wayne Was a Nazi,MDC,Now More Then Ever, 1983,122160,4,0.384,0.917,2,-9.929,1,0.305,0.000169,0.00101,0.155,0.392,140.494,37
"Multi Death Corporations - Multi Death Corporations 7""",MDC,Millions of Dead Cops - Millennium Edition (Remastered), 1983,110376,4,0.207,0.988,4,-4.603,1,0.125,0.00215,0.00226,0.134,0.192,117.87,10
I Will Survive,Me First and the Gimme Gimmes,Are We Not Men? We Are Diva!, 1999,147906,4,0.409,0.862,7,-4.305,1,0.0812,0.00568,0,0.152,0.574,121.469,42
Leaving on a Jet Plane,Me First and the Gimme Gimmes,Have a Ball, 1999,152400,4,0.524,0.84,7,-6.156,1,0.0324,0.0000226,0.000964,0.48,0.751,94.331,38
Over the Rainbow,Me First and the Gimme Gimmes,Are a Drag, 1999,91666,4,0.487,0.912,7,-6.213,1,0.0684,0.00103,0.000172,0.278,0.601,126.269,40
