Title,Average Rating,Director,Metascore
The Pianist,8.5,Roman Polanski,85.0
Intouchables,8.5,"Olivier Nakache, Éric Toledano",57.0
Maharaja,8.5,Nithilan Saminathan,
Grave of the Fireflies,8.5,Isao Takahata,94.0
Casablanca,8.5,Michael Curtiz,100.0
C'era Una Volta Il West,8.5,Sergio Leone,82.0
Cinema Paradiso,8.5,Giuseppe Tornatore,80.0
Rear Window,8.5,Alfred Hitchcock,100.0
Modern Times,8.5,Charles Chaplin,96.0
Dear Zachary: A Letter to a Son About His Father,8.5,Kurt Kuenne,82.0
City Lights,8.5,Charles Chaplin,99.0
Senna,8.5,Asif Kapadia,79.0
20 Days in Mariupol,8.5,Mstyslav Chernov,83.0
Baraka,8.5,Ron Fricke,
Sita Ramam,8.5,Hanu Raghavapudi,
Woman in the Dunes,8.5,Hiroshi Teshigahara,
96,8.5,C. Prem Kumar,
La meglio gioventù,8.5,Marco Tullio Giordana,89.0
The Fifth Seal,8.5,Zoltán Fábri,
Intoxicated by Love,8.5,Hasan Fathi,
The Hole,8.5,Jacques Becker,
Ningen no jôken,8.5,Masaki Kobayashi,
Kumbalangi Nights,8.5,Madhu C. Narayanan,
For Sama,8.5,"Waad Al-Kateab, Edward Watts",89.0
Jersey,8.5,Gowtam Tinnanuri,
Sarpatta Parambarai,8.5,Pa. Ranjith,
Ningen no jôken,8.5,Masaki Kobayashi,
Michael Madana Kama Rajan,8.5,Singeetam Srinivasa Rao,
Aaranya Kaandam,8.5,Thiagarajan Kumararaja,
Madar,8.5,Ali Hatami,
Gol Maal,8.5,Hrishikesh Mukherjee,
Varljivo leto '68,8.5,Goran Paskaljevic,
Home,8.5,Yann Arthus-Bertrand,47.0
Zübük,8.5,Kartal Tibet,
Thalapathi,8.5,Mani Ratnam,
Çöpçüler Krali,8.5,Zeki Ökten,
Selvi Boylum Al Yazmalim,8.5,Atif Yilmaz,
Sachin,8.5,James Erskine,
Roger Waters: The Wall,8.5,"Sean Evans, Roger Waters",
Graves End,8.5,James Marlowe,
Methagu,8.5,Kittu,
BTS: Permission to Dance on Stage - LA,8.5,"Park Jun-soo, Sam Wrench",
Inglourious Basterds,8.4,Quentin Tarantino,69.0
Joker,8.4,Todd Phillips,59.0
The Dark Knight Rises,8.4,Christopher Nolan,78.0
Avengers: Endgame,8.4,"Anthony Russo, Joe Russo",78.0
The Shining,8.4,Stanley Kubrick,68.0
Alien 2,8.4,James Cameron,84.0
Apocalypse Now,8.4,Francis Ford Coppola,94.0
Memento,8.4,Christopher Nolan,83.0
Raiders of the Lost Ark,8.4,Steven Spielberg,86.0
Avengers: Infinity War,8.4,"Anthony Russo, Joe Russo",68.0
Meiyazhagan,8.4,C. Prem Kumar,
Coco,8.4,"Lee Unkrich, Adrian Molina",81.0
Spider-Man: Into the Spider-Verse,8.4,"Bob Persichetti, Peter Ramsey, Rodney Rothman",87.0
Das Leben der Anderen,8.4,Florian Henckel von Donnersmarck,89.0
WALL·E,8.4,Andrew Stanton,95.0
Amadeus,8.4,Milos Forman,87.0
Kimi No Na Wa.,8.4,Makoto Shinkai,81.0
Sunset Blvd.,8.4,Billy Wilder,94.0
Capharnaüm,8.4,Nadine Labaki,75.0
Das Boot,8.4,Wolfgang Petersen,85.0
Laapataa Ladies,8.4,Kiran Rao,
3 Idiots,8.4,Rajkumar Hirani,67.0
Paths of Glory,8.4,Stanley Kubrick,90.0
Witness for the Prosecution,8.4,Billy Wilder,76.0
The Great Dictator,8.4,Charles Chaplin,
Tengoku to Jigoku,8.4,Akira Kurosawa,90.0
Samsara,8.4,Ron Fricke,65.0
The Salt of the Earth,8.4,"Juliano Ribeiro Salgado, Wim Wenders",83.0
The Cove,8.4,Louie Psihoyos,84.0
Kaithi,8.4,Lokesh Kanagaraj,
Flåklypa Grand Prix,8.4,Ivo Caprino,
Vada Chennai,8.4,Vetrimaaran,
Sansho the Bailiff,8.4,Kenji Mizoguchi,96.0
Asuran,8.4,Vetrimaaran,
Drishyam 2,8.4,Jeethu Joseph,
Lizard,8.4,Kamal Tabrizi,
Attack on Titan: Chronicle,8.4,"Masashi Koizuka, Tetsurô Araki",
Kad porastem bicu Kengur,8.4,Radivoje Andric,
Filantropica,8.4,Nae Caranfil,
Black Friday,8.4,Anurag Kashyap,76.0
Thani Oruvan,8.4,Mohan Raja,
Apur Sansar,8.4,Satyajit Ray,
Sigur Rós: Heima,8.4,Dean DeBlois,
Mahanati,8.4,Nag Ashwin,
Profesionalac,8.4,Dusan Kovacevic,
Visaaranai,8.4,Vetrimaaran,
Taylor Swift: Folklore - The Long Pond Studio Sessions,8.4,Taylor Swift,
Muhsin Bey,8.4,Yavuz Turgul,
Pawankhind,8.4,Digpal Lanjekar,
Mudhalvan,8.4,S. Shankar,
Operatsiya 'Y' i drugie priklyucheniya Shurika,8.4,Leonid Gaidai,
Virumandi,8.4,Kamal Haasan,
Gülen Gözler,8.4,Ertem Egilmez,
The Last Crusade,8.4,Sergiu Nicolaescu,
Papanasam,8.4,Jeethu Joseph,
Pudhu Pettai,8.4,K. Selvaraghavan,
Mandela,8.4,Madonne Ashwin,
Kapicilar Krali,8.4,Zeki Ökten,
Ulidavaru Kandanthe,8.4,Rakshit Shetty,
Iruvar,8.4,Mani Ratnam,
Kannathil Muthamittal,8.4,Mani Ratnam,
Bizim Aile,8.4,Ergin Orbey,
The Wild Robot,8.3,Chris Sanders,85.0
Oppenheimer,8.3,Christopher Nolan,90.0
Good Will Hunting,8.3,Gus Van Sant,71.0
Eternal Sunshine of the Spotless Mind,8.3,Michel Gondry,89.0
Requiem for a Dream,8.3,Darren Aronofsky,71.0
American Beauty,8.3,Sam Mendes,84.0
Heat,8.3,Michael Mann,76.0
The Remarkable Life of Ibelin,8.3,Benjamin Ree,78.0
Oldeuboi,8.3,Park Chan-wook,78.0
Braveheart,8.3,Mel Gibson,68.0
Scarface,8.3,Brian De Palma,65.0
Jagten,8.3,Thomas Vinterberg,77.0
2001: A Space Odyssey,8.3,Stanley Kubrick,84.0
Once Upon a Time in America,8.3,Sergio Leone,75.0
Reservoir Dogs,8.3,Quentin Tarantino,81.0
Toy Story,8.3,John Lasseter,96.0
Incendies,8.3,Denis Villeneuve,80.0
Hamilton,8.3,Thomas Kail,88.0
Idi I Smotri,8.3,Elem Klimov,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,Stanley Kubrick,97.0
Le fabuleux destin d'Amélie Poulain,8.3,Jean-Pierre Jeunet,70.0
Lawrence of Arabia,8.3,David Lean,100.0
Up,8.3,"Pete Docter, Bob Peterson",88.0
Star Wars: Episode VI - Return of the Jedi,8.3,Richard Marquand,58.0
Mononoke-hime,8.3,Hayao Miyazaki,76.0
Double Indemnity,8.3,Billy Wilder,95.0
North by Northwest,8.3,Alfred Hitchcock,98.0
Toy Story 3,8.3,Lee Unkrich,92.0
Metropolis,8.3,Fritz Lang,98.0
Citizen Kane,8.3,Orson Welles,100.0
Vertigo,8.3,Alfred Hitchcock,100.0
To Kill a Mockingbird,8.3,Robert Mulligan,88.0
The Apartment,8.3,Billy Wilder,94.0
Singin' in the Rain,8.3,"Stanley Donen, Gene Kelly",99.0
The Sting,8.3,George Roy Hill,83.0
Jodaeiye Nader Az Simin,8.3,Asghar Farhadi,95.0
Dangal,8.3,Nitesh Tiwari,
M - Eine Stadt sucht einen Mörder,8.3,Fritz Lang,
Ikiru,8.3,Akira Kurosawa,92.0
Judgment at Nuremberg,8.3,Stanley Kramer,60.0
Taare Zameen Par,8.3,"Aamir Khan, Amole Gupte",
Voyna i mir,8.3,Sergey Bondarchuk,
Ladri Di Biciclette,8.3,Vittorio De Sica,
Shershaah,8.3,Vishnuvardhan,
Vikram,8.3,Lokesh Kanagaraj,
Sardar Udham,8.3,Shoojit Sircar,
Man with a Movie Camera,8.3,Dziga Vertov,96.0
Chhichhore,8.3,Nitesh Tiwari,
Violet Evergarden: The Movie,8.3,Taichi Ishidate,
The Rescue,8.3,"Jimmy Chin, Elizabeth Chai Vasarhelyi",84.0
Ratsasan,8.3,Ram Kumar,
Dil Bechara,8.3,Mukesh Chhabra,
Viduthalai Part 1,8.3,Vetrimaaran,
To Live,8.3,Yimou Zhang,
Akahige,8.3,Akira Kurosawa,90.0
Drishyam,8.3,Jeethu Joseph,
Children of Paradise,8.3,Marcel Carné,96.0
Scener ur ett äktenskap,8.3,Ingmar Bergman,
Hoop Dreams,8.3,Steve James,98.0
Letyat zhuravli,8.3,Mikhail Kalatozov,76.0
The Look of Silence,8.3,Joshua Oppenheimer,92.0
Jana Gana Mana,8.3,Dijo Jose Antony,
Premam,8.3,Alphonse Puthren,
2018,8.3,Jude Anthany Joseph,
Jôi-uchi: Hairyô tsuma shimatsu,8.3,Masaki Kobayashi,90.0
Won't You Be My Neighbor?,8.3,Morgan Neville,85.0
Brilliantovaya ruka,8.3,Leonid Gaidai,
Bangalore Days,8.3,Anjali Menon,
Satya,8.3,Ram Gopal Varma,
Uçurtmayi Vurmasinlar,8.3,Tunç Basaran,
Nayak,8.3,Satyajit Ray,
"Kavkazskaya Plennitsa, Ili Novye Priklyucheniya Shurika",8.3,Leonid Gaidai,
Winter on Fire: Ukraine's Fight for Freedom,8.3,Evgeny Afineevsky,79.0
Maheshinte Prathikaram,8.3,Dileesh Pothan,
Mahanagar,8.3,Satyajit Ray,
Mrtav 'ladan,8.3,Milorad Milinkovic,
Gekijôban Shingeki no Kyojin Season 2: Kakusei no hôkô,8.3,Masashi Koizuka,
Anniyan,8.3,S. Shankar,
Vuk,8.3,Attila Dargay,
Agent Sai Srinivasa Athreya,8.3,Swaroop Rsj,
Sairat,8.3,Nagraj Manjule,
Dzhentlmeny udachi,8.3,Aleksandr Seryy,
Baasha,8.3,Suresh Krishna,
Pithamagan,8.3,Bala,
Jaane Bhi Do Yaaro,8.3,Kundan Shah,
Khuda Kay Liye,8.3,Shoaib Mansoor,
Angoor,8.3,Gulzar,
Kaakkaa Muttai,8.3,M. Manikandan,
Soodhu Kavvum,8.3,Nalan Kumarasamy,
Kaun Pravin Tambe?,8.3,Jayprad Desai,
Pyaasa,8.3,Guru Dutt,
Guide,8.3,Vijay Anand,
Lucia,8.3,Pawan Kumar,
Mi nismo andjeli,8.3,Srdjan Dragojevic,
Chupke Chupke,8.3,Hrishikesh Mukherjee,
Köyden Indim Sehire,8.3,Ertem Egilmez,
Iron Maiden: Flight 666,8.3,"Sam Dunn, Scot McFadyen",
Pranchiyettan and the Saint,8.3,Ranjith,
Macskafogó,8.3,Béla Ternovszky,
Aruvi,8.3,Arun Prabhu Purushothaman,
Alai Payuthey,8.3,Mani Ratnam,
Pathemari,8.3,Salim Ahmed,
Thulladha Manamum Thullum,8.3,Ezhil,
Aloko Udapadi,8.3,"Chathra Weeraman, Bharatha Hettiarachchi",
Wicked,8.2,Jon M. Chu,73.0
Anora,8.2,Sean Baker,91.0
The Wolf of Wall Street,8.2,Martin Scorsese,75.0
Top Gun: Maverick,8.2,Joseph Kosinski,78.0
No Country for Old Men,8.2,"Ethan Coen, Joel Coen",92.0
Die Hard,8.2,John McTiernan,72.0
Spider-Man: No Way Home,8.2,Jon Watts,71.0
Jurassic Park,8.2,Steven Spielberg,68.0
Batman Begins,8.2,Christopher Nolan,70.0
Prisoners,8.2,Denis Villeneuve,70.0
Shutter Island,8.2,Martin Scorsese,63.0
Taxi Driver,8.2,Martin Scorsese,94.0
The Truman Show,8.2,Peter Weir,90.0
The Thing,8.2,John Carpenter,57.0
1917,8.2,Sam Mendes,78.0
Unforgiven,8.2,Clint Eastwood,85.0
Kishkkindha Kandam,8.2,Dinjith Ayyathan,
The Sixth Sense,8.2,M. Night Shyamalan,64.0
Green Book,8.2,Peter Farrelly,69.0
Snatch,8.2,Guy Ritchie,55.0
Klaus,8.2,"Sergio Pablos, Carlos Martínez López",65.0
A Clockwork Orange,8.2,Stanley Kubrick,77.0
There Will Be Blood,8.2,Paul Thomas Anderson,93.0
Full Metal Jacket,8.2,Stanley Kubrick,78.0
Casino,8.2,Martin Scorsese,73.0
A Beautiful Mind,8.2,Ron Howard,72.0
Kill Bill: Vol. 1,8.2,Quentin Tarantino,69.0
