Title,Average Rating,Director,Metascore
El verdugo,7.9,Luis García Berlanga,
Le peuple migrateur,7.9,"Jacques Perrin, Jacques Cluzaud, Michel Debats",82.0
Akibiyori,7.9,Yasujirô Ozu,
Kozure Ôkami: Sanzu no kawa no ubaguruma,7.9,Kenji Misumi,
Ko,7.9,K.V. Anand,
Lyubov i golubi,7.9,Vladimir Menshov,
Anvil: The Story of Anvil,7.9,Sacha Gervasi,82.0
Mera Naam Joker,7.9,Raj Kapoor,
Ayitha Ezhuthu,7.9,Mani Ratnam,
Bingo: O Rei das Manhãs,7.9,Daniel Rezende,
The Devil and Daniel Johnston,7.9,Jeff Feuerzeig,77.0
Shams Al-Ma'arif,7.9,Faris Godus,
Happy Days,7.9,Sekhar Kammula,
The Big Parade,7.9,"King Vidor, George W. Hill",
Five Broken Cameras,7.9,"Emad Burnat, Guy Davidi",78.0
Jalsaghar,7.9,Satyajit Ray,
Él,7.9,Luis Buñuel,
Vishwaroopam,7.9,Kamal Haasan,
Tina,7.9,"Daniel Lindsay, T.J. Martin",81.0
Karthikeya 2,7.9,Chandoo Mondeti,
Madras,7.9,Pa. Ranjith,
Munje!,7.9,Radivoje Andric,
Mumbai Police,7.9,Rosshan Andrrews,
The Class,7.9,Ilmar Raag,
Hazaaron Khwaishein Aisi,7.9,Sudhir Mishra,
Velaiilla Pattadhari,7.9,Velraj,
Pizza,7.9,Karthik Subbaraj,
TT3D: Closer to the Edge,7.9,Richard De Aragues,76.0
Ankhon Dekhi,7.9,Rajat Kapoor,
Hamoun,7.9,Dariush Mehrjui,
Vettaiyaadu Vilaiyaadu,7.9,Gautham Vasudev Menon,
Earth,7.9,"Alastair Fothergill, Mark Linfield",72.0
Otona no miru ehon - Umarete wa mita keredo,7.9,Yasujirô Ozu,91.0
Vabank,7.9,Juliusz Machulski,
Die Nibelungen: Kriemhilds Rache,7.9,Fritz Lang,
Microcosmos : le peuple de l'herbe,7.9,"Claude Nuridsany, Marie Pérennou",87.0
Dor,7.9,Nagesh Kukunoor,
Bill Cunningham New York,7.9,Richard Press,76.0
Kushi,7.9,S.J. Suryah,
The House I Live In,7.9,Eugene Jarecki,77.0
Angamaly Diaries,7.9,Lijo Jose Pellissery,
Pappa ante Portas,7.9,"Vicco von Bülow, Renate Westphal-Lorenz",
Svetat e golyam i spasenie debne otvsyakade,7.9,Stephan Komandarev,
Devrim Arabalari,7.9,Tolga Örnek,
Border,7.9,J.P. Dutta,
Friends,7.9,Siddique,
Manam,7.9,Vikram K. Kumar,
Tito i ja,7.9,Goran Markovic,
The Class of '92,7.9,"Ben Turner, Gabe Turner",
Kick,7.9,Surender Reddy,
Salak Milyoner,7.9,Ertem Egilmez,
BTS Permission to Dance on Stage - Seoul: Live Viewing,7.9,Ha Jung Jae,
Sharkwater,7.9,Rob Stewart,59.0
The Batman,7.8,Matt Reeves,72.0
The Day of the Jackal,7.8,Fred Zinnemann,80.0
Poor Things,7.8,Yorgos Lanthimos,88.0
The Gentlemen,7.8,Guy Ritchie,51.0
Atonement,7.8,Joe Wright,85.0
Tombstone,7.8,"George P. Cosmatos, Kevin Jarre",50.0
Hidden Figures,7.8,Theodore Melfi,74.0
Pride & Prejudice,7.8,Joe Wright,82.0
The Notebook,7.8,Nick Cassavetes,53.0
Little Women,7.8,Greta Gerwig,91.0
Get Out,7.8,Jordan Peele,85.0
Everything Everywhere All at Once,7.8,"Daniel Kwan, Daniel Scheinert",81.0
American Gangster,7.8,Ridley Scott,76.0
The Hateful Eight,7.8,Quentin Tarantino,68.0
The Hobbit: An Unexpected Journey,7.8,Peter Jackson,58.0
How to Train Your Dragon 2,7.8,Dean DeBlois,77.0
Training Day,7.8,Antoine Fuqua,71.0
Paddington 2,7.8,Paul King,88.0
The Irishman,7.8,Martin Scorsese,94.0
Skyfall,7.8,Sam Mendes,81.0
Past Lives,7.8,Celine Song,94.0
About Time,7.8,Richard Curtis,55.0
Drive,7.8,Nicolas Winding Refn,79.0
Ghostbusters,7.8,Ivan Reitman,71.0
The Social Network,7.8,David Fincher,95.0
Apocalypto,7.8,Mel Gibson,68.0
All Quiet on the Western Front,7.8,Edward Berger,76.0
The Big Short,7.8,Adam McKay,81.0
The Girl with the Dragon Tattoo,7.8,David Fincher,71.0
The Fall,7.8,Tarsem Singh,64.0
Call Me by Your Name,7.8,Luca Guadagnino,94.0
Dunkirk,7.8,Christopher Nolan,94.0
The Breakfast Club,7.8,John Hughes,66.0
Rogue One,7.8,Gareth Edwards,65.0
The Hobbit: The Desolation of Smaug,7.8,Peter Jackson,66.0
The Bourne Identity,7.8,Doug Liman,68.0
Manchester by the Sea,7.8,Kenneth Lonergan,96.0
Hot Fuzz,7.8,Edgar Wright,81.0
Coraline,7.8,Henry Selick,80.0
The Curious Case of Benjamin Button,7.8,David Fincher,70.0
Predator,7.8,John McTiernan,47.0
Ferris Bueller's Day Off,7.8,John Hughes,61.0
Society of the Snow,7.8,J.A. Bayona,72.0
Remember the Titans,7.8,Boaz Yakin,48.0
Nightcrawler,7.8,Dan Gilroy,76.0
Star Wars: The Force Awakens,7.8,J.J. Abrams,80.0
Puss in Boots: The Last Wish,7.8,"Joel Crawford, Januel Mercado",73.0
Nosferatu,7.8,F.W. Murnau,
The Sandlot,7.8,David Mickey Evans,55.0
Seven Days in May,7.8,John Frankenheimer,73.0
Captain America: Civil War,7.8,"Anthony Russo, Joe Russo",75.0
Willy Wonka & the Chocolate Factory,7.8,Mel Stuart,67.0
A Bronx Tale,7.8,Robert De Niro,80.0
Mary Poppins,7.8,Robert Stevenson,88.0
Little Miss Sunshine,7.8,"Jonathan Dayton, Valerie Faris",80.0
Back to the Future Part II,7.8,Robert Zemeckis,57.0
Rise Roar Revolt,7.8,S.S. Rajamouli,83.0
The Fugitive,7.8,Andrew Davis,87.0
Misery,7.8,Rob Reiner,75.0
The Last Samurai,7.8,Edward Zwick,55.0
Cast Away,7.8,Robert Zemeckis,74.0
The Man from Earth,7.8,Richard Schenkman,
Glory,7.8,Edward Zwick,78.0
Baymax,7.8,"Don Hall, Chris Williams",74.0
Ang-ma-reul Bo-at-da,7.8,Kim Jee-woon,67.0
Monster,7.8,Hirokazu Koreeda,79.0
The Muppet Christmas Carol,7.8,Brian Henson,64.0
The Untouchables,7.8,Brian De Palma,79.0
Captain Fantastic,7.8,Matt Ross,72.0
Moon,7.8,Duncan Jones,67.0
Boyz N the Hood,7.8,John Singleton,76.0
Straight Outta Compton,7.8,F. Gary Gray,72.0
Midnight Cowboy,7.8,John Schlesinger,79.0
Låt den rätte komma in,7.8,Tomas Alfredson,82.0
Moonrise Kingdom,7.8,Wes Anderson,84.0
Captain Phillips,7.8,Paul Greengrass,82.0
The Insider,7.8,Michael Mann,85.0
Brazil,7.8,Terry Gilliam,84.0
Serenity,7.8,Joss Whedon,74.0
Walk the Line,7.8,James Mangold,72.0
The Fighter,7.8,David O. Russell,79.0
Awakenings,7.8,Penny Marshall,74.0
Breaking the Waves,7.8,Lars von Trier,82.0
Mississippi Burning,7.8,Alan Parker,65.0
Män som hatar kvinnor,7.8,Niels Arden Oplev,76.0
Close,7.8,Lukas Dhont,81.0
Hunt for the Wilderpeople,7.8,Taika Waititi,81.0
Aavesham,7.8,Jithu Madhavan,
Gaslight,7.8,George Cukor,78.0
Lilja 4-ever,7.8,Lukas Moodysson,83.0
The King of Comedy,7.8,Martin Scorsese,73.0
Cabaret,7.8,Bob Fosse,80.0
All That Jazz,7.8,Bob Fosse,72.0
The Searchers,7.8,John Ford,94.0
Thirteen Lives,7.8,Ron Howard,66.0
Charade,7.8,Stanley Donen,83.0
Majo No Takkyûbin,7.8,Hayao Miyazaki,85.0
Isle of Dogs,7.8,Wes Anderson,82.0
Trois Couleurs: Bleu,7.8,Krzysztof Kieslowski,87.0
Night of the Living Dead,7.8,George A. Romero,89.0
Dawn of the Dead,7.8,George A. Romero,71.0
Kramer vs. Kramer,7.8,Robert Benton,77.0
The World's Fastest Indian,7.8,Roger Donaldson,68.0
The Killing Fields,7.8,Roland Joffé,76.0
The Remains of the Day,7.8,James Ivory,86.0
Bramayugam,7.8,Rahul Sadasivan,
The Outlaw: Josey Wales,7.8,Clint Eastwood,69.0
La Migliore Offerta,7.8,Giuseppe Tornatore,49.0
Birdman of Alcatraz,7.8,John Frankenheimer,76.0
October Sky,7.8,Joe Johnston,71.0
Ed Wood,7.8,Tim Burton,71.0
Kaze Tachinu,7.8,Hayao Miyazaki,83.0
The Artist,7.8,Michel Hazanavicius,89.0
Frankenstein,7.8,James Whale,91.0
Un prophète,7.8,Jacques Audiard,90.0
The Right Stuff,7.8,Philip Kaufman,91.0
Freaks,7.8,Tod Browning,80.0
Letters from Iwo Jima,7.8,Clint Eastwood,89.0
Jujutsu Kaisen 0: The Movie,7.8,Sunghoo Park,71.0
Chugyeogja,7.8,Na Hong-jin,64.0
My Left Foot: The Story of Christy Brown,7.8,Jim Sheridan,97.0
Hanu Man,7.8,Prasanth Varma,
Loving Vincent,7.8,"DK Welchman, Hugh Welchman",62.0
Stagecoach,7.8,John Ford,93.0
You Can't Take It with You,7.8,Frank Capra,
Manhattan,7.8,Woody Allen,83.0
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,7.8,"Daisuke Nishio, Hirotoshi Rissen, Kazuhisa Takenouchi",
Mimi wo sumaseba,7.8,Yoshifumi Kondô,75.0
Hannah and Her Sisters,7.8,Woody Allen,90.0
Ninotchka,7.8,Ernst Lubitsch,
Grizzly Man,7.8,Werner Herzog,87.0
East of Eden,7.8,Elia Kazan,72.0
The Bride of Frankenstein,7.8,James Whale,95.0
Batman: Mask of the Phantasm,7.8,"Kevin Altieri, Boyd Kirkland, Frank Paur",65.0
Todo Sobre Mi Madre,7.8,Pedro Almodóvar,87.0
The Philadelphia Story,7.8,George Cukor,96.0
Pride,7.8,Matthew Warchus,79.0
Das weiße Band - Eine deutsche Kindergeschichte,7.8,Michael Haneke,84.0
Tokyo Godfathers,7.8,"Shôgo Furuya, Satoshi Kon",75.0
Once,7.8,John Carney,90.0
Veer Zara,7.8,Yash Chopra,67.0
To Have and Have Not,7.8,Howard Hawks,90.0
The Chorus,7.8,Christophe Barratier,56.0
"Aguirre, the Wrath of God",7.8,Werner Herzog,
Shadow of a Doubt,7.8,Alfred Hitchcock,94.0
Article 370,7.8,Aditya Suhas Jambhale,
"They Shoot Horses, Don't They?",7.8,Sydney Pollack,72.0
Les parapluies de Cherbourg,7.8,Jacques Demy,86.0
Jûbê Ninpûchô,7.8,Yoshiaki Kawajiri,
Premalu,7.8,Girish A.D.,
Guess Who's Coming to Dinner,7.8,Stanley Kramer,63.0
"I, Daniel Blake",7.8,Ken Loach,78.0
Playtime,7.8,Jacques Tati,99.0
The Servant,7.8,Joseph Losey,94.0
His Girl Friday,7.8,Howard Hawks,
Baby You Have This,7.8,Howard Hawks,91.0
The Lunchbox,7.8,Ritesh Batra,76.0
Soshite chichi ni naru,7.8,Hirokazu Koreeda,73.0
The Asphalt Jungle,7.8,John Huston,85.0
Babettes gæstebud,7.8,Gabriel Axel,78.0
Under Sandet,7.8,Martin Zandvliet,75.0
Amy,7.8,Asif Kapadia,85.0
Johnny Got His Gun,7.8,Dalton Trumbo,71.0
Cowboy Bebop: The Movie,7.8,"Shin'ichirô Watanabe, Tensai Okamura, Hiroyuki Okiura",62.0
The Train,7.8,John Frankenheimer,80.0
American Movie,7.8,Chris Smith,84.0
Amarcord,7.8,Federico Fellini,
Oliver Twist,7.8,David Lean,84.0
The Ghost and Mrs. Muir,7.8,Joseph L. Mankiewicz,
Chamkila,7.8,Imtiaz Ali,
Brother,7.8,Aleksey Balabanov,
Radical,7.8,Christopher Zalla,70.0
Imitation of Life,7.8,Douglas Sirk,87.0
Le charme discret de la bourgeoisie,7.8,Luis Buñuel,93.0
The Postman,7.8,"Michael Radford, Massimo Troisi",81.0
Great Expectations,7.8,David Lean,90.0
The Hunchback of Notre Dame,7.8,William Dieterle,
Hud,7.8,Martin Ritt,62.0
Vivre Sa Vie,7.8,Jean-Luc Godard,
I Am: Celine Dion,7.8,Irene Taylor,76.0
Brothers,7.8,Woody Allen,77.0
Bir Zamanlar Anadolu'da,7.8,Nuri Bilge Ceylan,82.0
Cléo de 5 à 7,7.8,Agnès Varda,87.0
Gangubai Kathiawadi,7.8,Sanjay Leela Bhansali,
My Name Is Zucchini,7.8,Claude Barras,85.0
Parking,7.8,Ramkumar Balakrishnan,
The Court Jester,7.8,"Melvin Frank, Norman Panama",
Sennen joyû,7.8,"Satoshi Kon, Kô Matsuo",70.0
Rockstar,7.8,Imtiaz Ali,
Hiroshima mon amour,7.8,Alain Resnais,
Yin shi nan nu,7.8,Ang Lee,80.0
Just 6.5,7.8,Saeed Roustayi,
Becket,7.8,Peter Glenville,68.0
Take Care of Maya,7.8,Henry Roosevelt,64.0
Berserk: Ougon jidai-hen III - Kourin,7.8,Toshiyuki Kubooka,
Systemsprenger,7.8,Nora Fingscheidt,89.0
A Night at the Opera,7.8,"Sam Wood, Edmund Goulding",
Knockin' on Heaven's Door,7.8,Thomas Jahn,
The Loudest Whisper,7.8,William Wyler,49.0
The Hill,7.8,Sidney Lumet,81.0
Stutz,7.8,Jonah Hill,76.0
El abrazo de la serpiente,7.8,Ciro Guerra,82.0
Days of Wine and Roses,7.8,Blake Edwards,74.0
Cet obscur objet du désir,7.8,Luis Buñuel,84.0
Ernest et Célestine,7.8,"Stéphane Aubier, Vincent Patar, Benjamin Renner",86.0
El espíritu de la colmena,7.8,Víctor Erice,87.0
Tini zabutykh predkiv,7.8,Sergei Parajanov,
The Bad and the Beautiful,7.8,Vincente Minnelli,86.0
Who's There?,7.8,Ram Gopal Varma,
Breaker Morant,7.8,Bruce Beresford,72.0
The Second Mother,7.8,Anna Muylaert,82.0
C.R.A.Z.Y.,7.8,Jean-Marc Vallée,81.0
Gimme Shelter,7.8,"Albert Maysles, David Maysles, Charlotte Zwerin",85.0
The Game Changers,7.8,Louie Psihoyos,
Da xiang xidi erzuo,7.8,Bo Hu,86.0
Jiro Dreams of Sushi,7.8,David Gelb,77.0
Mr. Deeds Goes to Town,7.8,Frank Capra,
Oasis,7.8,Lee Chang-dong,79.0
Ma nuit chez Maud,7.8,Éric Rohmer,
Narayama bushikô,7.8,Shôhei Imamura,
Of Mice and Men,7.8,Lewis Milestone,89.0
Le notti bianche,7.8,Luchino Visconti,
Gukjesijang,7.8,JK Youn,
Nora Inu,7.8,Akira Kurosawa,
Ben-Hur A Tale of the Christ,7.8,"Fred Niblo, Charles Brabin, Christy Cabanne",
Le fantôme de la liberté,7.8,Luis Buñuel,
English Vinglish,7.8,Gauri Shinde,
Joji,7.8,Dileesh Pothan,
El sur,7.8,Víctor Erice,
My Hero Academia - Boku no hîrô akademia THE MOVIE - Heroes: Rising - Hîrôzu: Raijingu,7.8,Kenji Nagasaki,70.0
Gekijouban Steins;Gate: Fuka ryouiki no dejavu,7.8,"Kanji Wakabayashi, Hiroshi Hamasaki, Takuya Satô",
Kôkaku kidôtai 2.0,7.8,Mamoru Oshii,
A Tale of Two Cities,7.8,"Jack Conway, Robert Z. Leonard",87.0
Le feu follet,7.8,Louis Malle,
I Vitelloni,7.8,Federico Fellini,87.0
Hotarubi No Mori E,7.8,Takahiro Ômori,
Minnal Murali,7.8,Basil Joseph,
Utomlennye solntsem,7.8,Nikita Mikhalkov,
1987,7.8,Jang Joon-hwan,
Si,7.8,Lee Chang-dong,87.0
24,7.8,Vikram K. Kumar,
Torch Song Trilogy,7.8,Paul Bogart,
Mother India,7.8,Mehboob Khan,53.0
Monsieur Verdoux,7.8,Charles Chaplin,
Juzni Vetar,7.8,Milos Avramovic,
"Dr. Mabuse, der Spieler",7.8,Fritz Lang,
Le corbeau,7.8,Henri-Georges Clouzot,
Mimi,7.8,"Rajesh Bhatia, Laxman Utekar",
Ohayô,7.8,Yasujirô Ozu,87.0
A City of Sadness,7.8,Hsiao-Hsien Hou,
The Sparks Brothers,7.8,Edgar Wright,80.0
Germania anno zero,7.8,Roberto Rossellini,
Billy Budd,7.8,Peter Ustinov,
Before the Rain,7.8,Milcho Manchevski,
Estômago,7.8,Marcos Jorge,
Amator,7.8,Krzysztof Kieslowski,
Kabadayi,7.8,Ömer Vargi,
The Dissident,7.8,Bryan Fogel,81.0
Libeled Lady,7.8,Jack Conway,
Dry Summer,7.8,Metin Erksan,
Voces inocentes,7.8,Luis Mandoki,66.0
Kono sekai no katasumi ni,7.8,Sunao Katabuchi,73.0
Eiga Kono subarashii sekai ni shukufuku o!: Kurenai densetsu,7.8,Takaomi Kanasaki,
Fantozzi,7.8,Luciano Salce,
Masquerade,7.8,Choo Chang-min,
AlphaGo,7.8,Greg Kohs,
I Remember Mama,7.8,George Stevens,
The Set-Up,7.8,Robert Wise,
Moartea domnului Lazarescu,7.8,Cristi Puiu,87.0
"Food, Inc.",7.8,Robert Kenner,80.0
El hijo de la novia,7.8,Juan José Campanella,68.0
Fury,7.8,Fritz Lang,
"Steamboat Bill, Jr.",7.8,"Charles Reisner, Buster Keaton",
Faces Places,7.8,"JR, Agnès Varda",94.0
Supersonic,7.8,Mat Whitecross,71.0
Mein liebster Feind - Klaus Kinski,7.8,Werner Herzog,70.0
Hindi Medium,7.8,Saket Chaudhary,
Secret Superstar,7.8,Advait Chandan,
Crossing the Bridge: The Sound of Istanbul,7.8,Fatih Akin,73.0
Es geschah am hellichten Tag,7.8,Ladislao Vajda,
The Beatles: Eight Days a Week - The Touring Years,7.8,Ron Howard,72.0
Who Killed Captain Alex?,7.8,Nabwana I.G.G.,
Die Abenteuer des Prinzen Achmed,7.8,"Lotte Reiniger, Carl Koch",
L'albero degli zoccoli,7.8,Ermanno Olmi,
Mamma Roma,7.8,Pier Paolo Pasolini,
Aligarh,7.8,Hansal Mehta,
Dying to Survive,7.8,Muye Wen,63.0
Monty Python Live at the Hollywood Bowl,7.8,"Terry Hughes, Ian MacNaughton",
La ley de Herodes,7.8,Luis Estrada,64.0
Lakshya,7.8,Farhan Akhtar,
Waste Land,7.8,"Lucy Walker, Karen Harley, João Jardim",78.0
Eflâtun,7.8,Cuneyt Karakus,
A Secret Love,7.8,Chris Bolan,77.0
Jane,7.8,Brett Morgen,87.0
Mavi Boncuk,7.8,Ertem Egilmez,
Arya,7.8,Sukumar,
One Day in September,7.8,Kevin Macdonald,82.0
Seven Chances,7.8,Buster Keaton,
That's Entertainment!,7.8,Jack Haley Jr.,73.0
Mikra Anglia,7.8,Pantelis Voulgaris,
Life Itself,7.8,Steve James,87.0
Ivan Groznyy. Skaz vtoroy: Boyarskiy zagovor,7.8,Sergei Eisenstein,
Akasen chitai,7.8,Kenji Mizoguchi,
Kiraware Matsuko no isshô,7.8,Tetsuya Nakashima,
Our Hospitality,7.8,"John G. Blystone, Buster Keaton",
Sound City,7.8,Dave Grohl,76.0
Simón del desierto,7.8,Luis Buñuel,
Nunta muta,7.8,Horatiu Malaele,
The Celluloid Closet,7.8,"Rob Epstein, Jeffrey Friedman",
Baran,7.8,Majid Majidi,79.0
Midnight,7.8,Mitchell Leisen,
The Pervert's Guide to Cinema,7.8,Sophie Fiennes,
Tim's Vermeer,7.8,Teller,76.0
Jonestown: The Life and Death of Peoples Temple,7.8,Stanley Nelson,79.0
Ônibus 174,7.8,"José Padilha, Felipe Lacerda",83.0
Rekopis znaleziony w Saragossie,7.8,Wojciech Has,
Être et avoir,7.8,Nicolas Philibert,87.0
Kai Po Che!,7.8,Abhishek Kapoor,40.0
Nanban,7.8,S. Shankar,
Ab Tak Chhappan,7.8,Shimit Amin,
Amintiri din epoca de aur,7.8,"Hanno Höfer, Razvan Marculescu, Cristian Mungiu",68.0
Imagine: John Lennon,7.8,Andrew Solt,
"Ima, ai ni yukimasu",7.8,Nobuhiro Doi,
Kuryer,7.8,Karen Shakhnazarov,
The Island,7.8,Pavel Lungin,
La terra trema,7.8,Luchino Visconti,
Dasvidaniya,7.8,Shashant Shah,
Sai yau gei: Sin leui kei yun,7.8,Jeffrey Lau,
Stanley Ka Dabba,7.8,Amole Gupte,
Lemmy,7.8,"Greg Olliver, Wes Orshoski",64.0
"Va, vis et deviens",7.8,Radu Mihaileanu,
Goodachari,7.8,Sashi Kiran Tikka,
Gloomy Sunday,7.8,Rolf Schübel,60.0
Gönül Yarasi,7.8,Yavuz Turgul,
Nayak: The Real Hero,7.8,S. Shankar,
Afonya,7.8,Georgiy Daneliya,
Laal Rang,7.8,Syed Ahmad Afzal,
Gangaajal,7.8,Prakash Jha,
Marina Abramovic: The Artist Is Present,7.8,"Matthew Akers, Jeff Dupre",74.0
Simon,7.8,Eddy Terstall,59.0
Ajans-E Shisheh-I,7.8,Ebrahim Hatamikia,
Uppi 2,7.8,Upendra,
Deadpool & Wolverine,7.7,Shawn Levy,56.0
Harry Potter and the Philosopher's Stone,7.7,Chris Columbus,65.0
The Count of Monte-Cristo,7.7,"Alexandre de La Patellière, Matthieu Delaporte",66.0
Home Alone,7.7,Chris Columbus,63.0
Mission: Impossible - Dead Reckoning Part One,7.7,Christopher McQuarrie,81.0
Harry Potter and the Goblet of Fire,7.7,Mike Newell,81.0
The Goonies,7.7,Richard Donner,62.0
The Hangover,7.7,Todd Phillips,73.0
Sicario,7.7,Denis Villeneuve,82.0
Kingsman: The Secret Service,7.7,Matthew Vaughn,60.0
Zodiac,7.7,David Fincher,79.0
Wind River,7.7,Taylor Sheridan,73.0
The Banshees of Inisherin,7.7,Martin McDonagh,87.0
Black Hawk Down,7.7,Ridley Scott,74.0
Anatomy of a Fall,7.7,Justine Triet,86.0
Flying High,7.7,"Jim Abrahams, David Zucker, Jerry Zucker",78.0
Harry Potter and the Deathly Hallows: Part 1,7.7,David Yates,65.0
La vie d'Adèle,7.7,Abdellatif Kechiche,90.0
(500) Days of Summer,7.7,Marc Webb,76.0
Godzilla Minus One,7.7,Takashi Yamazaki,81.0
The Count of Monte Cristo,7.7,Kevin Reynolds,61.0
Deliverance,7.6,John Boorman,80.0
Blue Velvet,7.7,David Lynch,75.0
Ex Machina,7.7,Alex Garland,78.0
Mission: Impossible - Fallout,7.7,Christopher McQuarrie,87.0
Ocean's Eleven,7.7,Steven Soderbergh,74.0
Brokeback Mountain,7.7,Ang Lee,87.0
Lost in Translation,7.7,Sofia Coppola,91.0
A Few Good Men,7.7,Rob Reiner,62.0
Blazing Saddles,7.7,Mel Brooks,73.0
The Game,7.7,David Fincher,63.0
Y tu mamá también,7.7,Alfonso Cuarón,89.0
X: First Class,7.7,Matthew Vaughn,65.0
Tangled,7.7,"Nathan Greno, Byron Howard",71.0
The Worst Person in the World,7.7,Joachim Trier,91.0
Taken,7.7,Pierre Morel,51.0
Hundreds of Beavers,7.7,Mike Cheslik,82.0
Gattaca,7.7,Andrew Niccol,64.0
Halloween,7.7,John Carpenter,90.0
Silver Linings Playbook,7.7,David O. Russell,81.0
The Promised Land,7.7,Nikolaj Arcel,77.0
Goldfinger,7.7,Guy Hamilton,87.0
When Harry Met Sally...,7.7,Rob Reiner,76.0
Captain America: The Winter Soldier,7.7,"Anthony Russo, Joe Russo",70.0
"O Brother, Where Art Thou?",7.7,"Joel Coen, Ethan Coen",69.0
Man on Fire,7.7,Tony Scott,47.0
The Theory of Everything,7.7,James Marsh,71.0
The Boy in the Striped Pyjamas,7.7,Mark Herman,55.0
Empire of the Sun,7.7,Steven Spielberg,62.0
As Good as It Gets,7.7,James L. Brooks,67.0
Binge Drinking,7.7,Thomas Vinterberg,79.0
Dirty Harry,7.7,"Don Siegel, Clint Eastwood",87.0
Birdman or (The Unexpected Virtue of Ignorance),7.7,Alejandro G. Iñárritu,87.0
What's Eating Gilbert Grape,7.7,Lasse Hallström,73.0
Road to Perdition,7.7,Sam Mendes,72.0
Argo,7.7,Ben Affleck,86.0
Mulan,7.7,"Tony Bancroft, Barry Cook",72.0
Crash,7.7,Paul Haggis,66.0
Apollo 13,7.7,Ron Howard,78.0
Primal Fear,7.7,Gregory Hoblit,47.0
Gravity,7.7,Alfonso Cuarón,96.0
Being John Malkovich,7.7,Spike Jonze,90.0
Black Narcissus,7.7,"Michael Powell, Emeric Pressburger",86.0
Sense and Sensibility,7.7,Ang Lee,84.0
Naked,7.7,Mike Leigh,85.0
Donnie Brasco,7.7,Mike Newell,77.0
Who Framed Roger Rabbit,7.7,Robert Zemeckis,83.0
The Bourne Supremacy,7.7,Paul Greengrass,73.0
First Blood,7.7,Ted Kotcheff,61.0
Philadelphia,7.7,Jonathan Demme,66.0
The Name of the Rone,7.7,Jean-Jacques Annaud,54.0
Malcolm X,7.7,Spike Lee,73.0
Wreck-It Ralph,7.7,Rich Moore,72.0
Flipped,7.7,Rob Reiner,45.0
The Magnificent Seven,7.7,John Sturges,74.0
Happiness,7.7,Todd Solondz,81.0
The Lego Movie,7.7,"Phil Lord, Christopher Miller",83.0
La Montaña Sagrada,7.7,Alejandro Jodorowsky,76.0
The Fault in Our Stars,7.7,Josh Boone,69.0
Mr. Nobody,7.7,Jaco Van Dormael,63.0
The Trial of the Chicago 7,7.7,Aaron Sorkin,76.0
Roma,7.7,Alfonso Cuarón,96.0
The Conversation,7.7,Francis Ford Coppola,88.0
Sound of Metal,7.7,Darius Marder,82.0
Star Trek Into Darkness,7.7,J.J. Abrams,72.0
Adaptation.,7.7,Spike Jonze,83.0
Detachment,7.7,Tony Kaye,52.0
The Color Purple,7.7,Steven Spielberg,78.0
The Broken Circle Breakdown,7.7,Felix van Groeningen,70.0
The Great Beauty,7.7,Paolo Sorrentino,86.0
Miller's Crossing,7.7,"Joel Coen, Ethan Coen",66.0
Glengarry Glen Ross,7.7,James Foley,84.0
Vreli Dani U Alabami,7.7,Jon Avnet,64.0
The Vanishing,7.7,George Sluizer,
Star Trek II: The Wrath of Khan,7.7,Nicholas Meyer,68.0
The French Connection,7.7,William Friedkin,94.0
Billy Elliot,7.7,Stephen Daldry,74.0
Fantastic Planet,7.7,René Laloux,73.0
The Day the Earth Stood Still,7.7,Robert Wise,83.0
This Is England,7.7,Shane Meadows,86.0
Kung Fu,7.7,Stephen Chow,78.0
Serpico,7.7,Sidney Lumet,83.0
Lucky Number Slevin,7.7,Paul McGuigan,53.0
Bonnie and Clyde,7.7,Arthur Penn,86.0
My Fair Lady,7.7,George Cukor,95.0
Clerks,7.7,Kevin Smith,70.0
About Dry Grasses,7.7,Nuri Bilge Ceylan,88.0
Hamlet,7.7,Kenneth Branagh,
Ordinary People,7.7,Robert Redford,86.0
The Last Emperor,7.7,Bernardo Bertolucci,76.0
Changeling,7.7,Clint Eastwood,63.0
Kubo and the Two Strings,7.7,Travis Knight,84.0
There's Still Tomorrow,7.7,Paola Cortellesi,
The Verdict,7.7,Sidney Lumet,77.0
Days of Heaven,7.7,Terrence Malick,94.0
Marcel,7.7,Dean Fleischer Camp,80.0
Never Look Away,7.7,Florian Henckel von Donnersmarck,68.0
Evil Dead II,7.7,Sam Raimi,72.0
Papurika,7.7,Satoshi Kon,81.0
Wages of Fear,7.7,William Friedkin,68.0
A Man for All Seasons,7.7,Fred Zinnemann,72.0
The Magdalene Sisters,7.7,Peter Mullan,83.0
A Man Called Ove,7.7,Hannes Holm,70.0
"South Park: Bigger, Longer & Uncut",7.7,Trey Parker,73.0
Holiday,7.7,George Cukor,
My Dinner with Andre,7.7,Louis Malle,83.0
The Dirty Dozen,7.7,Robert Aldrich,73.0
The Devils,7.7,Ken Russell,49.0
Badlands,7.7,Terrence Malick,94.0
Ray,7.7,Taylor Hackford,73.0
Finding Neverland,7.7,Marc Forster,67.0
The Longest Day,7.7,"Ken Annakin, Andrew Marton, Gerd Oswald",75.0
Zwartboek,7.7,Paul Verhoeven,71.0
The Man Who Didn't Talk Too Much,7.7,John Ford,85.0
