Country,Total in km2,Land in km2,Water in km2,Water %,HDI,%HDI Growth,IMF Forecast GDP(Nominal),World Bank Forecast GDP(Nominal),UN Forecast GDP(Nominal),IMF Forecast GDP(PPP),World Bank Forecast GDP(PPP),CIA Forecast GDP(PPP),Internet Users,UN Continental Region,UN Statistical Subregion,Population 2022,Population 2023,Population %Change
Oman,309980.0,309500.0,309500.0,0.0,0.816,0.32,108282.0,114667.0,88192.0,200295.0,158907.0,135790.0,3717818.0,Asia,Western Asia,4576298.0,4644384.0,1.49
Mozambique,801590.0,786380.0,786380.0,1.6,0.446,0.95,21936.0,17851.0,15777.0,53710.0,43172.0,38420.0,6162217.0,Africa,Eastern Africa,32969519.0,33897354.0,2.81
Ghana,238537.0,228567.0,228567.0,4.6,0.632,0.88,76628.0,72839.0,79083.0,227189.0,196050.0,164840.0,15065541.0,Africa,Western Africa,33475870.0,34121985.0,1.93
Eswatini,17363.0,17204.0,17204.0,0.9,0.597,1.57,4648.0,4854.0,4732.0,13797.0,11508.0,9740.0,414278.0,Africa,Southern Africa,1201671.0,1210822.0,0.76
Jamaica,10991.0,10831.0,10831.0,1.5,0.709,0.06,18761.0,17098.0,14658.0,35690.0,29812.0,25890.0,1409888.0,Americas,Caribbean,2827377.0,2825544.0,-0.06
Lesotho,30355.0,30355.0,30355.0,0.0,0.514,0.88,2373.0,2553.0,2373.0,6915.0,5791.0,4880.0,665312.0,Africa,Southern Africa,2305826.0,2330318.0,1.06
Ecuador,283561.0,276841.0,276841.0,2.4,0.74,0.05,118686.0,115049.0,106166.0,242579.0,208601.0,182240.0,9521056.0,Americas,South America,18001000.0,18190484.0,1.05
North Macedonia,25713.0,25433.0,25433.0,1.1,0.77,0.39,15801.0,13563.0,13881.0,44055.0,37002.0,33020.0,1589659.0,Europe,Southern Europe,2093599.0,2085679.0,-0.38
Bahamas,13940.0,10010.0,10010.0,27.8,0.812,0.0,13876.0,12897.0,11209.0,18146.0,13538.0,12100.0,336057.0,Americas,Caribbean,409984.0,412624.0,0.64
Bulgaria,110372.0,108612.0,108612.0,2.2,0.795,0.06,103099.0,89040.0,84058.0,216499.0,184244.0,155060.0,4492326.0,Europe,Eastern Europe,6781953.0,6687717.0,-1.39
Denmark,42947.0,42434.0,42434.0,1.5,0.948,0.34,420800.0,395404.0,398303.0,441754.0,436857.0,326200.0,5407278.0,Europe,Northern Europe,5882262.0,5910913.0,0.49
Kiribati,811.0,811.0,811.0,0.0,0.624,0.53,246.0,223.0,227.0,297.0,259.0,270.0,16971.0,Oceania,Micronesia,131232.0,133515.0,1.74
Equatorial Guinea,28051.0,28051.0,28051.0,0.0,0.596,0.26,10041.0,11814.0,12431.0,28356.0,26282.0,23860.0,332642.0,Africa,Middle Africa,1674908.0,1714672.0,2.37
Singapore,733.0,716.0,716.0,1.4,0.939,0.29,497347.0,466789.0,396992.0,753273.0,719084.0,531040.0,4821119.0,Asia,South-eastern Asia,5975689.0,6014723.0,0.65
Syria,185180.0,183630.0,183630.0,0.8,0.577,1.21,,19719.0,,,50280.0,,6257430.0,Asia,Western Asia,22125249.0,23227014.0,4.98
Burundi,27834.0,25680.0,25680.0,7.7,0.426,0.46,3190.0,3073.0,3900.0,11551.0,9721.0,8690.0,607311.0,Africa,Eastern Africa,12889577.0,13238559.0,2.71
Haiti,27750.0,27560.0,27560.0,0.7,0.535,1.94,25986.0,20254.0,19044.0,38952.0,36096.0,31620.0,1353986.0,Americas,Caribbean,11584996.0,11724764.0,1.21
Brunei,5765.0,5265.0,5265.0,8.7,0.829,0.01,15153.0,16682.0,14006.0,32000.0,29415.0,27230.0,406705.0,Asia,South-eastern Asia,449002.0,452524.0,0.78
Nepal,147181.0,143686.0,143686.0,2.6,0.602,0.94,41339.0,40828.0,36207.0,150800.0,126440.0,110720.0,16190000.0,Asia,Southern Asia,30547580.0,30896590.0,1.14
Algeria,2381741.0,2381741.0,2381741.0,0.0,0.745,0.3,224107.0,191913.0,163473.0,628990.0,593153.0,468400.0,26350000.0,Africa,Northern Africa,44903225.0,45606481.0,1.57
Fiji,18272.0,18274.0,18274.0,0.0,0.73,0.2,5511.0,4943.0,4296.0,15152.0,10889.0,9860.0,452479.0,Oceania,Melanesia,929766.0,936376.0,0.71
Gabon,267668.0,257667.0,257667.0,3.7,0.706,0.56,19319.0,21072.0,18521.0,41922.0,35544.0,32050.0,1040000.0,Africa,Middle Africa,2388993.0,2436567.0,1.99
Guyana,214969.0,196849.0,196849.0,8.4,0.714,0.77,16329.0,15358.0,8044.0,48514.0,19358.0,14690.0,290375.0,Americas,South America,808726.0,813834.0,0.63
Cambodia,181035.0,176515.0,176515.0,2.5,0.593,0.85,30943.0,29957.0,26669.0,98319.0,79360.0,70080.0,5441827.0,Asia,South-eastern Asia,16767842.0,16944826.0,1.06
Mauritania,1030700.0,1025520.0,1025520.0,0.4,0.556,0.79,10357.0,10375.0,9996.0,33414.0,26702.0,23170.0,919398.0,Africa,Western Africa,4736139.0,4862989.0,2.68
Greece,131957.0,130647.0,130647.0,1.0,0.887,0.19,242385.0,219066.0,214874.0,416969.0,389217.0,292400.0,7923438.0,Europe,Southern Europe,10384971.0,10341277.0,-0.42
Angola,1246700.0,1246700.0,1246700.0,0.0,0.586,1.27,93796.0,106714.0,70533.0,260323.0,223319.0,203710.0,4271053.0,Africa,Middle Africa,35588987.0,36684203.0,3.08
Togo,56785.0,54385.0,54385.0,4.2,0.539,1.12,9111.0,8126.0,8160.0,25103.0,20180.0,17450.0,963795.0,Africa,Western Africa,8848699.0,9053799.0,2.32
Poland,312679.0,311888.0,311888.0,0.3,0.876,0.37,842172.0,688177.0,679442.0,1712629.0,1625236.0,1223460.0,34697848.0,Europe,Eastern Europe,39857146.0,41026068.0,2.93
Uzbekistan,448969.0,425400.0,425400.0,4.9,0.727,0.7,90392.0,80392.0,69239.0,371646.0,339816.0,239420.0,16692456.0,Asia,Central Asia,34627653.0,35163944.0,1.55
Honduras,112492.0,111890.0,111890.0,0.2,0.621,0.36,33992.0,31718.0,28489.0,75030.0,62920.0,50890.0,2977793.0,Americas,Central America,10432860.0,10593798.0,1.54
Namibia,825615.0,823290.0,823290.0,0.3,0.615,0.46,12647.0,12607.0,12236.0,30663.0,25369.0,22600.0,933450.0,Africa,Southern Africa,2567013.0,2604172.0,1.45
Yemen,527968.0,527968.0,527968.0,0.0,0.455,1.03,21045.0,,2021.0,69963.0,92756.0,73630.0,7548512.0,Asia,Western Asia,33696614.0,34449825.0,2.24
Ireland,69825.0,68883.0,68883.0,2.0,0.945,0.4,589569.0,529245.0,504183.0,722929.0,645565.0,447970.0,4024552.0,Europe,Northern Europe,5023109.0,5056935.0,0.67
Paraguay,406752.0,397302.0,397302.0,2.3,0.717,0.42,44142.0,41722.0,40458.0,117349.0,100901.0,87980.0,4160340.0,Americas,South America,6780744.0,6861524.0,1.19
Malaysia,330621.0,329613.0,329613.0,0.4,0.803,0.39,430895.0,406306.0,372702.0,1225927.0,1134677.0,855600.0,25343685.0,Asia,South-eastern Asia,33938222.0,34308525.0,1.09
Sierra Leone,72300.0,71620.0,71620.0,0.2,0.477,1.01,3519.0,3970.0,4249.0,17784.0,14786.0,13150.0,1000575.0,Africa,Western Africa,8605718.0,8791092.0,2.15
Luxembourg,2586.0,2586.0,2586.0,0.0,0.93,0.18,89095.0,82275.0,85506.0,94152.0,86117.0,69720.0,570794.0,Europe,Western Europe,647599.0,654768.0,1.11
Bhutan,38394.0,38394.0,38394.0,0.0,0.666,1.25,2686.0,,2021.0,10969.0,8588.0,8420.0,388541.0,Asia,Southern Asia,782455.0,787425.0,0.64
Saint Kitts and Nevis,261.0,261.0,261.0,0.0,0.777,0.21,1069.0,962.0,861.0,1760.0,1406.0,1240.0,44669.0,Americas,Caribbean,47658.0,47755.0,0.2
South Africa,1221037.0,1214470.0,1214470.0,0.4,0.713,0.5,380906.0,405870.0,419016.0,997444.0,952603.0,680040.0,31858027.0,Africa,Southern Africa,59893886.0,60414495.0,0.87
Trinidad and Tobago,5127.0,5128.0,5128.0,0.0,0.81,0.23,27887.0,27899.0,24460.0,43658.0,37706.0,33210.0,1058744.0,Americas,Caribbean,1531045.0,1534937.0,0.25
Italy,302068.0,294140.0,294140.0,2.4,0.895,0.13,2186082.0,2010432.0,2107703.0,3193180.0,3052609.0,2322140.0,50540000.0,Europe,Southern Europe,59037474.0,58870763.0,-0.28
Indonesia,1910931.0,1811569.0,1811569.0,4.9,0.705,0.55,1417387.0,1319100.0,1186093.0,4393370.0,4036901.0,3130470.0,215626156.0,Asia,South-eastern Asia,275501339.0,277534123.0,0.74
Dominica,750.0,751.0,751.0,0.0,0.72,0.11,697.0,612.0,548.0,1069.0,864.0,710.0,51467.0,Americas,Caribbean,72738.0,73040.0,0.42
Belarus,207600.0,202900.0,202900.0,2.3,0.808,0.21,68864.0,72793.0,68206.0,221186.0,202672.0,179970.0,7048231.0,Europe,Eastern Europe,9534955.0,9498238.0,-0.39
Eritrea,121144.0,124330.0,124330.0,0.0,0.492,0.55,,2255.0,,,2011.0,2017.0,66402.0,Africa,Eastern Africa,3684032.0,3748902.0,1.76
Romania,238398.0,231291.0,231291.0,3.0,0.821,0.16,350414.0,301262.0,284086.0,780797.0,794055.0,556070.0,12545558.0,Europe,Eastern Europe,19659267.0,19892812.0,1.19
Belgium,30528.0,30446.0,30446.0,0.8,0.937,0.25,627511.0,578604.0,594104.0,769682.0,758833.0,557110.0,10021242.0,Europe,Western Europe,11655930.0,11686140.0,0.26
Colombia,1141748.0,1038700.0,1038700.0,8.8,0.752,0.32,363835.0,343939.0,314464.0,1016124.0,1052389.0,683940.0,30548252.0,Americas,South America,51874024.0,52085168.0,0.41
Kenya,591958.0,569140.0,569140.0,1.9,0.575,0.49,112749.0,113420.0,110347.0,338964.0,311410.0,226940.0,8861485.0,Africa,Eastern Africa,54027487.0,55100587.0,1.99
Ethiopia,1104300.0,1096630.0,1096630.0,0.7,0.498,1.74,155804.0,126783.0,99269.0,393297.0,346893.0,264050.0,19543075.0,Africa,Eastern Africa,123379925.0,126527060.0,2.55
