,Meal Name,Category,Area,Tags
649,"Roasted Eggplant With Tahini, Pine Nuts, and Lentils",Vegetarian,American,"Vegetarian,Pulse,Nutty"
650,Rock Cakes,Dessert,British,"Baking,Cake"
651,Ratatouille,Vegetarian,French,"Vegetables,SideDish"
652,Rappie Pie,Chicken,Canadian,Pie
653,Red Peas Soup,Beef,Jamaican,"Soup,SideDish"
654,Roast fennel and aubergine paella,Vegan,Spanish,"Vegan,Paella"
655,Rosół (Polish Chicken Soup),Chicken,Polish,NaN
656,Rogaliki (Polish Croissant Cookies),Dessert,Polish,NaN
657,Roti john,Beef,Malaysian,NaN
658,Spaghetti Bolognese,Beef,Italian,"Pasta,Meat"
659,Spicy Arrabiata Penne,Vegetarian,Italian,"Pasta,Curry"
660,Smoky Lentil Chili with Squash,Vegetarian,British,Pulse
661,Sticky Toffee Pudding Ultimate,Dessert,British,"Pudding,Desert,Cake,Dairy"
662,Spicy North African Potato Salad,Vegetarian,Moroccan,"Vegetarian,Spicy"
663,"Stovetop Eggplant With Harissa, Chickpeas, and Cumin Yogurt",Vegetarian,American,Vegetarian
664,Salmon Prawn Risotto,Seafood,Italian,Fish
665,Salted Caramel Cheescake,Dessert,American,NaN
666,Seafood fideuà,Seafood,Spanish,NaN
667,Spinach & Ricotta Cannelloni,Vegetarian,Italian,NaN
668,Squash linguine,Vegetarian,Italian,"Pasta,Light"
669,Spanish Tortilla,Vegetarian,Spanish,"Egg,Light"
670,Steak and Kidney Pie,Beef,British,Pie
671,Sticky Toffee Pudding,Dessert,British,"Pudding,Cake,Desert"
672,Spotted Dick,Dessert,British,"Fruity,Pudding,Desert"
673,Summer Pudding,Dessert,British,Summer
674,Summer Pistou,Vegetarian,French,NaN
675,Split Pea Soup,Side,Canadian,"Soup,Warm"
676,Sugar Pie,Dessert,Canadian,"Pie,Desert"
677,Steak Diane,Beef,French,"DateNight,Expensive,Meat,MainMeal,Cheasy"
678,Saltfish and Ackee,Seafood,Jamaican,Speciality
679,Sweet and Sour Pork,Pork,Chinese,Sweet
680,Szechuan Beef,Beef,Chinese,NaN
681,Shrimp Chow Fun,Seafood,Chinese,NaN
682,Salmon Avocado Salad,Seafood,British,"Paleo,Keto,LowCarbs,Salad,Alcoholic,Halloween,"
683,Salmon Eggs Eggs Benedict,Breakfast,American,"Bun,Brunch"
684,Shakshuka,Vegetarian,Egyptian,"Egg,Brunch,Breakfast"
685,Smoked Haddock Kedgeree,Breakfast,Indian,"Brunch,Fish,Fusion"
686,Stamppot,Pork,Dutch,"Savory,Breakfast"
687,Snert (Dutch Split Pea Soup),Side,Dutch,"Soup,Cake"
688,Spaghetti alla Carbonara,Pasta,Italian,"Pasta,BBQ,Breakfast"
689,Soy-Glazed Meatloaves with Wasabi Mashed Potatoes & Roasted Carrots,Beef,American,NaN
690,Skillet Apple Pork Chops with Roasted Sweet Potatoes & Zucchini,Pork,American,NaN
691,Strawberry Rhubarb Pie,Dessert,British,"Pudding,Pie,Baking,Fruity,Glazed"
692,Stuffed Lamb Tomatoes,Lamb,Greek,NaN
693,Sledz w Oleju (Polish Herrings),Seafood,Polish,NaN
694,Shawarma,Chicken,Egyptian,NaN
695,Spring onion and prawn empanadas,Seafood,Portuguese,NaN
696,Seri muka kuih,Dessert,Malaysian,NaN
697,Sushi,Seafood,Japanese,NaN
698,Stuffed Bell Peppers with Quinoa and Black Beans,Vegetarian,Mexican,NaN
699,Strawberries Romanoff,Dessert,Russian,fruity
700,Teriyaki Chicken Casserole,Chicken,Japanese,"Meat,Casserole"
701,Tandoori chicken,Chicken,Indian,"Spicy,Meat"
702,Thai Green Curry,Chicken,Thai,"Curry,Mild"
703,Toad In The Hole,Pork,British,NaN
704,Turkey Meatloaf,Miscellaneous,British,Alcoholic
705,Tuna Nicoise,Seafood,French,NaN
706,Tahini Lentils,Vegetarian,Moroccan,Pulse
707,Three Fish Pie,Seafood,British,"Fish,Seafood,Dairy,Pie"
708,Treacle Tart,Dessert,British,Tart
709,Tarte Tatin,Dessert,French,"Treat,Tart,Desert,DinnerParty"
710,Three-cheese souffles,Miscellaneous,French,Baking
711,Tourtiere,Pork,Canadian,"Pie,MainMeal,BBQ,Cake"
712,Timbits,Dessert,Canadian,"Snack,Treat"
713,Tunisian Orange Cake,Dessert,Tunisian,NaN
714,Tunisian Lamb Soup,Lamb,Tunisian,Soup
715,Tuna and Egg Briks,Seafood,Tunisian,NaN
716,Tamiya,Vegetarian,Egyptian,NaN
717,Tonkatsu pork,Pork,Japanese,NaN
718,Traditional Croatian Goulash,Beef,Croatian,Soup
719,Tortang Talong,Vegetarian,Filipino,NaN
720,Vegan Lasagna,Vegan,Italian,"Vegan,Pasta"
721,Vegan Chocolate Cake,Vegan,American,"Vegan,Chocolate,Cake"
722,Vietnamese Grilled Pork (bun-thit-nuong),Pork,Vietnamese,NaN
723,Venetian Duck Ragu,Pasta,Italian,NaN
724,Vegetarian Casserole,Vegetarian,British,"Casserole,Vegetarian"
725,Vegetarian Chilli,Vegetarian,British,Chilli
726,Vegetable Shepherd's Pie,Beef,Irish,Alcoholic
727,White chocolate creme brulee,Dessert,French,"Desert,DinnerParty,Pudding"
728,Wontons,Pork,Chinese,MainMeal
729,Walnut Roll Gužvara,Dessert,Croatian,Nutty
730,Yaki Udon,Vegetarian,Japanese,LowCalorie
