title,genre,popularity
Bo Burnham: Inside,Comedy,8.717
Coco,"Family,Animation,Fantasy,Music,Comedy,Adventure",208.302
The Shining,"Horror,Thriller",63.091
Doctor Who: The Day of the Doctor,"Science Fiction,Adventure",10.732
A Clockwork Orange,"Science Fiction,Drama",36.296
The Seventh Seal,"Fantasy,Drama",16.149
Investigation of a Citizen Above Suspicion,"Drama,Thriller",7.337
Vertigo,"Mystery,Romance,Thriller",20.392
The Hate U Give,"Crime,Drama",21.983
Children of Paradise,"Drama,Romance",8.19
Portrait of a Lady on Fire,"Drama,Romance,History",20.978
Inglourious Basterds,"Drama,Action,Thriller,War",86.404
Along with the Gods: The Last 49 Days,"Drama,Fantasy,Action",32.172
Call Me by Your Name,"Romance,Drama",101.605
Star Wars,"Adventure,Action,Science Fiction",77.644
The Usual Suspects,"Drama,Crime,Thriller",20.782
Gladiator,"Action,Drama,Adventure",52.683
Piper,"Family,Animation",7.741
The Prestige,"Drama,Mystery,Science Fiction",32.168
Saving Private Ryan,"Drama,History,War",59.809
Memento,"Mystery,Thriller",26.409
Shutter Island,"Drama,Thriller,Mystery",367.116
The Matrix,"Action,Science Fiction",62.628
My Mom is a Character 3,Comedy,5.769
Capernaum,Drama,15.818
The Help,Drama,325.877
Hacksaw Ridge,"Drama,History,War",301.538
Soul,"Animation,Family,Comedy,Fantasy,Drama",175.175
Taxi Driver,"Crime,Drama",39.307
Wonder,"Drama,Family",48.155
Singin' in the Rain,"Comedy,Music,Romance,Drama",19.843
Metropolis,"Drama,Science Fiction",15.416
Yojimbo,"Drama,Thriller",15.131
Joker,"Crime,Thriller,Drama",130.728
All About Eve,Drama,11.998
Scenes from a Marriage,"Drama,Romance",7.809
Casablanca,"Drama,Romance",20.562
La Dolce Vita,"Comedy,Drama",13.097
Bo Burnham: Make Happy,"Comedy,Music",5.697
Andrei Rublev,"Drama,History",11.765
The Father,Drama,22.528
Scarface,"Action,Crime,Drama",65.088
My Friends,Comedy,4.199
The Departed,"Drama,Thriller,Crime",31.039
