job_title,work_year,salary_in_usd,company_location,company_size
Research Scientist,2023,370000,US,M
Data Scientist,2023,370000,US,M
Research Scientist,2023,370000,US,M
ML Engineer,2023,365630,US,M
Machine Learning Engineer,2024,365100,US,M
Data Architect,2024,363000,US,M
Data Architect,2024,363000,US,M
Research Scientist,2024,360000,US,M
Research Engineer,2024,360000,US,M
AI Engineer,2023,360000,US,M
BI Analyst,2023,18381,TR,L
Research Scientist,2024,359400,US,M
Research Scientist,2024,359400,US,M
Data Scientist,2024,359170,US,M
Data Scientist,2023,359170,US,M
Data Scientist,2023,359170,US,M
Data Scientist,2023,359170,US,M
Data Scientist,2023,359170,US,M
Data Scientist,2023,359170,US,M
Data Scientist,2023,359170,US,M
Data Scientist,2023,359170,US,M
Data Scientist,2023,359170,US,M
Data Scientist,2023,359170,US,M
Data Scientist,2023,359170,US,M
ML Engineer,2024,357900,US,M
Data Architect,2023,354200,US,M
Director of Data Science,2023,353200,US,M
Director of Data Science,2023,353200,US,M
Computer Vision Engineer,2023,351000,US,M
Research Engineer,2023,350000,US,M
Data Engineer,2023,350000,US,M
AI Engineer,2023,350000,US,M
Data Lead,2023,350000,US,M
Analytics Engineer,2023,430640,GB,M
Applied Scientist,2023,350000,US,L
Data Analyst,2022,430967,GB,M
Data Scientist,2022,350000,US,M
Data Architect,2022,345600,US,M
Analytics Engineer,2024,345400,US,M
Machine Learning Engineer,2024,345400,US,M
Machine Learning Engineer,2024,345400,US,M
Research Scientist,2024,345000,US,M
Research Scientist,2023,345000,US,M
Computer Vision Engineer,2023,342810,US,M
Data Analytics Lead,2024,342400,US,M
Machine Learning Engineer,2023,342300,US,L
Machine Learning Engineer,2024,340000,US,M
Research Scientist,2024,340000,US,M
Machine Learning Engineer,2023,340000,US,M
Research Scientist,2023,340000,US,M
Research Engineer,2024,339250,US,M
Research Scientist,2024,337300,US,M
Research Scientist,2024,337300,US,M
Research Scientist,2024,337300,US,M
Research Scientist,2024,337300,US,M
Director of Data Science,2023,336400,US,M
ML Engineer,2023,336300,US,M
Data Engineer,2024,334075,CA,M
Research Scientist,2024,333500,US,M
Machine Learning Engineer,2024,333500,US,M
Research Engineer,2024,333500,US,M
Research Engineer,2024,333500,US,M
Data Engineer,2023,333500,US,M
Machine Learning Engineer,2023,333500,US,M
Data Engineer,2023,333500,US,M
Machine Learning Engineer,2024,331640,US,M
Data Engineer,2024,331640,US,M
Machine Learning Engineer,2024,331640,US,M
Machine Learning Engineer,2024,331640,US,M
Machine Learning Engineer,2023,331640,US,M
ML Engineer,2023,331640,US,M
Machine Learning Engineer,2023,331640,US,M
Machine Learning Engineer,2023,331640,US,M
Deep Learning Engineer,2023,331640,US,M
Machine Learning Engineer,2023,331640,US,M
Data Engineer,2023,331640,US,M
Machine Learning Engineer,2023,331640,US,M
Machine Learning Engineer,2023,331640,US,M
Data Engineer,2023,331640,US,M
Deep Learning Engineer,2023,331640,US,M
Machine Learning Engineer,2023,331640,US,M
Machine Learning Engineer,2023,331640,US,M
Machine Learning Engineer,2023,331640,US,M
Data Science,2024,331292,US,M
Machine Learning Engineer,2023,330000,US,M
Head of Machine Learning,2023,330000,US,M
Machine Learning Engineer,2023,330000,US,M
Machine Learning Engineer,2023,330000,US,M
AI Architect,2023,330000,US,M
AI Architect,2023,330000,US,M
AI Architect,2023,330000,US,M
AI Architect,2023,330000,US,M
Head of Data Science,2023,330000,US,M
Data Scientist,2023,329700,US,M
Head of Data,2023,329500,US,M
Head of Data,2023,329500,US,M
Head of Data,2023,329500,US,M
Head of Data,2023,329500,US,M
Analytics Engineer,2024,329200,CA,M
Machine Learning Engineer,2023,328400,US,M
Machine Learning Engineer,2023,328133,US,M
Data Science Manager,2024,328000,US,M
Data Science Manager,2023,328000,US,M
Data Science,2024,326000,US,M
Data Analyst,2024,325000,US,M
Machine Learning Scientist,2023,325000,US,M
Analytics Engineering Manager,2023,399880,GB,L
Director of Data Science,2020,325000,US,L
Data Science,2024,324100,US,L
Machine Learning Engineer,2024,324000,US,M
Machine Learning Engineer,2024,324000,US,M
Machine Learning Engineer,2024,324000,US,M
Machine Learning Engineer,2024,324000,US,M
Data Science,2024,324000,US,M
Machine Learning Engineer,2024,324000,US,M
Machine Learning Engineer,2024,324000,US,M
ML Engineer,2024,324000,US,M
Data Scientist,2024,324000,US,M
Machine Learning Engineer,2024,324000,US,M
Machine Learning Engineer,2023,324000,US,M
Machine Learning Engineer,2023,324000,US,M
ML Engineer,2023,324000,US,M
Data Scientist,2023,324000,US,M
Machine Learning Engineer,2023,324000,US,M
Machine Learning Engineer,2023,324000,US,M
Data Engineer,2022,324000,US,M
Data Science,2024,323700,US,M
Research Scientist,2024,323300,US,M
Research Scientist,2023,323300,US,M
Machine Learning Engineer,2023,323300,US,M
Machine Learning Engineer,2023,323300,US,M
Data Scientist,2023,323300,US,M
Data Scientist,2023,323300,US,M
Machine Learning Engineer,2023,323300,US,M
Data Scientist,2023,323300,US,M
Data Scientist,2023,323300,US,M
Research Scientist,2023,323300,US,M
Machine Learning Engineer,2023,323300,US,M
Data Scientist,2024,322000,US,M
Machine Learning Engineer,2024,322000,US,M
Machine Learning Engineer,2024,322000,US,M
Data Product Owner,2024,321830,US,M
Research Scientist,2024,321000,US,M
Research Scientist,2024,321000,US,M
Business Intelligence,2024,320000,US,M
Machine Learning Engineer,2023,319000,US,M
Machine Learning Engineer,2023,319000,US,M
Machine Learning Engineer,2023,318300,US,M
Machine Learning Engineer,2023,318300,US,M
Machine Learning Engineer,2023,317070,US,M
Data Scientist,2023,317070,US,M
AI Architect,2024,317000,US,M
Data Engineer,2024,316900,US,M
Data Scientist,2023,316000,US,M
Data Scientist,2023,316000,US,M
Data Scientist,2023,316000,US,M
ML Engineer,2023,315850,US,M
ML Engineer,2023,315850,US,M
Machine Learning Engineer,2023,315300,US,M
