Country,ISO3,Human Development Groups,Inequality in Education (2016),Inequality in Education (2017),Inequality in Education (2018),Inequality in Education (2019),Inequality in Education (2020),Inequality in Education (2021)
Egypt,EGY,High,36.94291,36.94291,36.94291,36.94291,36.94291,36.94291
Zimbabwe,ZWE,Medium,16.80576,16.80576,16.80576,14.60503,14.60503,14.60503
Algeria,DZA,High,33.68956,33.68956,33.68956,33.28262,33.28262,33.28262
United Kingdom,GBR,Very High,3.74374,2.73404,2.84785,2.84785,2.84785,2.84785
Brunei,BRN,Very High,,,,,,
Mozambique,MOZ,Low,36.57526228,40.5314308,40.5314308,40.5314308,40.5314308,40.5314308
Liberia,LBR,Low,42.87091,42.87091,42.87091,42.87091,42.11968,42.11968
Romania,ROU,Very High,6.32012,5.3222,5.33215,5.33215,5.43438,5.43438
Brazil,BRA,High,18.39506,16.9775,16.06656,15.65257,15.65257,15.65257
Uruguay,URY,Very High,6.65935,6.63096,6.52606,6.54951,6.54951,6.54951
India,IND,Medium,38.66773,38.66773,38.66773,36.87573,36.87573,36.87573
Malaysia,MYS,Very High,12.06360206,12.06360206,12.06360206,12.06360206,12.06360206,12.06360206
Seychelles,SYC,High,,,,6.65648,6.65648,6.65648
Dominican Republic,DOM,High,17.64944,15.70572,15.82689,15.04513,15.04513,15.04513
Libya,LBY,High,,,,,,
Nicaragua,NIC,Medium,25.79903661,25.79903661,25.79903661,25.79903661,25.79903661,25.79903661
Moldova,MDA,High,2.759083599,2.759083599,2.570094084,2.570094084,2.570094084,2.570094084
Uzbekistan,UZB,High,0.724853929,0.724853929,0.550110115,0.550110115,0.550110115,0.550110115
Kiribati,KIR,Medium,,,9.63653,9.63653,9.63653,9.63653
Iran,IRN,High,4.984428444,4.984428444,4.984428444,4.984428444,4.984428444,4.984428444
Nigeria,NGA,Low,43.81248,38.09476,40.41507,40.41507,40.41507,40.41507
Micronesia,FSM,Medium,,,,,,
Ghana,GHA,Medium,34.92485,35.10167,35.10167,35.10167,35.10167,35.10167
Trinidad and Tobago,TTO,Very High,9.71398,,,,,
San Marino,SMR,Very High,,,5.562256324,5.562256324,5.562256324,5.562256324
