job_title,salary,salary_currency
Research Scientist,340000,USD
Research Engineer,339250,USD
Research Scientist,337300,USD
Research Scientist,337300,USD
Research Scientist,337300,USD
Research Scientist,337300,USD
Director of Data Science,336400,USD
ML Engineer,336300,USD
Data Engineer,334075,USD
Research Scientist,333500,USD
Machine Learning Engineer,333500,USD
Research Engineer,333500,USD
Research Engineer,333500,USD
Data Engineer,333500,USD
Machine Learning Engineer,333500,USD
Data Engineer,333500,USD
Machine Learning Engineer,331640,USD
Data Engineer,331640,USD
Machine Learning Engineer,331640,USD
Machine Learning Engineer,331640,USD
Machine Learning Engineer,331640,USD
ML Engineer,331640,USD
Machine Learning Engineer,331640,USD
Machine Learning Engineer,331640,USD
Deep Learning Engineer,331640,USD
Machine Learning Engineer,331640,USD
Data Engineer,331640,USD
Machine Learning Engineer,331640,USD
Machine Learning Engineer,331640,USD
Data Engineer,331640,USD
Deep Learning Engineer,331640,USD
Machine Learning Engineer,331640,USD
Machine Learning Engineer,331640,USD
Machine Learning Engineer,331640,USD
Data Science,331292,USD
Machine Learning Engineer,330000,USD
Head of Machine Learning,330000,USD
Machine Learning Engineer,330000,USD
Machine Learning Engineer,330000,USD
AI Architect,330000,USD
AI Architect,330000,USD
AI Architect,330000,USD
AI Architect,330000,USD
Head of Data Science,330000,USD
Data Scientist,329700,USD
Head of Data,329500,USD
Head of Data,329500,USD
Head of Data,329500,USD
Head of Data,329500,USD
Analytics Engineer,329200,USD
Machine Learning Engineer,328400,USD
Machine Learning Engineer,328133,USD
Data Science Manager,328000,USD
Data Science Manager,328000,USD
Data Science,326000,USD
Data Analyst,325000,USD
Machine Learning Scientist,325000,USD
Analytics Engineering Manager,325000,GBP
Director of Data Science,325000,USD
Data Science,324100,USD
Machine Learning Engineer,324000,USD
Machine Learning Engineer,324000,USD
Machine Learning Engineer,324000,USD
Machine Learning Engineer,324000,USD
Data Science,324000,USD
Machine Learning Engineer,324000,USD
Machine Learning Engineer,324000,USD
ML Engineer,324000,USD
Data Scientist,324000,USD
Machine Learning Engineer,324000,USD
Machine Learning Engineer,324000,USD
Machine Learning Engineer,324000,USD
ML Engineer,324000,USD
Data Scientist,324000,USD
Machine Learning Engineer,324000,USD
Machine Learning Engineer,324000,USD
Data Engineer,324000,USD
Data Science,323700,USD
Research Scientist,323300,USD
Research Scientist,323300,USD
