,Book_name,Author_name,reviews
76,MTG International General Knowledge Olympiad (IGKO) Workbook for Class 4 - MCQs & Achievers Section - SOF IGKO Olympiad Preparation Books For 2024-2025 Exam,RAGHAV SINGH,4.0
77,1001 Ultimate Brain Booster Activities for 4+ Years Old Kids |Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,Team Pegasus,4.6
78,My First 365 Coloring Book: Jumbo Coloring Book For Kids (With Tear Out Sheets),Wonder House Books,4.5
79,The Performance Paradox: How to Learn and Grow Without Compromising Results,Eduardo Briceno,4.3
80,101 Essays That Will Change The Way You Think,Brianna Wiest,4.3
81,The Compound Effect,Darren Hardy,4.6
82,How to Change Your Life,Jake Humphrey,4.4
83,Wings Of Fire An Autobiography,Arun Tiwari,4.6
84,BlackBook of English Vocabulary May 2024 by Nikhil Gupta,Nikhil Gupta,4.4
85,"LEADING THROUGH INFLATION, RECESSION AND STAGFLATION",Ram Charan,4.4
86,"Read People Like a Book: How to Analyze, Understand, and Predict People’s Emotions, Thoughts, Intentions, and Behaviors",Patrick King,4.3
87,The Science of Getting Rich with The Science of Being Great,Wallace D. Wattles,4.5
88,"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics",Bhagat Singh,4.6
