Year, Month,Monthly Anomaly, Monthly Unc.,  Annual Anomaly, Annual Unc,Five-Year Anomaly, Five-Year Unc., Ten-Year Anomaly, Ten-Year Unc.,  Twenty-Year Anomaly, Twenty-year Unc.
2016,12,0.974,0.049,1.037,0.028,0.987,0.022,0.935,0.022,     NaN,  NaN
1982,9,0.151,0.048,0.235,0.027,0.253,0.019,0.217,0.017,0.217,0.015
1871,7,-0.134,0.255,-0.19,0.224,-0.177,0.113,-0.181,0.097,-0.18,0.066
1955,1,0.357,0.086,-0.078,0.066,-0.038,0.057,-0.007,0.051,-0.009,0.046
2020,7,1.033,0.04,1.078,0.027,0.997,  NaN,     NaN,  NaN,     NaN,  NaN
2003,5,0.662,0.046,0.666,0.026,0.683,0.02,0.646,0.019,0.616,0.018
1855,8,-0.255,0.438,-0.001,0.225,-0.149,0.169,-0.202,0.135,     NaN,  NaN
1862,8,-0.299,0.237,-0.408,0.123,-0.357,0.12,-0.284,0.096,-0.206,0.098
1965,10,0.066,0.055,-0.089,0.04,-0.068,0.033,-0.031,0.026,-0.02,0.023
1869,2,0.244,0.505,-0.014,0.171,-0.091,0.122,-0.159,0.088,-0.191,0.073
1965,4,-0.272,0.06,-0.152,0.04,-0.063,0.033,-0.032,0.027,-0.022,0.024
1864,8,-0.288,0.397,-0.243,0.186,-0.274,0.102,-0.238,0.091,-0.22,0.085
1988,5,0.454,0.039,0.456,0.026,0.349,0.019,0.307,0.018,0.326,0.016
1890,5,-0.207,0.203,-0.334,0.075,-0.258,0.068,-0.304,0.061,-0.263,0.06
1922,4,0.035,0.128,-0.251,0.081,-0.197,0.069,-0.208,0.06,-0.19,0.057
2006,6,0.775,0.041,0.709,0.025,0.696,0.021,0.711,0.02,0.698,0.018
1900,11,-0.162,0.126,-0.062,0.081,-0.175,0.065,-0.238,0.066,-0.284,0.061
1929,7,-0.325,0.199,-0.312,0.078,-0.106,0.063,-0.121,0.061,-0.11,0.058
1874,8,-0.125,0.185,-0.284,0.139,-0.263,0.088,-0.141,0.082,-0.167,0.064
1898,4,-0.334,0.231,-0.287,0.083,-0.149,0.063,-0.189,0.061,-0.256,0.061
