Book,Author,Genres
Crime and Punishment,Fyodor Dostoevsky,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Philosophy', 'Novels']"
The Help,Kathryn Stockett,"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Classics', 'Contemporary']"
The Secret Garden,Frances Hodgson Burnett,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Fantasy']"
Memoirs of a Geisha,Arthur Golden,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Classics', 'Japan', 'Adult']"
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure']"
The Odyssey,Homer,"['Classics', 'Fiction', 'Poetry', 'Mythology', 'Fantasy', 'School', 'Literature']"
A Christmas Carol,Charles Dickens,"['Classics', 'Fiction', 'Christmas', 'Fantasy', 'Audiobook', 'Literature', 'Historical Fiction']"
"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor']"
The Outsiders,S.E. Hinton,"['Classics', 'Young Adult', 'Fiction', 'School', 'Read For School', 'Realistic Fiction', 'Coming Of Age']"
One Hundred Years of Solitude,Gabriel García Márquez,"['Fiction', 'Classics', 'Magical Realism', 'Literature', 'Fantasy', 'Novels', 'Historical Fiction']"
The Grapes of Wrath,John Steinbeck,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', 'School', 'American']"
A Thousand Splendid Suns,Khaled Hosseini,"['Fiction', 'Historical Fiction', 'Contemporary', 'Historical', 'Novels', 'War', 'Classics']"
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Middle Grade', 'Audiobook']"
Where the Sidewalk Ends,Shel Silverstein,"['Poetry', 'Childrens', 'Classics', 'Fiction', 'Humor', 'Young Adult', 'Picture Books']"
The Count of Monte Cristo,Alexandre Dumas,"['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'Literature', 'France', 'Historical']"
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"['Science Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia', 'War']"
Where the Wild Things Are,Maurice Sendak,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult']"
The Color Purple,Alice Walker,"['Classics', 'Fiction', 'Historical Fiction', 'Feminism', 'LGBT', 'Historical', 'African American']"
A Tale of Two Cities,Charles Dickens,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'School']"
The Adventures of Tom Sawyer,Mark Twain,"['Classics', 'Fiction', 'Adventure', 'Historical Fiction', 'Young Adult', 'Literature', 'Childrens']"
Life of Pi,Yann Martel,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Contemporary', 'Magical Realism', 'Novels']"
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult']"
One Flew Over the Cuckoo's Nest,Ken Kesey,"['Classics', 'Fiction', 'Psychology', 'Literature', 'Novels', 'Mental Health', 'School']"
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"['Classics', 'Fiction', 'Horror', 'Science Fiction', 'Gothic', 'Fantasy', 'School']"
Flowers for Algernon,Daniel Keyes,"['Fiction', 'Classics', 'Science Fiction', 'Young Adult', 'Psychology', 'Literature', 'School']"
"Oh, the Places You'll Go!",Dr. Seuss,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Young Adult']"
Anna Karenina,Leo Tolstoy,"['Classics', 'Fiction', 'Romance', 'Russia', 'Historical Fiction', 'Russian Literature', 'Literature']"
Tuesdays with Morrie,Mitch Albom,"['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Inspirational', 'Philosophy', 'Self Help']"
Winnie-the-Pooh (Winnie-the-Pooh #1),A.A. Milne,"['Classics', 'Childrens', 'Fiction', 'Fantasy', 'Animals', 'Middle Grade', 'Audiobook']"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']"
Slaughterhouse-Five,Kurt Vonnegut Jr.,"['Classics', 'Fiction', 'Science Fiction', 'War', 'Historical Fiction', 'Literature', 'Novels']"
The Old Man and the Sea,Ernest Hemingway,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'School', 'Adventure']"
Catch-22,Joseph Heller,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Humor', 'Literature', 'Novels']"
The Scarlet Letter,Nathaniel Hawthorne,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'High School', 'Historical']"
Macbeth,William Shakespeare,"['Classics', 'Plays', 'Fiction', 'School', 'Drama', 'Read For School', 'Literature']"
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Vampires', 'Paranormal', 'Paranormal Romance']"
Lolita,Vladimir Nabokov,"['Classics', 'Fiction', 'Literature', 'Novels', 'Russia', 'Romance', 'Russian Literature']"
The Metamorphosis,Franz Kafka,"['Classics', 'Fiction', 'Fantasy', 'Philosophy', 'Literature', 'Short Stories', 'School']"
The Time Traveler's Wife,Audrey Niffenegger,"['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult']"
Siddhartha,Hermann Hesse,"['Classics', 'Fiction', 'Philosophy', 'Spirituality', 'Religion', 'Literature', 'Buddhism']"
The Stranger,Albert Camus,"['Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Novels', 'French Literature']"
Goodnight Moon,Margaret Wise Brown,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Kids', 'Animals']"
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']"
A Tree Grows in Brooklyn,Betty  Smith,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Coming Of Age', 'Historical', 'New York']"
War and Peace,Leo Tolstoy,"['Classics', 'Fiction', 'Historical Fiction', 'Russia', 'Russian Literature', 'Literature', 'War']"
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,"['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade']"
A Clockwork Orange,Anthony Burgess,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Horror', 'Novels']"
All Quiet on the Western Front,Erich Maria Remarque,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Historical', 'Literature', 'School']"
The Stand,Stephen King,"['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Post Apocalyptic', 'Thriller', 'Dystopia']"
Don Quixote,Miguel de Cervantes Saavedra,"['Classics', 'Fiction', 'Literature', 'Spanish Literature', 'Adventure', 'Historical Fiction', 'Novels']"
Uncle Tom's Cabin,Harriet Beecher Stowe,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'American', 'Novels']"
القرآن الكريم,Anonymous,"['Religion', 'Islam', 'Nonfiction', 'Classics', 'Philosophy', 'Reference', 'Spirituality']"
Atlas Shrugged,Ayn Rand,"['Fiction', 'Classics', 'Philosophy', 'Politics', 'Literature', 'Science Fiction', 'Novels']"
The Brothers Karamazov,Fyodor Dostoevsky,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Philosophy', 'Novels']"
The Poisonwood Bible,Barbara Kingsolver,"['Fiction', 'Historical Fiction', 'Africa', 'Classics', 'Historical', 'Literary Fiction', 'Literature']"
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,"['Nonfiction', 'Classics', 'Memoir', 'Biography', 'Autobiography', 'Poetry', 'Feminism']"
The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,"['Religion', 'Nonfiction', 'Lds', 'Church', 'Spirituality', 'Classics', 'History']"
"Moby-Dick or, the Whale",Herman Melville,"['Classics', 'Fiction', 'Literature', 'Adventure', 'Historical Fiction', 'Novels', 'American']"
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Historical Fiction', 'Suspense', 'Adventure']"
Great Expectations,Charles Dickens,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'School', 'Novels', '19th Century']"
"The Good Earth (House of Earth, #1)",Pearl S. Buck,"['Classics', 'Fiction', 'Historical Fiction', 'China', 'Literature', 'Historical', 'Asia']"
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,"['Nonfiction', 'Biography', 'History', 'Christian', 'Memoir', 'Classics', 'Holocaust']"
Dracula,Bram Stoker,"['Classics', 'Horror', 'Fiction', 'Fantasy', 'Vampires', 'Gothic', 'Paranormal']"
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade']"
The Fault in Our Stars,John Green,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age']"
Matilda,Roald Dahl,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Middle Grade', 'Young Adult', 'Humor']"
The Perks of Being a Wallflower,Stephen Chbosky,"['Young Adult', 'Fiction', 'Contemporary', 'Classics', 'Mental Health', 'Realistic Fiction', 'LGBT']"
Brave New World,Aldous Huxley,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School']"
Sense and Sensibility,Jane Austen,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']"
The Princess Bride,William Goldman,"['Fantasy', 'Classics', 'Fiction', 'Romance', 'Humor', 'Young Adult', 'Adventure']"
The Iliad,Homer,"['Classics', 'Poetry', 'Fiction', 'Mythology', 'Literature', 'Fantasy', 'Historical Fiction']"
East of Eden,John Steinbeck,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', 'American', 'Literary Fiction']"
Where the Red Fern Grows,Wilson Rawls,"['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Historical Fiction', 'Middle Grade', 'Animals']"
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,"['Classics', 'Horror', 'Fiction', 'Short Stories', 'Poetry', 'Mystery', 'Literature']"
Man's Search for Meaning,Viktor E. Frankl,"['Nonfiction', 'Psychology', 'Philosophy', 'History', 'Self Help', 'Memoir', 'Biography']"
The Lorax,Dr. Seuss,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Environment']"
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
The Curious Incident of the Dog in the Night-Time,Mark Haddon,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Classics', 'Novels', 'Autistic Spectrum Disorder']"
The Declaration of Independence / The Constitution of the United States,Founding Fathers,"['History', 'Nonfiction', 'Politics', 'Classics', 'Philosophy', 'Reference', 'American History']"
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Adult', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure']"
"Watership Down (Watership Down, #1)",Richard  Adams,"['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Childrens', 'Adventure']"
The Bell Jar,Sylvia Plath,"['Classics', 'Fiction', 'Feminism', 'Mental Health', 'Psychology', 'Literature', 'Mental Illness']"
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,"['Childrens', 'Fiction', 'Fantasy', 'Classics', 'Young Adult', 'Middle Grade', 'Humor']"
