Book,Author,Genres
The Proper Care and Feeding of Husbands,Laura Schlessinger,"['Nonfiction', 'Self Help', 'Marriage', 'Relationships', 'Psychology', 'Personal Development', 'Adult']"
Troublemaker: Surviving Hollywood and Scientology,Leah Remini,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Religion', 'Autobiography', 'Biography Memoir']"
Mindsight: The New Science of Personal Transformation,Daniel J. Siegel,"['Psychology', 'Nonfiction', 'Self Help', 'Science', 'Personal Development', 'Neuroscience', 'Health']"
Why I'm No Longer Talking to White People About Race,Reni Eddo-Lodge,"['Nonfiction', 'Race', 'Feminism', 'Politics', 'Anti Racist', 'Social Justice', 'History']"
The Swerve: How the World Became Modern,Stephen Greenblatt,"['History', 'Nonfiction', 'Philosophy', 'Science', 'Religion', 'Historical', 'Audiobook']"
Appointment in Samarra,John O'Hara,"['Fiction', 'Classics', 'Novels', 'Literature', 'American', 'Literary Fiction', '20th Century']"
"Why People Believe Weird Things: Pseudoscience, Superstition, and Other Confusions of Our Time",Michael Shermer,"['Science', 'Nonfiction', 'Psychology', 'Philosophy', 'Skepticism', 'Religion', 'Sociology']"
Girl in Translation,Jean Kwok,"['Fiction', 'Historical Fiction', 'Young Adult', 'Contemporary', 'China', 'Coming Of Age', 'Adult Fiction']"
"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",Robin Sloan,"['Fiction', 'Mystery', 'Fantasy', 'Books About Books', 'Contemporary', 'Audiobook', 'Adult']"
"Career of Evil (Cormoran Strike, #3)",Robert Galbraith,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Audiobook', 'Mystery Thriller', 'Detective']"
The Place That Gave,Emem Uko,"['Drama', 'Novels', 'Epic', 'Contemporary']"
Lost Connections: Uncovering the Real Causes of Depression - and the Unexpected Solutions,Johann Hari,"['Nonfiction', 'Psychology', 'Self Help', 'Mental Health', 'Science', 'Health', 'Personal Development']"
The Science of Getting Rich,Wallace D. Wattles,"['Self Help', 'Business', 'Finance', 'Nonfiction', 'Money', 'Personal Development', 'Personal Finance']"
Counter Identity (Remmich/Miller #2),Karl Braungart,"['Contemporary', 'Drama', 'Novels', 'Fiction']"
Along for the Ride,Sarah Dessen,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Chick Lit', 'Realistic Fiction', 'Teen']"
The Angler and the Owl,Viv Drewa,['Animals']
The Paul Street Boys,Ferenc Molnár,"['Classics', 'Fiction', 'Hungarian Literature', 'School', 'Childrens', 'Hungary', 'Young Adult']"
The Speed of Dark,Elizabeth Moon,"['Science Fiction', 'Fiction', 'Autistic Spectrum Disorder', 'Speculative Fiction', 'Science Fiction Fantasy', 'Fantasy', 'Disability']"
The Dark Tower Series: Books 1-7,Stephen King,"['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Thriller', 'Adventure', 'Science Fiction Fantasy']"
"You Really Are Full of Shit, Aren't You?",Karl Wiggins,"['Humor', 'Comedy', 'Nonfiction']"
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Sam Kean,"['Science', 'Nonfiction', 'History', 'Chemistry', 'Audiobook', 'Popular Science', 'Historical']"
"High Couch of Silistra (Silistra, #1)",Janet E. Morris,"['Fantasy', 'Science Fiction', 'Fiction', 'Post Apocalyptic', 'Erotica', 'High Fantasy', 'Science Fiction Fantasy']"
New World Translation of the Holy Scriptures (1984),Anonymous,"['Religion', 'Reference', 'Classics', 'Spirituality', 'Theology', 'Nonfiction', 'Inspirational']"
Martin Eden,Jack London,"['Classics', 'Fiction', 'American', 'Literature', 'Novels', 'The United States Of America', 'Adventure']"
"Jack's Day (Jack's Reign, #1)",Julie Mannino,['Fantasy']
"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)",Terry Pratchett,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'War', 'Audiobook']"
Tell No One,Harlan Coben,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Crime', 'Suspense', 'Audiobook']"
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,"['Business', 'Finance', 'Self Help', 'Nonfiction', 'Money', 'Personal Development', 'Personal Finance']"
"The Rescue (Ryan Decker, #1)",Steven Konkoly,"['Thriller', 'Fiction', 'Mystery', 'Action', 'Mystery Thriller', 'Amazon', 'Audiobook']"
My Beloved,T.M. Mendes,"['Vampires', 'Paranormal', 'Romance', 'Supernatural', 'Fantasy', 'Paranormal Romance']"
The Art of Loving,Erich Fromm,"['Psychology', 'Philosophy', 'Nonfiction', 'Self Help', 'Love', 'Relationships', 'Classics']"
The Road to Little Dribbling: Adventures of an American in Britain,Bill Bryson,"['Travel', 'Nonfiction', 'Humor', 'Memoir', 'Audiobook', 'British Literature', 'History']"
The Devil's Arithmetic,Jane Yolen,"['Historical Fiction', 'Young Adult', 'Holocaust', 'Fiction', 'Historical', 'World War II', 'Time Travel']"
"""A Problem from Hell"": America and the Age of Genocide",Samantha Power,"['Nonfiction', 'History', 'Politics', 'War', 'Africa', 'American History', 'International Relations']"
The Complete Tales,Beatrix Potter,"['Classics', 'Childrens', 'Fiction', 'Picture Books', 'Short Stories', 'Fantasy', 'Animals']"
The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,"['Nonfiction', 'History', 'Science', 'True Crime', 'Crime', 'Medicine', 'Historical']"
"Ahab's Wife, or The Star-Gazer",Sena Jeter Naslund,"['Fiction', 'Historical Fiction', 'Historical', 'Literature', 'Novels', 'Adult Fiction', 'Literary Fiction']"
Flipped,Wendelin Van Draanen,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Middle Grade', 'Childrens']"
"Still Life (Chief Inspector Armand Gamache, #1)",Louise Penny,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Audiobook', 'Canada', 'Adult']"
Seven Years in Tibet,Heinrich Harrer,"['Nonfiction', 'Travel', 'History', 'Biography', 'Memoir', 'Adventure', 'Asia']"
"Ghost Park (Devil Barnett Detective Series, #9)",Teddy Hayes,[]
The Freedom Writers Diary,Erin Gruwell,"['Nonfiction', 'Biography', 'Teaching', 'Memoir', 'School', 'Education', 'Inspirational']"
A House in the Sky,Amanda Lindhout,"['Nonfiction', 'Memoir', 'Biography', 'Travel', 'Africa', 'Biography Memoir', 'Book Club']"
"Perfect (Perfect, #1)",Tricia Copeland,"['Contemporary', 'Fiction', 'Drama', 'Novels']"
"The Present: The Secret to Enjoying Your Work and Life, Now!",Spencer Johnson,"['Self Help', 'Nonfiction', 'Business', 'Psychology', 'Personal Development', 'Inspirational', 'Philosophy']"
"Dead as a Doornail (Sookie Stackhouse, #5)",Charlaine Harris,"['Fantasy', 'Vampires', 'Paranormal', 'Urban Fantasy', 'Romance', 'Fiction', 'Mystery']"
"Master & Commander (Aubrey & Maturin, #1)",Patrick O'Brian,"['Historical Fiction', 'Fiction', 'Historical', 'Adventure', 'Classics', 'War', 'Audiobook']"
Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,Shakti Gawain,"['Self Help', 'Spirituality', 'Nonfiction', 'Psychology', 'Personal Development', 'New Age', 'Philosophy']"
The Assistant,Elle Brace,"['Romance', 'Contemporary Romance', 'Contemporary', 'Chick Lit', 'Humor', 'Love', 'New Adult']"
"Memory Man (Amos Decker, #1)",David Baldacci,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Audiobook', 'Suspense']"
Cancer: It can be a lonely journey,Ron Millicent,"['Novels', 'Inspirational', 'Contemporary', 'Adult', 'True Story', 'Self Help']"
Lost in the Crowd,M.J. Santley,"['Fiction', 'Thriller', 'Mystery', 'Drama', 'Dark', 'Young Adult', 'Crime']"
Fierce Invalids Home from Hot Climates,Tom Robbins,"['Fiction', 'Humor', 'Novels', 'Literature', 'Contemporary', 'Comedy', 'Modern']"
Wintergirls,Laurie Halse Anderson,"['Young Adult', 'Fiction', 'Contemporary', 'Mental Health', 'Realistic Fiction', 'Mental Illness', 'Teen']"
Religious Literacy: What Every American Needs to Know--And Doesn't,Stephen Prothero,"['Religion', 'Nonfiction', 'History', 'Theology', 'Spirituality', 'Education', 'Philosophy']"
Black Boy,Richard Wright,"['Classics', 'Nonfiction', 'Memoir', 'Biography', 'African American', 'Race', 'Autobiography']"
"Hollow City (Miss Peregrine's Peculiar Children, #2)",Ransom Riggs,"['Fantasy', 'Young Adult', 'Fiction', 'Paranormal', 'Historical Fiction', 'Horror', 'Time Travel']"
"The Call to Serve (The Serve, #1)",Cece Whittaker,"['Fiction', 'Novels', 'Historical Fiction', 'Historical', 'Young Adult', 'New Adult', 'Adult']"
Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"['Nonfiction', 'Science', 'Psychology', 'Computer Science', 'Technology', 'Self Help', 'Business']"
All Dreamers Go to America,Ana Ingham,"['Drama', 'Novels', 'Fiction', 'Contemporary']"
Empire of the Senseless,Kathy Acker,"['Fiction', 'Science Fiction', 'Novels', 'Feminism', 'Literature', 'Queer', 'LGBT']"
The Cherry Orchard,Anton Chekhov,"['Plays', 'Classics', 'Drama', 'Russia', 'Fiction', 'Russian Literature', 'Theatre']"
The Mother Tongue: English and How It Got That Way,Bill Bryson,"['Nonfiction', 'History', 'Language', 'Linguistics', 'Humor', 'Audiobook', 'Writing']"
The Rise and Fall of the Dinosaurs: A New History of a Lost World,Stephen Brusatte,"['Nonfiction', 'Science', 'History', 'Dinosaurs', 'Nature', 'Animals', 'Audiobook']"
Flight Behavior,Barbara Kingsolver,"['Fiction', 'Literary Fiction', 'Environment', 'Contemporary', 'Climate Change', 'Nature', 'Book Club']"
"Wolves of the Calla (The Dark Tower, #5)",Stephen King,"['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Westerns', 'Adventure', 'Audiobook']"
"The Absolute Sandman, Volume 1",Neil Gaiman,"['Comics', 'Graphic Novels', 'Fantasy', 'Fiction', 'Horror', 'Graphic Novels Comics', 'Comic Book']"
"Ojo por ojo (Talion, #1)",J.K. Franko,"['Thriller', 'Fiction', 'Mystery', 'International', 'Cultural', 'Mystery Thriller', 'The World']"
Ghettoside: A True Story of Murder in America,Jill Leovy,"['Nonfiction', 'True Crime', 'Crime', 'History', 'Politics', 'Race', 'Sociology']"
Born Standing Up: A Comic's Life,Steve Martin,"['Nonfiction', 'Biography', 'Memoir', 'Humor', 'Comedy', 'Audiobook', 'Autobiography']"
"Outer Order, Inner Calm: Declutter & Organize to Make More Room for Happiness",Gretchen Rubin,"['Nonfiction', 'Self Help', 'Audiobook', 'Personal Development', 'Psychology', 'Productivity', 'Health']"
"Song of Susannah (The Dark Tower, #6)",Stephen King,"['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Adventure', 'Westerns', 'Audiobook']"
"This Is How: Proven Aid in Overcoming Shyness, Molestation, Fatness, Spinsterhood, Grief, Disease, Lushery, Decrepitude & More. For Young and Old Alike.",Augusten Burroughs,"['Nonfiction', 'Self Help', 'Memoir', 'Humor', 'Psychology', 'Audiobook', 'Essays']"
The Allegory of the Cave,Plato,"['Philosophy', 'Classics', 'Nonfiction', 'School', 'Read For School', 'Short Stories', 'Literature']"
Death by Black Hole: And Other Cosmic Quandaries,Neil deGrasse Tyson,"['Science', 'Nonfiction', 'Physics', 'Astronomy', 'Space', 'Audiobook', 'Essays']"
"Triptych (Will Trent, #1)",Karin Slaughter,"['Mystery', 'Thriller', 'Crime', 'Fiction', 'Mystery Thriller', 'Suspense', 'Audiobook']"
The Covenant,James A. Michener,"['Historical Fiction', 'Fiction', 'Africa', 'Historical', 'South Africa', 'Novels', 'Classics']"
"The 39 Steps (Richard Hannay, #1)",John Buchan,"['Fiction', 'Classics', 'Mystery', 'Thriller', 'Adventure', 'Crime', 'Espionage']"
Ariel,Sylvia Plath,"['Poetry', 'Classics', 'Feminism', 'Fiction', '20th Century', 'American', 'Literature']"
Crush It!: Why Now Is the Time to Cash In on Your Passion,Gary Vaynerchuk,"['Business', 'Nonfiction', 'Self Help', 'Entrepreneurship', 'Personal Development', 'Buisness', 'Social Media']"
Still Crazy,Judy Prescott Marshall,"['Contemporary', 'Novels', 'Fiction', 'Drama', 'Romance', 'Christian', 'Chick Lit']"
Living The Best Day Ever,Hendri Coetzee,"['Nonfiction', 'Adventure']"
What to Say When You Talk to Yourself,Shad Helmstetter,"['Self Help', 'Nonfiction', 'Psychology', 'Personal Development', 'Business', 'Productivity', 'Health']"
"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,"['Young Adult', 'Romance', 'LGBT', 'Contemporary', 'Fiction', 'Queer', 'Audiobook']"
The Charisma Myth: How Anyone Can Master the Art and Science of Personal Magnetism,Olivia Fox Cabane,"['Self Help', 'Nonfiction', 'Psychology', 'Business', 'Personal Development', 'Communication', 'Leadership']"
Gates of Fire,Steven Pressfield,"['Historical Fiction', 'Fiction', 'War', 'Historical', 'Military Fiction', 'Fantasy', 'Novels']"
They Cage the Animals at Night: The True Story of an Abandoned Child's Struggle for Emotional Survival,Jennings Michael Burch,"['Nonfiction', 'Memoir', 'Biography', 'School', 'Psychology', 'Biography Memoir', 'Autobiography']"
V.,Thomas Pynchon,"['Fiction', 'Classics', 'Literature', 'Novels', 'American', 'Contemporary', 'Literary Fiction']"
Range: Why Generalists Triumph in a Specialized World,David   Epstein,"['Nonfiction', 'Business', 'Psychology', 'Self Help', 'Science', 'Personal Development', 'Audiobook']"
Going Gone,Abraham Lopez,"['Mystery', 'Drama', 'Contemporary', 'Adult', 'Fiction', 'Young Adult', 'Novels']"
The Children of Men,P.D. James,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Mystery', 'Thriller', 'Fantasy']"
Out of Africa / Shadows on the Grass,Isak Dinesen,"['Nonfiction', 'Africa', 'Memoir', 'Classics', 'Biography', 'Travel', 'History']"
Dare Me,Megan Abbott,"['Fiction', 'Young Adult', 'Mystery', 'Thriller', 'Contemporary', 'Mystery Thriller', 'Crime']"
"Crossed (Matched, #2)",Ally Condie,"['Young Adult', 'Dystopia', 'Romance', 'Science Fiction', 'Fiction', 'Fantasy', 'Teen']"
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,"['Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fiction', 'Mystery']"
"Undone (Will Trent, #3)",Karin Slaughter,"['Thriller', 'Mystery', 'Crime', 'Fiction', 'Suspense', 'Mystery Thriller', 'Audiobook']"
"Hannibal Rising (Hannibal Lecter, #4)",Thomas  Harris,"['Horror', 'Fiction', 'Thriller', 'Crime', 'Mystery', 'Suspense', 'Mystery Thriller']"
Leaders Eat Last,Simon Sinek,"['Leadership', 'Business', 'Nonfiction', 'Self Help', 'Management', 'Personal Development', 'Psychology']"
"Me Before You (Me Before You, #1)",Jojo Moyes,"['Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Adult', 'Adult Fiction', 'Audiobook']"
Punk 57,Penelope Douglas,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Contemporary Romance', 'High School', 'Fiction']"
The Bridge Across Forever: A True Love Story,Richard Bach,"['Fiction', 'Romance', 'Spirituality', 'Philosophy', 'Fantasy', 'Love', 'Novels']"
The Basketball Diaries,Jim Carroll,"['Nonfiction', 'Memoir', 'Biography', 'Autobiography', 'Biography Memoir', 'Coming Of Age', 'Classics']"
The City & the City,China Miéville,"['Fantasy', 'Fiction', 'Science Fiction', 'Mystery', 'Crime', 'Urban Fantasy', 'Speculative Fiction']"
Little Men,Louisa May Alcott,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Historical', 'Literature']"
"The Shadow of the Torturer (The Book of the New Sun, #1)",Gene Wolfe,"['Fantasy', 'Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Speculative Fiction', 'Novels', 'Audiobook']"
Hollywood,Charles Bukowski,"['Fiction', 'Novels', 'Classics', 'Literature', 'American', 'The United States Of America', 'Humor']"
"Gilead (Gilead, #1)",Marilynne Robinson,"['Fiction', 'Historical Fiction', 'Literary Fiction', 'Novels', 'Religion', 'Literature', 'Classics']"
A Unique Kind of Love,Jasmine  Rose,"['Romance', 'Young Adult', 'Contemporary', 'Contemporary Romance', 'Love', 'Young Adult Contemporary', 'Young Adult Romance']"
"C is for Corpse  (Kinsey Millhone, #3)",Sue Grafton,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Audiobook', 'Detective', 'Thriller']"
The Secret History of Wonder Woman,Jill Lepore,"['Nonfiction', 'History', 'Feminism', 'Biography', 'Comics', 'Audiobook', 'Superheroes']"
"The Iron King (The Iron Fey, #1)",Julie Kagawa,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Fae', 'Fairies', 'Urban Fantasy']"
Wonderstruck,Brian Selznick,"['Historical Fiction', 'Fiction', 'Middle Grade', 'Young Adult', 'Graphic Novels', 'Childrens', 'Mystery']"
The Member of the Wedding,Carson McCullers,"['Fiction', 'Classics', 'Coming Of Age', 'Southern', 'Novels', 'Young Adult', 'Literary Fiction']"
The Postman Always Rings Twice,James M. Cain,"['Fiction', 'Classics', 'Mystery', 'Crime', 'Noir', 'Thriller', 'Mystery Thriller']"
"Fractured (Will Trent, #2)",Karin Slaughter,"['Mystery', 'Thriller', 'Crime', 'Fiction', 'Suspense', 'Mystery Thriller', 'Audiobook']"
View Points and Points of View: A 'Phoetry Book' from Cornwall,Clive Blake,[]
"Take a Deep Breath - 21 Top Tips for Relaxed, Rewarding and Healthy Life for Stressed Wage Earners",Michal Siwiec,[]
Rising Sun,Michael Crichton,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Crime', 'Mystery Thriller', 'Japan']"
Lucky Go Happy: Make Happiness Happen!,Paul Van Der Merwe,"['Psychology', 'Self Help', 'Nonfiction']"
The Book of Jubilees,Eric M. Black,"['Historical Fiction', 'Fantasy']"
"Beautiful Darkness (Caster Chronicles, #2)",Kami Garcia,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Magic', 'Fiction', 'Supernatural']"
Angles - Part I,Erin Lockwood,[]
The Sidepiece Handbook,toniwo,[]
"Deadly Pretty Strangers: One dead body, one bereaved mother, one small favour ...",Max Thorn,[]
"Rock-A-Bye Baby (The Sand Maiden, #2)",L.R.W. Lee,"['Fantasy', 'New Adult', 'Mythology', 'Young Adult', 'Romance', 'Paranormal']"
What We Think We Become,Durgesh Satpathy,"['Self Help', 'Nonfiction', 'Inspirational']"
"The Removable Root Cause of Cancers and other Chronic Diseases : The Effort Theory of Evolution, Chronic Diseases and Extinction",Paul Ola,"['Health', 'Nonfiction', 'Medicine', 'Science']"
The Dirty Truth,T.J. Anderson,"['Biography', 'Romance', 'Psychology', 'Sports Romance', 'Nonfiction']"
"Broken Point (The Wayward Gifted, #1)",Donna K. Childree,['Young Adult']
Just Around The Bend: Más o Menos,Renée Paule,"['Philosophy', 'Inspirational', 'Self Help', 'Nonfiction', 'Spirituality']"
Dear Su Yen: A Young Woman From Taiwan Discovers England And Discovers Herself,Su-Yen Hu,[]
The Valley of Unknowing,Philip Sington,"['Historical Fiction', 'Fiction', 'Germany', 'Mystery', 'Historical', 'Thriller', 'Literary Fiction']"
"Touch Me (Touch, #1)",T.H. Snyder,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Amazon', 'Erotica', 'Humor']"
Brazen Violations,Jonathan Macpherson,['Thriller']
Game Night,Cassidy Storm,"['BDSM', 'Femme Femme', 'Erotica', 'LGBT', 'Lesbian', 'Lesbian Romance', 'Contemporary']"
"Sex: How to Get More of It: A guy's roadmap to paradise, in and out of the bedroom",Jodi Ambrose,[]
The Unwords,Non Nomen,"['Poetry', 'Nonfiction', 'Philosophy', 'Amazon', 'Sociology', 'Adult', 'Linguistics']"
"War and Remembrance (The Henry Family, #2)",Herman Wouk,"['Historical Fiction', 'Fiction', 'World War II', 'War', 'Historical', 'Classics', 'Holocaust']"
"Pretty Little Liars (Pretty Little Liars, #1)",Sara Shepard,"['Young Adult', 'Mystery', 'Contemporary', 'Fiction', 'Romance', 'Chick Lit', 'Thriller']"
The Piano Teacher,Elfriede Jelinek,"['Fiction', 'Nobel Prize', 'German Literature', 'Classics', 'Novels', 'Literature', 'Contemporary']"
The Art of Startup Fundraising,Alejandro Cremades,"['Business', 'Entrepreneurship', 'Finance', 'Economics', 'Nonfiction', 'Money', 'Self Help']"
The Samurai's Garden,Gail Tsukiyama,"['Historical Fiction', 'Fiction', 'Japan', 'Asia', 'Historical', 'Asian Literature', 'China']"
The Real Book of the Dead,Collette Sinclaire,[]
"Perdido Street Station (New Crobuzon, #1)",China Miéville,"['Fantasy', 'Fiction', 'Science Fiction', 'Steampunk', 'Horror', 'Urban Fantasy', 'New Weird']"
Girl Talk,Cassidy Storm,"['Romance', 'Erotica', 'Lesbian', 'LGBT', 'Lesbian Romance', 'Novella', 'Femme Femme']"
Adjustment Day,Chuck Palahniuk,"['Fiction', 'Dystopia', 'Contemporary', 'Science Fiction', 'Horror', 'Humor', 'American']"
The Power of a Praying Parent,Stormie Omartian,"['Parenting', 'Christian', 'Nonfiction', 'Prayer', 'Faith', 'Spirituality', 'Christianity']"
"Buddha's Brain: The Practical Neuroscience of Happiness, Love, and Wisdom",Rick Hanson,"['Psychology', 'Nonfiction', 'Buddhism', 'Self Help', 'Spirituality', 'Science', 'Neuroscience']"
Journey to the West: A Long March from Eastern Dream to Western Reality,Biao  Wang,"['Memoir', 'China', 'History']"
The Liars' Club,Mary Karr,"['Memoir', 'Nonfiction', 'Biography', 'Biography Memoir', 'Autobiography', 'Coming Of Age', 'Book Club']"
"Revealing Eden (Save the Pearls, #1)",Victoria Foyt,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fantasy', 'Romance', 'Post Apocalyptic', 'Fiction']"
Exquisite Corpse,Poppy Z. Brite,"['Horror', 'Fiction', 'LGBT', 'Thriller', 'Queer', 'Crime', 'Dark']"
Healing Stone,Brock Booher,"['Historical Fiction', 'Suspense', 'Mystery', 'Fiction']"
"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,"['Fiction', 'Romance', 'Contemporary', 'Chick Lit', 'Audiobook', 'Adult', 'Humor']"
The Happiness Equation: Want Nothing + Do Anything = Have Everything,Neil Pasricha,"['Self Help', 'Nonfiction', 'Psychology', 'Personal Development', 'Productivity', 'Audiobook', 'Philosophy']"
"Fifth Business (The Deptford Trilogy, #1)",Robertson Davies,"['Fiction', 'Canada', 'Classics', 'Historical Fiction', 'Literature', 'Literary Fiction', 'Novels']"
Notes of a Dirty Old Man,Charles Bukowski,"['Fiction', 'Short Stories', 'Poetry', 'Classics', 'Literature', 'American', 'Essays']"
The Language of Flowers,Vanessa Diffenbaugh,"['Fiction', 'Romance', 'Contemporary', 'Book Club', 'Adult Fiction', 'Adult', 'Chick Lit']"
The Success Principles: How to Get from Where You Are to Where You Want to Be,Jack Canfield,"['Self Help', 'Business', 'Nonfiction', 'Personal Development', 'Psychology', 'Leadership', 'Productivity']"
Mallard the Quack,Adam Nicke,[]
Wild Geese,Mary Oliver,"['Poetry', 'Nature', 'Nonfiction', 'Womens', 'The United States Of America', 'Natural History', 'Contemporary']"
The Complete Collected Poems,Maya Angelou,"['Poetry', 'Classics', 'Feminism', 'Nonfiction', 'African American', 'Race', 'Womens']"
Mr. Perfect,Linda Howard,"['Romance', 'Romantic Suspense', 'Suspense', 'Contemporary', 'Contemporary Romance', 'Mystery', 'Thriller']"
Puhdistus,Sofi Oksanen,"['Fiction', 'Historical Fiction', 'Finnish Literature', 'Historical', 'Contemporary', 'Novels', 'Scandinavian Literature']"
"The Story of Babar (Babar, #1)",Jean de Brunhoff,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Animals', 'Fantasy', 'France']"
The Change (Blue River Chronicles #2),C.M. Meridian,['Werewolves']
Warriors Don't Cry: A Searing Memoir of the Battle to Integrate Little Rock's Central High,Melba Pattillo Beals,"['Nonfiction', 'History', 'Memoir', 'School', 'Biography', 'Historical', 'Race']"
The Dance of Anger: A Woman's Guide to Changing the Patterns of Intimate Relationships,Harriet Lerner,"['Nonfiction', 'Psychology', 'Self Help', 'Relationships', 'Personal Development', 'Feminism', 'Mental Health']"
And Then Run,Eric Hublot,"['Fiction', 'Crime']"
Flags of Our Fathers,James D. Bradley,"['History', 'Nonfiction', 'Military Fiction', 'War', 'World War II', 'Biography', 'Military History']"
Coinman: An Untold Conspiracy,Pawan Mishra,"['Humor', 'Indian Literature', 'Literary Fiction', 'Fiction', 'Comedy', 'India', 'Thriller']"
"Darkfever (Fever, #1)",Karen Marie Moning,"['Fantasy', 'Urban Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fae', 'Adult']"
"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",Rick Riordan,"['Fantasy', 'Mythology', 'Young Adult', 'Middle Grade', 'Fiction', 'Adventure', 'Urban Fantasy']"
"Maybe Someday (Maybe, #1)",Colleen Hoover,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Young Adult', 'Fiction', 'Music']"
The Dark Half,Stephen King,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Supernatural', 'Mystery', 'Audiobook']"
Fairy Tales,Hans Christian Andersen,"['Classics', 'Fantasy', 'Fiction', 'Fairy Tales', 'Short Stories', 'Childrens', 'Literature']"
The Magic of Thinking Big,David J. Schwartz,"['Self Help', 'Business', 'Nonfiction', 'Personal Development', 'Psychology', 'Leadership', 'Productivity']"
Mein Kampf,Adolf Hitler,"['History', 'Nonfiction', 'Biography', 'Politics', 'Philosophy', 'Classics', 'Autobiography']"
My Loose Thread,Dennis Cooper,"['Fiction', 'Queer', 'LGBT', 'Young Adult', 'Contemporary', 'Gay', 'Novels']"
"Conjunction (The Wise Society, #1)",A.D. Zoltan,"['Science Fiction', 'Fiction', 'Artificial Intelligence', 'Philosophy', 'Young Adult', 'Spirituality', 'Fantasy']"
American Born Chinese,Gene Luen Yang,"['Graphic Novels', 'Young Adult', 'Comics', 'Fiction', 'Fantasy', 'Graphic Novels Comics', 'School']"
"Farmer Boy (Little House, #2)",Laura Ingalls Wilder,"['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade']"
The China-America Alliance: East Asian and American Cultural Values Promote Global Harmony,Jack C. Westman,['Nonfiction']
"The Redbreast (Harry Hole, #3)",Jo Nesbø,"['Mystery', 'Crime', 'Fiction', 'Thriller', 'Mystery Thriller', 'Scandinavian Literature', 'Detective']"
"The Present (VanWest, #2)",Kenneth   Thomas,"['Science Fiction', 'Fiction', 'Dystopia', 'Cyberpunk', 'British Literature', 'Fantasy', 'Young Adult']"
A Modest Proposal and Other Satirical Works,Jonathan Swift,"['Classics', 'Fiction', 'Humor', 'Essays', 'Literature', 'Philosophy', '18th Century']"
Every Man Dies Alone,Hans Fallada,"['Fiction', 'Historical Fiction', 'Germany', 'War', 'World War II', 'German Literature', 'Classics']"
100 Ways To Motivate Yourself: Change Your Life Forever,Steve Chandler,"['Self Help', 'Nonfiction', 'Personal Development', 'Psychology', 'Business', 'Productivity', 'Inspirational']"
"Chain of Iron (The Last Hours, #2)",Cassandra Clare,"['Fantasy', 'Fiction', 'LGBT', 'Young Adult', 'Vampires', 'Romance', 'Supernatural']"
The Little House,Virginia Lee Burton,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Fantasy', 'Juvenile', 'Family']"
The Aleph and Other Stories,Jorge Luis Borges,"['Short Stories', 'Fiction', 'Classics', 'Fantasy', 'Magical Realism', 'Literature', 'Spanish Literature']"
