index_code,expenditure_on _education_pct_gdp,mortality_rate_infant,gini_index,gdp_per_capita_ppp,inflation_consumer_prices,intentional_homicides,unemployment,gross_fixed_capital_formation,population_density,suicide_mortality_rate,tax_revenue,taxes_on_income_profits_capital,alcohol_consumption_per_capita,government_health_expenditure_pct_gdp,urban_population_pct_total,country,time,sex,rating
ITA-2006,4.52545022964478,3.7,33.7,32451.493477489028,2.09084391012754,1.06965777437625,6.777,21.580372809249106,196.61968158854043,6.7,23.32782116779765,34.63800562574693,,6.55959702,67.856,ITA,2006,TOT,462.0
CHL-2012,4.54170417785645,7.2,,21584.681267262484,3.00744840213047,2.50262790345923,6.637,26.75266240666065,23.323503225147,10.5,18.99105955369864,30.36063147684504,,3.36552095,87.189,CHL,2012,BOY,435.525
EST-2009,5.96005010604858,3.9,31.4,20478.09003310197,-0.0784083112809768,5.2452078469808,13.548,22.67824551849382,31.48183533852324,23.3,21.521023140909445,18.010963060003792,,5.05453777,68.223,EST,2009,BOY,516.0
MEX-2012,5.10309982299805,15.4,48.7,18170.02464254332,4.11150981070289,22.4325481302212,4.887,23.68820733824025,59.54675223128167,4.9,9.35241106304745,27.07745799073125,,3.00721955,78.405,MEX,2012,TOT,413.0
JPN-2015,3.22902536392212,2.0,,40898.80697396,0.795279630579839,0.285263134377176,3.385,24.97145617465717,348.8093278463649,19.1,,,6.71821,9.03866768,91.381,JPN,2015,TOT,532.0
SVN-2006,5.59066009521484,3.3,24.4,25718.76219893451,2.45792444195865,0.595956583569626,5.993,27.745546195384406,99.64587884806356,27.9,20.893860031577034,16.693709513538398,,5.61257124,51.758,SVN,2006,BOY,507.0
FRA-2018,5.40716981887817,3.4,32.4,46537.47404425914,1.85081508315503,1.08279984503205,9.018,22.892634301271187,122.65088018233718,14.2,24.17084372484985,27.45462610148688,,8.49712181,80.444,FRA,2018,GIRL,492.0
EST-2015,5.14418983459473,2.4,32.7,29175.92592678935,-0.49232600654737,3.42294736305643,6.187,24.494185114875112,30.260110420979988,15.9,21.64006428659436,20.8544135397874,15.05872,4.94316053,68.416,EST,2015,BOY,522.0
CAN-2003,,5.3,33.8,32349.94366086768,2.75856321360112,1.73627308507896,7.574,20.01240095573433,3.529497556769828,12.4,13.22893471327173,50.348114846650304,,6.59055662,79.967,CAN,2003,BOY,541.0
IRL-2012,,3.4,33.2,46283.72896610626,1.69620897294548,1.13921416130834,15.451,19.62276524713603,66.76633763971549,12.4,22.51982211008793,36.73018411508284,,7.62500095,61.942,IRL,2012,GIRL,493.705
DEU-2012,4.92844009399414,3.4,31.1,43359.61482717231,2.00848884782956,0.808137138983971,5.379,20.32109306417125,230.75062546623056,12.9,11.622986110858156,16.09640737277509,,8.18770885,77.17,DEU,2012,GIRL,506.625
SWE-2009,6.74971008300781,2.6,27.3,40279.87700556301,-0.494460544377991,0.999848087597013,8.351,22.493787350347947,22.82742143719357,15.7,27.233538461262185,13.034485027794156,,7.23678303,84.902,SWE,2009,TOT,494.0
NLD-2009,5.43156003952026,3.9,27.9,44557.39385794519,1.1897768702155,0.931289716822917,4.347,21.305866122955884,490.0796916691373,9.5,20.9443347278192,25.98957760538716,,6.8005991,86.288,NLD,2009,TOT,526.0
DEU-2009,4.34005403518677,3.5,30.5,36816.207175113406,0.312739007368447,0.98817859057552,7.742,19.267539752957195,234.93963741717104,12.8,11.61493705355865,15.45570018200094,,8.50175571,76.771,DEU,2009,TOT,513.0
FRA-2009,5.73407077789307,3.2,32.7,34676.36399426764,0.0876204781574552,1.3189829703999,9.122,22.067503880868944,118.18108251743654,18.4,20.70142768466791,23.06392814753493,,7.97806454,78.117,FRA,2009,GIRL,489.0
USA-2003,6.3286075592041,6.9,40.8,39490.27495570071,2.27009497336115,,5.989,21.62262062806869,31.664534617198143,11.7,9.39069910317543,50.1184235531497,,6.52333498,79.583,USA,2003,GIRL,480.0
EST-2006,5.85676240921021,5.1,33.7,19344.05182928484,4.43762042389213,,5.915,36.80028565259015,31.7718801604152,20.9,19.959274607504053,20.29190974605353,,3.56107664,68.607,EST,2006,TOT,515.0
AUS-2012,4.86667013168335,3.6,,42866.60432950846,1.76278015613196,1.06910609399713,5.225,27.40416776604222,2.959200369680955,11.7,21.09748329615445,65.51730988641718,,6.17947626,85.402,AUS,2012,TOT,504.0
NLD-2006,5.04402017593384,4.3,30.0,41011.1526382863,1.10150106517702,0.784040992603247,5.002,21.0409445963192,484.18545616113744,9.6,21.60001094866785,25.5292159236576,,5.99285603,83.636,NLD,2006,TOT,531.0
NOR-2003,7.39933013916016,3.6,27.6,38684.52460875327,2.48782553461783,,4.221,18.841570228342555,12.498097162444832,11.8,25.869545808588786,27.781631883548457,,7.66358662,77.084,NOR,2003,TOT,495.0
NZL-2003,,5.7,,23990.07927547812,1.75357444759557,1.09454342737866,4.745,23.25711754854604,15.29451976757434,13.7,29.24813843407012,52.942916495970415,,5.82977486,86.221,NZL,2003,GIRL,516.0
CHL-2009,4.25475978851318,7.5,47.0,16118.376746500046,0.353045178360957,3.74254898595635,11.313,24.12031560390407,22.639841997385453,12.7,14.605860565337297,28.0864075950764,,3.37831378,87.017,CHL,2009,TOT,421.0
PRT-2006,4.90767002105713,3.4,38.1,24681.138102027213,3.1076654587105,,7.649,22.532853555224843,115.03539958456324,11.5,21.125162349926967,20.79028771572405,,5.93430281,58.137,PRT,2006,GIRL,459.0
TUR-2009,3.76504969596863,16.6,39.0,15442.731846018838,6.25097663090626,,14.026,22.2294039423981,93.60238816054468,2.4,18.073934946411395,17.70518966522758,,4.42291498,70.241,TUR,2009,TOT,445.0
DEU-2003,4.17101860046387,4.1,29.9,29909.675178467427,1.03422218628562,1.34854705026876,9.779,19.52332505866873,236.616427281328,14.4,10.998521412390293,14.401366528796547,,8.05197239,75.577,DEU,2003,GIRL,499.0
DEU-2015,4.85515022277832,3.3,31.4,47609.78100458156,0.514426137125456,0.830965265091444,4.624,20.01982697658434,234.1529868715244,13.3,11.4787289586211,16.79495869299789,12.14919,8.60692406,77.2,DEU,2015,GIRL,498.0
LUX-2003,4.86869335174561,3.1,30.2,60199.5387727809,2.04984030563518,0.664670439779196,3.675,21.04899755739128,175.4270798536392,15.3,24.63009612850921,28.61074543883737,,5.83644247,85.743,LUX,2003,GIRL,485.0
MEX-2018,4.2542200088501,12.6,46.7,21015.92575568151,4.89935015356551,29.5813706276697,3.275,23.047472792330385,63.79477918670748,5.4,12.712157296324468,37.703936915159744,,2.67172027,80.156,MEX,2018,GIRL,403.0
FIN-2015,7.03208017349243,2.0,27.1,42497.704978578295,-0.207928839905268,1.49649755696774,9.376,21.229983205998533,18.03011088809187,14.0,20.47070511152636,15.176583278390783,9.43487,7.577631,85.225,FIN,2015,TOT,511.0
IRL-2003,4.20493984222412,5.1,32.9,36284.92797691818,3.49048968029137,0.934649083475531,4.478,24.911072058199583,58.013078821309335,12.1,24.160739179045592,40.25844076124528,,5.51941919,59.925,IRL,2003,GIRL,495.0
HUN-2006,5.28974008560181,6.1,28.3,18382.558552413346,3.93032603841001,1.73012746018035,7.494,23.492232149396216,112.39113938176544,24.9,19.80970210851664,19.425190351466,,5.47047567,66.895,HUN,2006,GIRL,486.0
KOR-2009,3.91358160972595,3.7,,29508.381506061505,2.7564965449393,1.09550484406961,3.363,30.86709337065147,508.0139604368432,34.2,13.650964447851852,28.38339889251434,,3.42186928,81.835,KOR,2009,GIRL,544.0
SVK-2012,3.8590099811554,5.5,26.1,26994.05774963444,3.6061026352289,1.38650525527087,13.966,20.368513697293647,112.45173432041258,12.6,15.516106292830626,15.748077724984,,5.38078308,54.28,SVK,2012,GIRL,476.712
USA-2003,6.3286075592041,6.9,40.8,39490.27495570071,2.27009497336115,,5.989,21.62262062806869,31.664534617198143,11.7,9.39069910317543,50.1184235531497,,6.52333498,79.583,USA,2003,TOT,483.0
ESP-2018,4.1794900894165,2.7,34.7,40716.68076276311,1.6749813686379,0.617626377202637,15.255,19.43715999963451,93.66979207925012,7.8,14.225752351396634,20.657187544433388,,6.32118988,80.321,ESP,2018,GIRL,478.0
PRT-2018,4.67515993118286,2.9,33.5,34928.54353377464,0.993715683468326,0.787184634155941,6.994,17.522527230225666,112.26193595151388,11.7,22.65334670824727,24.14864573843988,,5.75663424,65.211,PRT,2018,BOY,497.0
SVN-2015,4.90953016281128,2.1,25.4,31628.247175832028,-0.525552285820877,0.961140142883094,8.997,18.65459030185361,102.44610924111088,21.0,18.49388307991727,9.661746578589716,11.57815,6.06387234,53.781,SVN,2015,TOT,510.0
PRT-2003,5.28152990341187,4.3,38.8,20852.147027689945,3.21899090682895,,6.132,23.76044290318819,114.30405464480874,11.9,19.88117057210492,20.172870952975146,,6.44214296,56.287,PRT,2003,GIRL,460.0
DEU-2012,4.92844009399414,3.4,31.1,43359.61482717231,2.00848884782956,0.808137138983971,5.379,20.32109306417125,230.75062546623056,12.9,11.622986110858156,16.09640737277509,,8.18770885,77.17,DEU,2012,TOT,514.0
