"country","AverageNetWorthTotalWealth2021","AverageNetWorthGDPPerAdult2021","AverageNetWorthWealthPerAdult2021","AverageNetWorthShareOfWorldWealth2021"
"Mayotte",,22557,,
"French Guiana",,25840,,
"New Caledonia",,48630,,
"Barbados",16,20839,70807,
"French Polynesia",,29500,,
"Sao Tome and Principe",,4861,4610,
"Samoa",2,7034,17396,
"Curacao",,22146,,
"Saint Lucia",4,12706,27268,
"Kiribati",,3029,,
"Seychelles",4,18674,57619,
"Grenada",4,14160,52618,
"Micronesia",,5726,,
"Aruba",4,36961,52221,
"Tonga",3,8429,44014,
"Saint Vincent and the Grenadines",1,10299,18887,
"Antigua and Barbuda",1,20640,19338,
"Andorra",,52474,,
"Cayman Islands",,145583,,
"Dominica",2,10661,35307,
"Bermuda",,189744,,
"Greenland",,83833,,
"Saint Kitts and Nevis",,24397,,
"Turks and Caicos Islands",,36448,,
"Liechtenstein",,252879,,
"British Virgin Islands",,76114,,
"Monaco",,242437,,
"Marshall Islands",,6693,,
"San Marino",,62268,,
"Saint Martin",,30547,,
"Palau",,19451,,
"Anguilla",,26510,,
"Cook Islands",,26438,,
"Nauru",,23398,,
"Tuvalu",,7780,,
"Montserrat",,21123,,
