Title,Average Rating,Director,Budget
Human,8.6,Yann Arthus-Bertrand,
Canim Kardesim,8.6,Ertem Egilmez,
A tanú,8.6,Péter Bacsó,
Hababam Sinifi: Tatilde,8.6,Ertem Egilmez,
Chithram,8.6,Priyadarshan,
Poove Unakkaga,8.6,Vikraman,
Gladiator,8.5,Ridley Scott,"$103,000,000 (estimated)"
Dune: Part Two,8.5,Denis Villeneuve,"$190,000,000 (estimated)"
Alien,8.5,Ridley Scott,"$11,000,000 (estimated)"
Amaran,8.5,Rajkumar Periasamy,
Django Unchained,8.5,Quentin Tarantino,"$100,000,000 (estimated)"
Parasite,8.5,Bong Joon Ho,"$11,400,000 (estimated)"
Whiplash,8.5,Damien Chazelle,"$3,300,000 (estimated)"
The Departed,8.5,Martin Scorsese,"$90,000,000 (estimated)"
Léon,8.5,Luc Besson,"$16,000,000 (estimated)"
The Prestige,8.5,Christopher Nolan,"$40,000,000 (estimated)"
Back to the Future,8.5,Robert Zemeckis,"$19,000,000 (estimated)"
Psycho,8.5,Alfred Hitchcock,"$806,947 (estimated)"
The Lion King,8.5,"Roger Allers, Rob Minkoff","$45,000,000 (estimated)"
American History X,8.5,Tony Kaye,"$20,000,000 (estimated)"
The Usual Suspects,8.5,Bryan Singer,"$6,000,000 (estimated)"
The Pianist,8.5,Roman Polanski,"$35,000,000 (estimated)"
Intouchables,8.5,"Olivier Nakache, Éric Toledano","€9,500,000 (estimated)"
Maharaja,8.5,Nithilan Saminathan,
Grave of the Fireflies,8.5,Isao Takahata,"$3,700,000 (estimated)"
Casablanca,8.5,Michael Curtiz,"$950,000 (estimated)"
C'era Una Volta Il West,8.5,Sergio Leone,"$5,000,000 (estimated)"
Cinema Paradiso,8.5,Giuseppe Tornatore,"$5,000,000 (estimated)"
Rear Window,8.5,Alfred Hitchcock,"$1,000,000 (estimated)"
Modern Times,8.5,Charles Chaplin,"$1,500,000 (estimated)"
Dear Zachary: A Letter to a Son About His Father,8.5,Kurt Kuenne,
City Lights,8.5,Charles Chaplin,"$1,500,000 (estimated)"
Senna,8.5,Asif Kapadia,
20 Days in Mariupol,8.5,Mstyslav Chernov,
Baraka,8.5,Ron Fricke,"$2,000,000 (estimated)"
Sita Ramam,8.5,Hanu Raghavapudi,"₹3,000,000 (estimated)"
Woman in the Dunes,8.5,Hiroshi Teshigahara,
96,8.5,C. Prem Kumar,
La meglio gioventù,8.5,Marco Tullio Giordana,
The Fifth Seal,8.5,Zoltán Fábri,
Intoxicated by Love,8.5,Hasan Fathi,
The Hole,8.5,Jacques Becker,
Ningen no jôken,8.5,Masaki Kobayashi,
Kumbalangi Nights,8.5,Madhu C. Narayanan,
For Sama,8.5,"Waad Al-Kateab, Edward Watts",
Jersey,8.5,Gowtam Tinnanuri,
Sarpatta Parambarai,8.5,Pa. Ranjith,
Ningen no jôken,8.5,Masaki Kobayashi,
Michael Madana Kama Rajan,8.5,Singeetam Srinivasa Rao,
Aaranya Kaandam,8.5,Thiagarajan Kumararaja,
Madar,8.5,Ali Hatami,
Gol Maal,8.5,Hrishikesh Mukherjee,
Varljivo leto '68,8.5,Goran Paskaljevic,
Home,8.5,Yann Arthus-Bertrand,
Zübük,8.5,Kartal Tibet,
Thalapathi,8.5,Mani Ratnam,
Çöpçüler Krali,8.5,Zeki Ökten,
Selvi Boylum Al Yazmalim,8.5,Atif Yilmaz,
Sachin,8.5,James Erskine,
Roger Waters: The Wall,8.5,"Sean Evans, Roger Waters",
Graves End,8.5,James Marlowe,"$1,930,000 (estimated)"
Methagu,8.5,Kittu,"₹5,000,000 (estimated)"
BTS: Permission to Dance on Stage - LA,8.5,"Park Jun-soo, Sam Wrench",
Inglourious Basterds,8.4,Quentin Tarantino,"$70,000,000 (estimated)"
Joker,8.4,Todd Phillips,"$55,000,000 (estimated)"
The Dark Knight Rises,8.4,Christopher Nolan,"$250,000,000 (estimated)"
Avengers: Endgame,8.4,"Anthony Russo, Joe Russo","$356,000,000 (estimated)"
The Shining,8.4,Stanley Kubrick,"$19,000,000 (estimated)"
Alien 2,8.4,James Cameron,"$18,500,000 (estimated)"
Apocalypse Now,8.4,Francis Ford Coppola,"$31,500,000 (estimated)"
Memento,8.4,Christopher Nolan,"$9,000,000 (estimated)"
Raiders of the Lost Ark,8.4,Steven Spielberg,"$18,000,000 (estimated)"
Avengers: Infinity War,8.4,"Anthony Russo, Joe Russo","$321,000,000 (estimated)"
Meiyazhagan,8.4,C. Prem Kumar,
Coco,8.4,"Lee Unkrich, Adrian Molina","$175,000,000 (estimated)"
Spider-Man: Into the Spider-Verse,8.4,"Bob Persichetti, Peter Ramsey, Rodney Rothman","$90,000,000 (estimated)"
Das Leben der Anderen,8.4,Florian Henckel von Donnersmarck,"$2,000,000 (estimated)"
WALL·E,8.4,Andrew Stanton,"$180,000,000 (estimated)"
Amadeus,8.4,Milos Forman,"$18,000,000 (estimated)"
Kimi No Na Wa.,8.4,Makoto Shinkai,"¥370,000,000 (estimated)"
Sunset Blvd.,8.4,Billy Wilder,"$1,752,000 (estimated)"
Capharnaüm,8.4,Nadine Labaki,"$4,000,000 (estimated)"
Das Boot,8.4,Wolfgang Petersen,"DEM 32,000,000 (estimated)"
Laapataa Ladies,8.4,Kiran Rao,
3 Idiots,8.4,Rajkumar Hirani,"₹550,000,000 (estimated)"
Paths of Glory,8.4,Stanley Kubrick,"$935,000 (estimated)"
Witness for the Prosecution,8.4,Billy Wilder,"$3,000,000 (estimated)"
The Great Dictator,8.4,Charles Chaplin,"$2,000,000 (estimated)"
Tengoku to Jigoku,8.4,Akira Kurosawa,"¥230,000,000 (estimated)"
Samsara,8.4,Ron Fricke,"$4,000,000 (estimated)"
The Salt of the Earth,8.4,"Juliano Ribeiro Salgado, Wim Wenders",
The Cove,8.4,Louie Psihoyos,
Kaithi,8.4,Lokesh Kanagaraj,"₹240,000,000 (estimated)"
Flåklypa Grand Prix,8.4,Ivo Caprino,
Vada Chennai,8.4,Vetrimaaran,
Sansho the Bailiff,8.4,Kenji Mizoguchi,
Asuran,8.4,Vetrimaaran,"₹600,000,000 (estimated)"
Drishyam 2,8.4,Jeethu Joseph,
Lizard,8.4,Kamal Tabrizi,
Attack on Titan: Chronicle,8.4,"Masashi Koizuka, Tetsurô Araki",
Kad porastem bicu Kengur,8.4,Radivoje Andric,
Filantropica,8.4,Nae Caranfil,
Black Friday,8.4,Anurag Kashyap,
Thani Oruvan,8.4,Mohan Raja,"₹200,000,000 (estimated)"
Apur Sansar,8.4,Satyajit Ray,
Sigur Rós: Heima,8.4,Dean DeBlois,
Mahanati,8.4,Nag Ashwin,"$3,650,000 (estimated)"
Profesionalac,8.4,Dusan Kovacevic,
Visaaranai,8.4,Vetrimaaran,
Taylor Swift: Folklore - The Long Pond Studio Sessions,8.4,Taylor Swift,
Muhsin Bey,8.4,Yavuz Turgul,
Pawankhind,8.4,Digpal Lanjekar,
Mudhalvan,8.4,S. Shankar,
Operatsiya 'Y' i drugie priklyucheniya Shurika,8.4,Leonid Gaidai,
Virumandi,8.4,Kamal Haasan,
Gülen Gözler,8.4,Ertem Egilmez,
The Last Crusade,8.4,Sergiu Nicolaescu,"ROL 33,000,000 (estimated)"
Papanasam,8.4,Jeethu Joseph,
Pudhu Pettai,8.4,K. Selvaraghavan,
Mandela,8.4,Madonne Ashwin,"₹50,000,000 (estimated)"
Kapicilar Krali,8.4,Zeki Ökten,
Ulidavaru Kandanthe,8.4,Rakshit Shetty,"₹21,000,000 (estimated)"
Iruvar,8.4,Mani Ratnam,
Kannathil Muthamittal,8.4,Mani Ratnam,
Bizim Aile,8.4,Ergin Orbey,
The Wild Robot,8.3,Chris Sanders,"$78,000,000 (estimated)"
Oppenheimer,8.3,Christopher Nolan,"$100,000,000 (estimated)"
Good Will Hunting,8.3,Gus Van Sant,"$10,000,000 (estimated)"
Eternal Sunshine of the Spotless Mind,8.3,Michel Gondry,"$20,000,000 (estimated)"
Requiem for a Dream,8.3,Darren Aronofsky,"$4,500,000 (estimated)"
American Beauty,8.3,Sam Mendes,"$15,000,000 (estimated)"
Heat,8.3,Michael Mann,"$60,000,000 (estimated)"
The Remarkable Life of Ibelin,8.3,Benjamin Ree,
Oldeuboi,8.3,Park Chan-wook,"$3,000,000 (estimated)"
Braveheart,8.3,Mel Gibson,"$72,000,000 (estimated)"
Scarface,8.3,Brian De Palma,"$50,000,000 (estimated)"
Jagten,8.3,Thomas Vinterberg,"DKK 20,000,000 (estimated)"
2001: A Space Odyssey,8.3,Stanley Kubrick,"$12,000,000 (estimated)"
Once Upon a Time in America,8.3,Sergio Leone,"$30,000,000 (estimated)"
Reservoir Dogs,8.3,Quentin Tarantino,"$1,200,000 (estimated)"
Toy Story,8.3,John Lasseter,"$30,000,000 (estimated)"
Incendies,8.3,Denis Villeneuve,"$6,800,000 (estimated)"
Hamilton,8.3,Thomas Kail,
Idi I Smotri,8.3,Elem Klimov,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,Stanley Kubrick,"$1,800,000 (estimated)"
Le fabuleux destin d'Amélie Poulain,8.3,Jean-Pierre Jeunet,"$10,000,000 (estimated)"
