Title,Average Rating,Director,Budget
Talk to Her,7.9,Pedro Almodóvar,
In Cold Blood,7.9,Richard Brooks,"$3,500,000 (estimated)"
The Mirror,7.9,Andrei Tarkovsky,"RUR 622,000 (estimated)"
The Lion in Winter,7.9,Anthony Harvey,"$4,000,000 (estimated)"
Harvey,7.9,Henry Koster,
In a Lonely Place,7.9,Nicholas Ray,
The Adventures of Robin Hood,7.9,"Michael Curtiz, William Keighley","$1,900,000 (estimated)"
Short Term 12,7.9,Destin Daniel Cretton,"$400,000 (estimated)"
Kes,7.9,Ken Loach,
The Thin Man,7.9,W.S. Van Dyke,"$226,408 (estimated)"
Gegen Die Wand,7.9,Fatih Akin,
Il conformista,7.9,Bernardo Bertolucci,"$750,000 (estimated)"
Wo,7.9,Jûzô Itami,
The Stoning of Soraya M.,7.9,Cyrus Nowrasteh,
Arsenic and Old Lace,7.9,Frank Capra,"$1,164,000 (estimated)"
Amour,7.9,Michael Haneke,"$8,900,000 (estimated)"
The Hustler,7.9,Robert Rossen,"$2,125,000 (estimated)"
Onibaba,7.9,Kaneto Shindô,
Stalag 17,7.9,Billy Wilder,"$1,661,530 (estimated)"
A Night to Remember,7.9,Roy Ward Baker,"$1,680,000 (estimated)"
Yeopgijeogin Geunyeo,7.9,Jae-young Kwak,
Nostalghia,7.9,Andrei Tarkovsky,
Le cercle rouge,7.9,Jean-Pierre Melville,
My Name Is Khan,7.9,Karan Johar,"$12,000,000 (estimated)"
Kagemusha,7.9,Akira Kurosawa,"$6,000,000 (estimated)"
Leila's Brothers,7.9,Saeed Roustayi,"$5,000,000 (estimated)"
Cat on a Hot Tin Roof,7.9,Richard Brooks,"$3,000,000 (estimated)"
The Big Country,7.9,William Wyler,
Mildred Pierce,7.9,Michael Curtiz,"$1,453,000 (estimated)"
Mishima: A Life in Four Chapters,7.9,Paul Schrader,"$5,000,000 (estimated)"
Cries & Whispers,7.9,Ingmar Bergman,"$400,000 (estimated)"
When We Were Kings,7.9,Leon Gast,
Sleuth,7.9,Joseph L. Mankiewicz,
Kaidan,7.9,Masaki Kobayashi,"¥350,000,000 (estimated)"
The Alpinist,7.9,"Peter Mortimer, Nick Rosen",
My Man Godfrey,7.9,Gregory La Cava,"$656,000 (estimated)"
Battleship Potemkin,7.9,Sergei Eisenstein,
About Elly,7.9,Asghar Farhadi,
Second Wind,7.9,Jean-Pierre Melville,
Ascenseur pour l'échafaud,7.9,Louis Malle,
Matewan,7.9,John Sayles,"$4,000,000 (estimated)"
Vozvrashchenie,7.9,Andrey Zvyagintsev,
The Greatest Night in Pop,7.9,Bao Nguyen,
Nine Queens,7.9,Fabián Bielinsky,"$1,500,000 (estimated)"
"4 luni, 3 saptamâni si 2 zile",7.9,Cristian Mungiu,"€590,000 (estimated)"
Pad Man,7.9,R Balki,
La notte,7.9,Michelangelo Antonioni,
No Man's Land,7.9,Danis Tanovic,"€2,000,000 (estimated)"
Pixote: A Lei do Mais Fraco,7.9,Hector Babenco,
Bin-jip,7.9,Kim Ki-duk,"$1,000,000 (estimated)"
Exit Through the Gift Shop,7.9,Banksy,
Mia aioniotita kai mia mera,7.9,Theodoros Angelopoulos,
The Lost Weekend,7.9,Billy Wilder,"$1,250,000 (estimated)"
Angels with Dirty Faces,7.9,Michael Curtiz,
One Two Three,7.9,Billy Wilder,"$3,000,000 (estimated)"
Opening Night,7.9,John Cassavetes,
Day Will Come,7.9,Jesper W. Nielsen,
La Belle et la Bête,7.9,"Jean Cocteau, René Clément",
Sullivan's Travels,7.9,Preston Sturges,"$689,665 (estimated)"
Evangelion: 2.0 You Can (Not),7.9,"Masayuki, Kazuya Tsurumaki, Hideaki Anno",
La règle du jeu,7.9,Jean Renoir,"FRF 5,500,500 (estimated)"
Jab We Met,7.9,Imtiaz Ali,"₹170,000,000 (estimated)"
Flee,7.9,Jonas Poher Rasmussen,"$3,400,000 (estimated)"
Gully Boy,7.9,Zoya Akhtar,
Icarus,7.9,Bryan Fogel,
Roaring Twenties,7.9,Raoul Walsh,
Alice in the Cities,7.9,Wim Wenders,"DEM 500,000 (estimated)"
Aruitemo aruitemo,7.9,Hirokazu Koreeda,
"Now, Voyager",7.9,Irving Rapper,
Love Letter,7.9,Shunji Iwai,
Topio stin omihli,7.9,Theodoros Angelopoulos,
The Thin Blue Line,7.9,Errol Morris,
Divorzio all'italiana,7.9,Pietro Germi,
Baby,7.9,Neeraj Pandey,
Black Hawk Down,7.9,Chris Mills,
"Goodbye, Mr. Chips",7.9,"Sam Wood, Sidney Franklin",
Såsom i en spegel,7.9,Ingmar Bergman,
Night and the City,7.9,Jules Dassin,
Letter from an Unknown Woman,7.9,Max Ophüls,
The way he looks,7.9,Daniel Ribeiro,
Arjun Reddy,7.9,Sandeep Reddy Vanga,"₹25,000,000 (estimated)"
Don't Look Now... We're Being Shot At!,7.9,Gérard Oury,"FRF 15,000,000 (estimated)"
The War Game,7.9,Peter Watkins,
Cría cuervos,7.9,Carlos Saura,
The Face of Another,7.9,Hiroshi Teshigahara,
I Am Not Your Negro,7.9,Raoul Peck,
Badhaai Ho,7.9,Amit Ravindernath Sharma,
Deliver Us from Evil,7.9,Amy Berg,
Thiruchitrambalam,7.9,Mithran Jawahar,
Orphée,7.9,Jean Cocteau,
Madame de...,7.9,Max Ophüls,
The Little Foxes,7.9,William Wyler,
Random Harvest,7.9,Mervyn LeRoy,"$1,210,000 (estimated)"
Avaze gonjeshk-ha,7.9,Majid Majidi,
Mukundan Unni Associates,7.9,Abhinav Sunder Nayak,
Eteros Ego,7.9,Sotiris Tsafoulias,
Trouble in Paradise,7.9,Ernst Lubitsch,"$519,706 (estimated)"
Super 30,7.9,Vikas Bahl,
Zendegi va digar hich,7.9,Abbas Kiarostami,
Sevmek Zamani,7.9,Metin Erksan,
Marketa Lazarová,7.9,Frantisek Vlácil,
Burden of Dreams,7.9,Les Blank,
Anjaam Pathiraa,7.9,Midhun Manuel Thomas,"₹20,000,000 (estimated)"
Das Testament des Dr. Mabuse,7.9,Fritz Lang,
Dai-bosatsu tôge,7.9,Kihachi Okamoto,
Dont Look Back,7.9,D.A. Pennebaker,
The Last Days,7.9,James Moll,
West of Memphis,7.9,Amy Berg,
Floating Weeds,7.9,Yasujirô Ozu,
I soliti ignoti,7.9,Mario Monicelli,
The Trap,7.9,Srdan Golubovic,
Captains Courageous,7.9,Victor Fleming,"$1,645,000 (estimated)"
Ugly,7.9,Anurag Kashyap,"$1,475,000 (estimated)"
Dev.D,7.9,Anurag Kashyap,"₹60,000,000 (estimated)"
Marley,7.9,Kevin Macdonald,
Ivy,7.9,Tolga Karaçelik,
Gaav,7.9,Dariush Mehrjui,
Trilogy: The Weeping Meadow,7.9,Theodoros Angelopoulos,
Love on a Leash,7.9,Fen Tian,
Johnny Gaddaar,7.9,Sriram Raghavan,
Sonchiriya,7.9,Abhishek Chaubey,
Tower,7.9,Keith Maitland,
Kanal,7.9,Andrzej Wajda,
Airlift,7.9,Raja Menon,"$4,400,000 (estimated)"
Amici miei,7.9,Mario Monicelli,
Tupac: Resurrection,7.9,Lauren Lazin,"$300,000 (estimated)"
Gemide,7.9,Serdar Akar,
Robin Williams: Come Inside My Mind,7.9,Marina Zenovich,
Turab el-Mas,7.9,Marwan Hamed,
Salaam Bombay!,7.9,Mira Nair,
Kin-dza-dza!,7.9,Georgiy Daneliya,
Hey Ram,7.9,Kamal Haasan,
The Sound of Trumpets,7.9,Ermanno Olmi,"$55,000 (estimated)"
Monterey Pop,7.9,D.A. Pennebaker,
Nobi,7.9,Kon Ichikawa,
El verdugo,7.9,Luis García Berlanga,
Le peuple migrateur,7.9,"Jacques Perrin, Jacques Cluzaud, Michel Debats","FRF 160,000,000 (estimated)"
Akibiyori,7.9,Yasujirô Ozu,
Kozure Ôkami: Sanzu no kawa no ubaguruma,7.9,Kenji Misumi,
Ko,7.9,K.V. Anand,"₹350,000,000 (estimated)"
Lyubov i golubi,7.9,Vladimir Menshov,
Anvil: The Story of Anvil,7.9,Sacha Gervasi,
Mera Naam Joker,7.9,Raj Kapoor,
Ayitha Ezhuthu,7.9,Mani Ratnam,
Bingo: O Rei das Manhãs,7.9,Daniel Rezende,"R$8,500,000 (estimated)"
The Devil and Daniel Johnston,7.9,Jeff Feuerzeig,
Shams Al-Ma'arif,7.9,Faris Godus,"$500,000 (estimated)"
Happy Days,7.9,Sekhar Kammula,"₹30,000,000 (estimated)"
The Big Parade,7.9,"King Vidor, George W. Hill","$245,000 (estimated)"
Five Broken Cameras,7.9,"Emad Burnat, Guy Davidi",
Jalsaghar,7.9,Satyajit Ray,
Él,7.9,Luis Buñuel,
Vishwaroopam,7.9,Kamal Haasan,"₹950,000,000 (estimated)"
Tina,7.9,"Daniel Lindsay, T.J. Martin",
Karthikeya 2,7.9,Chandoo Mondeti,
Madras,7.9,Pa. Ranjith,
Munje!,7.9,Radivoje Andric,
Mumbai Police,7.9,Rosshan Andrrews,
The Class,7.9,Ilmar Raag,
Hazaaron Khwaishein Aisi,7.9,Sudhir Mishra,
Velaiilla Pattadhari,7.9,Velraj,
Pizza,7.9,Karthik Subbaraj,"₹15,000,000 (estimated)"
TT3D: Closer to the Edge,7.9,Richard De Aragues,
Ankhon Dekhi,7.9,Rajat Kapoor,
Hamoun,7.9,Dariush Mehrjui,
Vettaiyaadu Vilaiyaadu,7.9,Gautham Vasudev Menon,"₹240,000,000 (estimated)"
Earth,7.9,"Alastair Fothergill, Mark Linfield","€30,000,000 (estimated)"
Otona no miru ehon - Umarete wa mita keredo,7.9,Yasujirô Ozu,
Vabank,7.9,Juliusz Machulski,
Die Nibelungen: Kriemhilds Rache,7.9,Fritz Lang,
Microcosmos : le peuple de l'herbe,7.9,"Claude Nuridsany, Marie Pérennou","CHF 5,000,000 (estimated)"
Dor,7.9,Nagesh Kukunoor,
Bill Cunningham New York,7.9,Richard Press,
Kushi,7.9,S.J. Suryah,
The House I Live In,7.9,Eugene Jarecki,
Angamaly Diaries,7.9,Lijo Jose Pellissery,
Pappa ante Portas,7.9,"Vicco von Bülow, Renate Westphal-Lorenz",
Svetat e golyam i spasenie debne otvsyakade,7.9,Stephan Komandarev,
Devrim Arabalari,7.9,Tolga Örnek,
Border,7.9,J.P. Dutta,"₹110,000,000 (estimated)"
Friends,7.9,Siddique,
Manam,7.9,Vikram K. Kumar,
Tito i ja,7.9,Goran Markovic,
The Class of '92,7.9,"Ben Turner, Gabe Turner","$1,250,000 (estimated)"
Kick,7.9,Surender Reddy,
Salak Milyoner,7.9,Ertem Egilmez,
BTS Permission to Dance on Stage - Seoul: Live Viewing,7.9,Ha Jung Jae,
Sharkwater,7.9,Rob Stewart,
The Batman,7.8,Matt Reeves,"$185,000,000 (estimated)"
The Day of the Jackal,7.8,Fred Zinnemann,
Poor Things,7.8,Yorgos Lanthimos,"$35,000,000 (estimated)"
The Gentlemen,7.8,Guy Ritchie,"$22,000,000 (estimated)"
Atonement,7.8,Joe Wright,"$30,000,000 (estimated)"
Tombstone,7.8,"George P. Cosmatos, Kevin Jarre","$25,000,000 (estimated)"
Hidden Figures,7.8,Theodore Melfi,"$25,000,000 (estimated)"
Pride & Prejudice,7.8,Joe Wright,"$28,000,000 (estimated)"
The Notebook,7.8,Nick Cassavetes,"$29,000,000 (estimated)"
Little Women,7.8,Greta Gerwig,"$40,000,000 (estimated)"
Get Out,7.8,Jordan Peele,"$4,500,000 (estimated)"
Everything Everywhere All at Once,7.8,"Daniel Kwan, Daniel Scheinert","$14,300,000 (estimated)"
American Gangster,7.8,Ridley Scott,"$100,000,000 (estimated)"
The Hateful Eight,7.8,Quentin Tarantino,"$44,000,000 (estimated)"
The Hobbit: An Unexpected Journey,7.8,Peter Jackson,"$180,000,000 (estimated)"
How to Train Your Dragon 2,7.8,Dean DeBlois,"$145,000,000 (estimated)"
Training Day,7.8,Antoine Fuqua,"$45,000,000 (estimated)"
Paddington 2,7.8,Paul King,"$40,000,000 (estimated)"
The Irishman,7.8,Martin Scorsese,"$159,000,000 (estimated)"
Skyfall,7.8,Sam Mendes,"$200,000,000 (estimated)"
Past Lives,7.8,Celine Song,"$12,000,000 (estimated)"
About Time,7.8,Richard Curtis,"$12,000,000 (estimated)"
Drive,7.8,Nicolas Winding Refn,"$15,000,000 (estimated)"
Ghostbusters,7.8,Ivan Reitman,"$30,000,000 (estimated)"
The Social Network,7.8,David Fincher,"$40,000,000 (estimated)"
Apocalypto,7.8,Mel Gibson,"$40,000,000 (estimated)"
All Quiet on the Western Front,7.8,Edward Berger,
The Big Short,7.8,Adam McKay,"$28,000,000 (estimated)"
The Girl with the Dragon Tattoo,7.8,David Fincher,"$90,000,000 (estimated)"
The Fall,7.8,Tarsem Singh,"$30,000,000 (estimated)"
Call Me by Your Name,7.8,Luca Guadagnino,"€4,000,000 (estimated)"
Dunkirk,7.8,Christopher Nolan,"$100,000,000 (estimated)"
The Breakfast Club,7.8,John Hughes,"$1,000,000 (estimated)"
Rogue One,7.8,Gareth Edwards,"$200,000,000 (estimated)"
The Hobbit: The Desolation of Smaug,7.8,Peter Jackson,"$225,000,000 (estimated)"
The Bourne Identity,7.8,Doug Liman,"$60,000,000 (estimated)"
Manchester by the Sea,7.8,Kenneth Lonergan,"$9,000,000 (estimated)"
Hot Fuzz,7.8,Edgar Wright,"£8,000,000 (estimated)"
Coraline,7.8,Henry Selick,"$60,000,000 (estimated)"
The Curious Case of Benjamin Button,7.8,David Fincher,"$150,000,000 (estimated)"
Predator,7.8,John McTiernan,"$15,000,000 (estimated)"
Ferris Bueller's Day Off,7.8,John Hughes,"$6,000,000 (estimated)"
Society of the Snow,7.8,J.A. Bayona,
Remember the Titans,7.8,Boaz Yakin,"$30,000,000 (estimated)"
Nightcrawler,7.8,Dan Gilroy,"$8,500,000 (estimated)"
Star Wars: The Force Awakens,7.8,J.J. Abrams,"$245,000,000 (estimated)"
Puss in Boots: The Last Wish,7.8,"Joel Crawford, Januel Mercado","$90,000,000 (estimated)"
Nosferatu,7.8,F.W. Murnau,
The Sandlot,7.8,David Mickey Evans,"$7,000,000 (estimated)"
Seven Days in May,7.8,John Frankenheimer,"$2,200,000 (estimated)"
Captain America: Civil War,7.8,"Anthony Russo, Joe Russo","$250,000,000 (estimated)"
Willy Wonka & the Chocolate Factory,7.8,Mel Stuart,"$3,000,000 (estimated)"
A Bronx Tale,7.8,Robert De Niro,"$22,000,000 (estimated)"
Mary Poppins,7.8,Robert Stevenson,"$6,000,000 (estimated)"
Little Miss Sunshine,7.8,"Jonathan Dayton, Valerie Faris","$8,000,000 (estimated)"
Back to the Future Part II,7.8,Robert Zemeckis,"$40,000,000 (estimated)"
Rise Roar Revolt,7.8,S.S. Rajamouli,"₹3,500,000,000 (estimated)"
The Fugitive,7.8,Andrew Davis,"$44,000,000 (estimated)"
Misery,7.8,Rob Reiner,"$20,000,000 (estimated)"
The Last Samurai,7.8,Edward Zwick,"$140,000,000 (estimated)"
Cast Away,7.8,Robert Zemeckis,"$90,000,000 (estimated)"
The Man from Earth,7.8,Richard Schenkman,"$200,000 (estimated)"
Glory,7.8,Edward Zwick,"$18,000,000 (estimated)"
Baymax,7.8,"Don Hall, Chris Williams","$165,000,000 (estimated)"
Ang-ma-reul Bo-at-da,7.8,Kim Jee-woon,
Monster,7.8,Hirokazu Koreeda,
The Muppet Christmas Carol,7.8,Brian Henson,"$12,000,000 (estimated)"
The Untouchables,7.8,Brian De Palma,"$25,000,000 (estimated)"
Captain Fantastic,7.8,Matt Ross,"$5,000,000 (estimated)"
Moon,7.8,Duncan Jones,"$5,000,000 (estimated)"
Boyz N the Hood,7.8,John Singleton,"$6,500,000 (estimated)"
Straight Outta Compton,7.8,F. Gary Gray,"$28,000,000 (estimated)"
Midnight Cowboy,7.8,John Schlesinger,"$3,600,000 (estimated)"
Låt den rätte komma in,7.8,Tomas Alfredson,"$4,000,000 (estimated)"
Moonrise Kingdom,7.8,Wes Anderson,"$16,000,000 (estimated)"
Captain Phillips,7.8,Paul Greengrass,"$55,000,000 (estimated)"
The Insider,7.8,Michael Mann,"$90,000,000 (estimated)"
Brazil,7.8,Terry Gilliam,"$15,000,000 (estimated)"
Serenity,7.8,Joss Whedon,"$39,000,000 (estimated)"
Walk the Line,7.8,James Mangold,"$28,000,000 (estimated)"
The Fighter,7.8,David O. Russell,"$25,000,000 (estimated)"
Awakenings,7.8,Penny Marshall,"$31,000,000 (estimated)"
Breaking the Waves,7.8,Lars von Trier,"DKK 42,000,000 (estimated)"
Mississippi Burning,7.8,Alan Parker,"$15,000,000 (estimated)"
Män som hatar kvinnor,7.8,Niels Arden Oplev,"$13,000,000 (estimated)"
Close,7.8,Lukas Dhont,
Hunt for the Wilderpeople,7.8,Taika Waititi,
Aavesham,7.8,Jithu Madhavan,
Gaslight,7.8,George Cukor,
Lilja 4-ever,7.8,Lukas Moodysson,
The King of Comedy,7.8,Martin Scorsese,"$20,000,000 (estimated)"
Cabaret,7.8,Bob Fosse,"$4,600,000 (estimated)"
All That Jazz,7.8,Bob Fosse,"$12,000,000 (estimated)"
The Searchers,7.8,John Ford,"$3,750,000 (estimated)"
Thirteen Lives,7.8,Ron Howard,"$93,000,000 (estimated)"
Charade,7.8,Stanley Donen,"$3,000,000 (estimated)"
Majo No Takkyûbin,7.8,Hayao Miyazaki,"¥800,000,000 (estimated)"
Isle of Dogs,7.8,Wes Anderson,
Trois Couleurs: Bleu,7.8,Krzysztof Kieslowski,
Night of the Living Dead,7.8,George A. Romero,"$114,000 (estimated)"
Dawn of the Dead,7.8,George A. Romero,"$650,000 (estimated)"
Kramer vs. Kramer,7.8,Robert Benton,"$8,000,000 (estimated)"
The World's Fastest Indian,7.8,Roger Donaldson,"$25,000,000 (estimated)"
The Killing Fields,7.8,Roland Joffé,"$14,400,000 (estimated)"
The Remains of the Day,7.8,James Ivory,"$15,000,000 (estimated)"
Bramayugam,7.8,Rahul Sadasivan,"₹280,000,000 (estimated)"
The Outlaw: Josey Wales,7.8,Clint Eastwood,"$3,700,000 (estimated)"
La Migliore Offerta,7.8,Giuseppe Tornatore,"€13,500,000 (estimated)"
Birdman of Alcatraz,7.8,John Frankenheimer,"$2,650,000 (estimated)"
October Sky,7.8,Joe Johnston,"$25,000,000 (estimated)"
Ed Wood,7.8,Tim Burton,"$18,000,000 (estimated)"
Kaze Tachinu,7.8,Hayao Miyazaki,"$30,000,000 (estimated)"
The Artist,7.8,Michel Hazanavicius,"$15,000,000 (estimated)"
Frankenstein,7.8,James Whale,"$291,000 (estimated)"
Un prophète,7.8,Jacques Audiard,"$13,000,000 (estimated)"
The Right Stuff,7.8,Philip Kaufman,"$27,000,000 (estimated)"
Freaks,7.8,Tod Browning,"$310,607 (estimated)"
Letters from Iwo Jima,7.8,Clint Eastwood,"$19,000,000 (estimated)"
Jujutsu Kaisen 0: The Movie,7.8,Sunghoo Park,
Chugyeogja,7.8,Na Hong-jin,"$2,650,000 (estimated)"
My Left Foot: The Story of Christy Brown,7.8,Jim Sheridan,"£600,000 (estimated)"
Hanu Man,7.8,Prasanth Varma,
Loving Vincent,7.8,"DK Welchman, Hugh Welchman","€5,000,000 (estimated)"
Stagecoach,7.8,John Ford,"$392,000 (estimated)"
You Can't Take It with You,7.8,Frank Capra,"$1,644,736 (estimated)"
Manhattan,7.8,Woody Allen,"$9,000,000 (estimated)"
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,7.8,"Daisuke Nishio, Hirotoshi Rissen, Kazuhisa Takenouchi",
Mimi wo sumaseba,7.8,Yoshifumi Kondô,
Hannah and Her Sisters,7.8,Woody Allen,"$6,400,000 (estimated)"
Ninotchka,7.8,Ernst Lubitsch,"$1,365,000 (estimated)"
Grizzly Man,7.8,Werner Herzog,
East of Eden,7.8,Elia Kazan,
The Bride of Frankenstein,7.8,James Whale,"$397,024 (estimated)"
Batman: Mask of the Phantasm,7.8,"Kevin Altieri, Boyd Kirkland, Frank Paur","$6,000,000 (estimated)"
Todo Sobre Mi Madre,7.8,Pedro Almodóvar,
The Philadelphia Story,7.8,George Cukor,"$944,000 (estimated)"
Pride,7.8,Matthew Warchus,
Das weiße Band - Eine deutsche Kindergeschichte,7.8,Michael Haneke,"$18,000,000 (estimated)"
Tokyo Godfathers,7.8,"Shôgo Furuya, Satoshi Kon",
Once,7.8,John Carney,"$150,000 (estimated)"
Veer Zara,7.8,Yash Chopra,"$7,000,000 (estimated)"
To Have and Have Not,7.8,Howard Hawks,
The Chorus,7.8,Christophe Barratier,"€5,500,000 (estimated)"
"Aguirre, the Wrath of God",7.8,Werner Herzog,"$370,000 (estimated)"
Shadow of a Doubt,7.8,Alfred Hitchcock,
Article 370,7.8,Aditya Suhas Jambhale,
"They Shoot Horses, Don't They?",7.8,Sydney Pollack,
Les parapluies de Cherbourg,7.8,Jacques Demy,
Jûbê Ninpûchô,7.8,Yoshiaki Kawajiri,
Premalu,7.8,Girish A.D.,
Guess Who's Coming to Dinner,7.8,Stanley Kramer,"$4,000,000 (estimated)"
"I, Daniel Blake",7.8,Ken Loach,
Playtime,7.8,Jacques Tati,"FRF 15,000,000 (estimated)"
The Servant,7.8,Joseph Losey,
His Girl Friday,7.8,Howard Hawks,
Baby You Have This,7.8,Howard Hawks,"$1,073,000 (estimated)"
The Lunchbox,7.8,Ritesh Batra,"$1,000,000 (estimated)"
Soshite chichi ni naru,7.8,Hirokazu Koreeda,
The Asphalt Jungle,7.8,John Huston,"$1,232,000 (estimated)"
Babettes gæstebud,7.8,Gabriel Axel,
Under Sandet,7.8,Martin Zandvliet,"DKK 35,500,000 (estimated)"
Amy,7.8,Asif Kapadia,
Johnny Got His Gun,7.8,Dalton Trumbo,"$1,000,000 (estimated)"
Cowboy Bebop: The Movie,7.8,"Shin'ichirô Watanabe, Tensai Okamura, Hiroyuki Okiura",
The Train,7.8,John Frankenheimer,"$6,700,000 (estimated)"
American Movie,7.8,Chris Smith,
Amarcord,7.8,Federico Fellini,
Oliver Twist,7.8,David Lean,
The Ghost and Mrs. Muir,7.8,Joseph L. Mankiewicz,
Chamkila,7.8,Imtiaz Ali,
Brother,7.8,Aleksey Balabanov,"$10,000 (estimated)"
Radical,7.8,Christopher Zalla,
Imitation of Life,7.8,Douglas Sirk,"$2,000,000 (estimated)"
Le charme discret de la bourgeoisie,7.8,Luis Buñuel,"$800,000 (estimated)"
The Postman,7.8,"Michael Radford, Massimo Troisi","$3,000,000 (estimated)"
Great Expectations,7.8,David Lean,"£350,000 (estimated)"
The Hunchback of Notre Dame,7.8,William Dieterle,"$1,800,000 (estimated)"
Hud,7.8,Martin Ritt,"$2,500,000 (estimated)"
Vivre Sa Vie,7.8,Jean-Luc Godard,"$64,000 (estimated)"
I Am: Celine Dion,7.8,Irene Taylor,
Brothers,7.8,Woody Allen,"$19,000,000 (estimated)"
Bir Zamanlar Anadolu'da,7.8,Nuri Bilge Ceylan,
Cléo de 5 à 7,7.8,Agnès Varda,
Gangubai Kathiawadi,7.8,Sanjay Leela Bhansali,
My Name Is Zucchini,7.8,Claude Barras,"€6,500,000 (estimated)"
Parking,7.8,Ramkumar Balakrishnan,
The Court Jester,7.8,"Melvin Frank, Norman Panama","$4,000,000 (estimated)"
Sennen joyû,7.8,"Satoshi Kon, Kô Matsuo",
Rockstar,7.8,Imtiaz Ali,"$10,920,000 (estimated)"
Hiroshima mon amour,7.8,Alain Resnais,
Yin shi nan nu,7.8,Ang Lee,
Just 6.5,7.8,Saeed Roustayi,
Becket,7.8,Peter Glenville,"$3,000,000 (estimated)"
Take Care of Maya,7.8,Henry Roosevelt,
Berserk: Ougon jidai-hen III - Kourin,7.8,Toshiyuki Kubooka,
Systemsprenger,7.8,Nora Fingscheidt,
A Night at the Opera,7.8,"Sam Wood, Edmund Goulding",
Knockin' on Heaven's Door,7.8,Thomas Jahn,"DEM 4,300,000 (estimated)"
The Loudest Whisper,7.8,William Wyler,"$3,600,000 (estimated)"
The Hill,7.8,Sidney Lumet,"$2,500,000 (estimated)"
Stutz,7.8,Jonah Hill,
El abrazo de la serpiente,7.8,Ciro Guerra,"$1,400,000 (estimated)"
Days of Wine and Roses,7.8,Blake Edwards,
Cet obscur objet du désir,7.8,Luis Buñuel,
Ernest et Célestine,7.8,"Stéphane Aubier, Vincent Patar, Benjamin Renner","€9,600,000 (estimated)"
El espíritu de la colmena,7.8,Víctor Erice,
Tini zabutykh predkiv,7.8,Sergei Parajanov,
The Bad and the Beautiful,7.8,Vincente Minnelli,"$1,558,000 (estimated)"
Who's There?,7.8,Ram Gopal Varma,
Breaker Morant,7.8,Bruce Beresford,"A$800,000 (estimated)"
The Second Mother,7.8,Anna Muylaert,"R$4,000,000 (estimated)"
C.R.A.Z.Y.,7.8,Jean-Marc Vallée,"CA$6,500,000 (estimated)"
Gimme Shelter,7.8,"Albert Maysles, David Maysles, Charlotte Zwerin",
The Game Changers,7.8,Louie Psihoyos,
Da xiang xidi erzuo,7.8,Bo Hu,
Jiro Dreams of Sushi,7.8,David Gelb,
Mr. Deeds Goes to Town,7.8,Frank Capra,"$800,000 (estimated)"
Oasis,7.8,Lee Chang-dong,
Ma nuit chez Maud,7.8,Éric Rohmer,
Narayama bushikô,7.8,Shôhei Imamura,
Of Mice and Men,7.8,Lewis Milestone,
Le notti bianche,7.8,Luchino Visconti,
Gukjesijang,7.8,JK Youn,
Nora Inu,7.8,Akira Kurosawa,
Ben-Hur A Tale of the Christ,7.8,"Fred Niblo, Charles Brabin, Christy Cabanne","$3,950,000 (estimated)"
Le fantôme de la liberté,7.8,Luis Buñuel,
English Vinglish,7.8,Gauri Shinde,
Joji,7.8,Dileesh Pothan,
El sur,7.8,Víctor Erice,
My Hero Academia - Boku no hîrô akademia THE MOVIE - Heroes: Rising - Hîrôzu: Raijingu,7.8,Kenji Nagasaki,
Gekijouban Steins;Gate: Fuka ryouiki no dejavu,7.8,"Kanji Wakabayashi, Hiroshi Hamasaki, Takuya Satô",
Kôkaku kidôtai 2.0,7.8,Mamoru Oshii,
A Tale of Two Cities,7.8,"Jack Conway, Robert Z. Leonard","$1,232,000 (estimated)"
Le feu follet,7.8,Louis Malle,
I Vitelloni,7.8,Federico Fellini,
Hotarubi No Mori E,7.8,Takahiro Ômori,
Minnal Murali,7.8,Basil Joseph,
Utomlennye solntsem,7.8,Nikita Mikhalkov,"$2,800,000 (estimated)"
1987,7.8,Jang Joon-hwan,"₩15,000,000,000 (estimated)"
Si,7.8,Lee Chang-dong,"₩1,300,000,000 (estimated)"
24,7.8,Vikram K. Kumar,"₹700,000,000 (estimated)"
Torch Song Trilogy,7.8,Paul Bogart,
Mother India,7.8,Mehboob Khan,
Monsieur Verdoux,7.8,Charles Chaplin,"$2,000,000 (estimated)"
Juzni Vetar,7.8,Milos Avramovic,"€360,000 (estimated)"
"Dr. Mabuse, der Spieler",7.8,Fritz Lang,
Le corbeau,7.8,Henri-Georges Clouzot,
Mimi,7.8,"Rajesh Bhatia, Laxman Utekar",
Ohayô,7.8,Yasujirô Ozu,
A City of Sadness,7.8,Hsiao-Hsien Hou,
The Sparks Brothers,7.8,Edgar Wright,
Germania anno zero,7.8,Roberto Rossellini,
Billy Budd,7.8,Peter Ustinov,
Before the Rain,7.8,Milcho Manchevski,"$1,900,000 (estimated)"
Estômago,7.8,Marcos Jorge,"R$800,000 (estimated)"
Amator,7.8,Krzysztof Kieslowski,
Kabadayi,7.8,Ömer Vargi,
The Dissident,7.8,Bryan Fogel,
Libeled Lady,7.8,Jack Conway,
Dry Summer,7.8,Metin Erksan,
Voces inocentes,7.8,Luis Mandoki,
Kono sekai no katasumi ni,7.8,Sunao Katabuchi,
Eiga Kono subarashii sekai ni shukufuku o!: Kurenai densetsu,7.8,Takaomi Kanasaki,
Fantozzi,7.8,Luciano Salce,
