country,code,region,economic_quality,living_conditions
Denmark,DNK,Europe,7.0,2.0
Sweden,SWE,Europe,8.0,3.0
Norway,NOR,Europe,5.0,4.0
Finland,FIN,Europe,20.0,7.0
Switzerland,CHE,Europe,2.0,5.0
Netherlands,NLD,Europe,10.0,1.0
Luxembourg,LUX,Europe,6.0,6.0
Iceland,ISL,Europe,21.0,10.0
Germany,DEU,Europe,11.0,8.0
New Zealand,NZL,Oceania,22.0,30.0
Ireland,IRL,Europe,4.0,19.0
United Kingdom,GBR,Europe,15.0,9.0
Canada,CAN,North America,32.0,13.0
Austria,AUT,Europe,25.0,21.0
Australia,AUS,Oceania,23.0,15.0
Japan,JPN,Asia,28.0,17.0
Singapore,SGP,Asia,1.0,14.0
Belgium,BEL,Europe,27.0,18.0
United States,USA,North America,16.0,29.0
Estonia,EST,Europe,14.0,22.0
Hong Kong,HKG,Asia,3.0,27.0
France,FRA,Europe,30.0,20.0
Spain,ESP,Europe,52.0,11.0
Czechia,CZE,Europe,17.0,24.0
Portugal,PRT,Europe,46.0,23.0
Slovenia,SVN,Europe,35.0,28.0
Malta,MLT,Europe,18.0,16.0
South Korea,KOR,Asia,9.0,26.0
Italy,ITA,Europe,54.0,25.0
Latvia,LVA,Europe,33.0,39.0
Lithuania,LTU,Europe,31.0,38.0
Israel,ISR,Asia,19.0,12.0
Cyprus,CYP,Europe,42.0,32.0
Slovakia,SVK,Europe,37.0,35.0
Chile,CHL,South America,39.0,40.0
Poland,POL,Europe,36.0,33.0
Uruguay,URY,South America,60.0,44.0
Costa Rica,CRI,South America,59.0,58.0
Greece,GRC,Europe,86.0,34.0
Croatia,HRV,Europe,47.0,36.0
Hungary,HUN,Europe,29.0,37.0
Malaysia,MYS,Asia,34.0,64.0
United Arab Emirates,ARE,Asia,26.0,47.0
Romania,ROU,Europe,44.0,54.0
Qatar,QAT,Asia,13.0,48.0
Mauritius,MUS,Africa,72.0,60.0
Bulgaria,BGR,Europe,43.0,51.0
Montenegro,MNE,Europe,69.0,50.0
Panama,PAN,South America,50.0,79.0
Seychelles,SYC,Africa,90.0,63.0
Serbia,SRB,Europe,61.0,41.0
Georgia,GEO,Europe,78.0,78.0
China,CHN,Asia,24.0,46.0
North Macedonia,MKD,Europe,73.0,52.0
