Title,Average Rating,Worldwide Gross
Alien 2,8.4,"$131,060,248"
Apocalypse Now,8.4,"$105,090,566"
Memento,8.4,"$40,047,236"
Raiders of the Lost Ark,8.4,"$389,925,971"
Avengers: Infinity War,8.4,"$2,052,415,039"
Meiyazhagan,8.4,"$393,589"
Coco,8.4,"$814,641,172"
Spider-Man: Into the Spider-Verse,8.4,"$393,602,435"
Das Leben der Anderen,8.4,"$77,672,685"
WALL·E,8.4,"$527,403,656"
Amadeus,8.4,"$52,075,942"
Kimi No Na Wa.,8.4,"$405,340,703"
Sunset Blvd.,8.4,"$308,663"
Capharnaüm,8.4,"$64,417,003"
Das Boot,8.4,"$11,488,778"
Laapataa Ladies,8.4,"$108,886"
3 Idiots,8.4,"$60,262,836"
Paths of Glory,8.4,"$8,290"
Witness for the Prosecution,8.4,"$7,903"
The Great Dictator,8.4,"$972,212"
Tengoku to Jigoku,8.4,"$53,170"
Samsara,8.4,"$4,426,444"
The Salt of the Earth,8.4,"$5,412,466"
The Cove,8.4,"$1,187,434"
Kaithi,8.4,"$522,938"
Flåklypa Grand Prix,8.4,
Vada Chennai,8.4,"$472,865"
Sansho the Bailiff,8.4,"$5,267"
Asuran,8.4,"$379,728"
Drishyam 2,8.4,"$3,841"
Lizard,8.4,
Attack on Titan: Chronicle,8.4,"$42,908"
Kad porastem bicu Kengur,8.4,"$13,793"
Filantropica,8.4,"$20,795"
Black Friday,8.4,"$1,610,897"
Thani Oruvan,8.4,
Apur Sansar,8.4,"$134,241"
Sigur Rós: Heima,8.4,"$36,229"
Mahanati,8.4,"$279,078"
Profesionalac,8.4,
Visaaranai,8.4,"$1,943"
Taylor Swift: Folklore - The Long Pond Studio Sessions,8.4,
Muhsin Bey,8.4,
Pawankhind,8.4,"$4,260,686"
Mudhalvan,8.4,"₹500,000,000"
Operatsiya 'Y' i drugie priklyucheniya Shurika,8.4,"$19,314,000"
Virumandi,8.4,"₹476,950,000"
Gülen Gözler,8.4,
The Last Crusade,8.4,
Papanasam,8.4,"$586,973"
Pudhu Pettai,8.4,"$4,652"
Mandela,8.4,
Kapicilar Krali,8.4,
Ulidavaru Kandanthe,8.4,
Iruvar,8.4,
Kannathil Muthamittal,8.4,
Bizim Aile,8.4,
The Wild Robot,8.3,"$318,387,315"
Oppenheimer,8.3,"$975,594,978"
Good Will Hunting,8.3,"$225,933,435"
Eternal Sunshine of the Spotless Mind,8.3,"$73,395,181"
Requiem for a Dream,8.3,"$7,390,108"
American Beauty,8.3,"$356,296,601"
Heat,8.3,"$187,436,818"
The Remarkable Life of Ibelin,8.3,"$1,303,564"
Oldeuboi,8.3,"$17,592,355"
Braveheart,8.3,"$213,216,216"
Scarface,8.3,"$66,443,303"
Jagten,8.3,"$15,886,373"
2001: A Space Odyssey,8.3,"$66,764,997"
Once Upon a Time in America,8.3,"$5,475,540"
Reservoir Dogs,8.3,"$2,931,191"
Toy Story,8.3,"$394,436,586"
Incendies,8.3,"$6,797,861"
Hamilton,8.3,
Idi I Smotri,8.3,"$20,929,648"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,"$9,631,984"
Le fabuleux destin d'Amélie Poulain,8.3,"$175,183,052"
Lawrence of Arabia,8.3,"$45,763,719"
Up,8.3,"$735,102,136"
Star Wars: Episode VI - Return of the Jedi,8.3,"$482,466,382"
Mononoke-hime,8.3,"$170,338,626"
Double Indemnity,8.3,"$19,543"
North by Northwest,8.3,"$192,323"
Toy Story 3,8.3,"$1,067,316,101"
Metropolis,8.3,"$1,350,322"
Citizen Kane,8.3,"$1,707,754"
Vertigo,8.3,"$7,808,900"
To Kill a Mockingbird,8.3,"$599,934"
The Apartment,8.3,"$18,778,738"
Singin' in the Rain,8.3,"$2,093,275"
The Sting,8.3,"$156,000,000"
Jodaeiye Nader Az Simin,8.3,"$22,926,076"
Dangal,8.3,"$303,726,782"
M - Eine Stadt sucht einen Mörder,8.3,"$35,566"
Ikiru,8.3,"$111,762"
Judgment at Nuremberg,8.3,"$12,180"
Taare Zameen Par,8.3,"$21,897,373"
Voyna i mir,8.3,"$149,485"
Ladri Di Biciclette,8.3,"$451,336"
Shershaah,8.3,
Vikram,8.3,"$29,837,637"
Sardar Udham,8.3,
Man with a Movie Camera,8.3,"$3,959"
Chhichhore,8.3,"$3,311,391"
Violet Evergarden: The Movie,8.3,"$20,302,668"
The Rescue,8.3,"$1,060,556"
Ratsasan,8.3,
Dil Bechara,8.3,"$45,171"
Viduthalai Part 1,8.3,"$5,880"
To Live,8.3,"$2,332,728"
Akahige,8.3,"$47,741"
Drishyam,8.3,"$13,076,265"
Children of Paradise,8.3,"$44,906"
Scener ur ett äktenskap,8.3,$250
Hoop Dreams,8.3,"$11,830,611"
Letyat zhuravli,8.3,"$32,549"
The Look of Silence,8.3,"$157,857"
Jana Gana Mana,8.3,"$3,135,150"
Premam,8.3,"₹600,000,000"
2018,8.3,"$4,547,765"
Jôi-uchi: Hairyô tsuma shimatsu,8.3,
Won't You Be My Neighbor?,8.3,"$22,844,741"
Brilliantovaya ruka,8.3,"$2,266"
Bangalore Days,8.3,"$180,217"
Satya,8.3,
Uçurtmayi Vurmasinlar,8.3,
Nayak,8.3,
"Kavkazskaya Plennitsa, Ili Novye Priklyucheniya Shurika",8.3,
Winter on Fire: Ukraine's Fight for Freedom,8.3,
Maheshinte Prathikaram,8.3,"$22,361"
Mahanagar,8.3,
Mrtav 'ladan,8.3,
Gekijôban Shingeki no Kyojin Season 2: Kakusei no hôkô,8.3,"$107,155"
Anniyan,8.3,
Vuk,8.3,
Agent Sai Srinivasa Athreya,8.3,"$4,454"
Sairat,8.3,
Dzhentlmeny udachi,8.3,"$10,560,943"
Baasha,8.3,"₹250,000,000"
Pithamagan,8.3,
Jaane Bhi Do Yaaro,8.3,
Khuda Kay Liye,8.3,"$2,432,378"
Angoor,8.3,
Kaakkaa Muttai,8.3,"$246,551"
Soodhu Kavvum,8.3,
Kaun Pravin Tambe?,8.3,
Pyaasa,8.3,
Guide,8.3,
Lucia,8.3,
Mi nismo andjeli,8.3,
Chupke Chupke,8.3,
Köyden Indim Sehire,8.3,
Iron Maiden: Flight 666,8.3,"$233,193"
Pranchiyettan and the Saint,8.3,$957
Macskafogó,8.3,"$14,937"
Aruvi,8.3,
Alai Payuthey,8.3,"₹350,000,000"
Pathemari,8.3,
Thulladha Manamum Thullum,8.3,
Aloko Udapadi,8.3,
Wicked,8.2,"$194,926,510"
Anora,8.2,"$22,232,841"
The Wolf of Wall Street,8.2,"$407,039,432"
Top Gun: Maverick,8.2,"$1,495,696,292"
No Country for Old Men,8.2,"$171,632,777"
Die Hard,8.2,"$143,651,650"
Spider-Man: No Way Home,8.2,"$1,952,723,719"
Jurassic Park,8.2,"$1,104,379,926"
Batman Begins,8.2,"$375,404,836"
Prisoners,8.2,"$122,127,446"
Shutter Island,8.2,"$294,946,413"
Taxi Driver,8.2,"$28,580,445"
The Truman Show,8.2,"$264,118,712"
The Thing,8.2,"$20,630,135"
1917,8.2,"$446,064,352"
Unforgiven,8.2,"$159,167,799"
Kishkkindha Kandam,8.2,"$1,882,951"
The Sixth Sense,8.2,"$672,806,432"
Green Book,8.2,"$321,752,656"
Snatch,8.2,"$83,557,872"
Klaus,8.2,
A Clockwork Orange,8.2,"$27,034,174"
There Will Be Blood,8.2,"$76,186,873"
Full Metal Jacket,8.2,"$50,193,748"
Casino,8.2,"$116,112,375"
A Beautiful Mind,8.2,"$316,791,257"
Kill Bill: Vol. 1,8.2,"$180,908,413"
El Laberinto Del Fauno,8.2,"$83,863,565"
Howl's Moving Castle,8.2,"$240,589,632"
Tumbbad,8.2,"$1,691,980"
L.A. Confidential,8.2,"$126,216,940"
Finding Nemo,8.2,"$941,637,960"
Indiana Jones and the Last Crusade,8.2,"$474,171,806"
Der Untergang,8.2,"$92,181,574"
Gone with the Wind,8.2,"$402,382,193"
El Secreto De Sus Ojos,8.2,"$35,079,650"
The Father,8.2,"$24,048,935"
Monty Python and the Holy Grail,8.2,"$2,817,496"
Some Like It Hot,8.2,"$208,457"
The Great Escape,8.2,"$230,637"
The Elephant Man,8.2,"$26,028,672"
Ran,8.2,"$4,172,381"
Per qualche dollaro in più,8.2,"$15,000,000"
All About Eve,8.2,"$154,501"
Dial M for Murder,8.2,"$45,313"
Demon Slayer: Mugen Train,8.2,"$473,230,408"
Rashōmon,8.2,"$133,998"
Hi Nanna,8.2,"$210,780"
The Act of Killing,8.2,"$726,324"
Manjummel Boys,8.2,"$3,784,106"
A Man in the Crowd,8.2,
Inside Job,8.2,"$7,871,522"
Drishyam 2,8.2,"$2,973,347"
Bacheha-Ye Aseman,8.2,"$933,933"
The Treasure of the Sierra Madre,8.2,"$5,014,000"
Yojimbo,8.2,"$66,290"
Drishyam,8.2,
Yedinci Kogustaki Mucize,8.2,"$17,163,660"
K.G.F: Chapter 2,8.2,"$89,123,940"
Andhadhun,8.2,"$62,475,342"
Koyaanisqatsi,8.2,"$1,728,124"
A Man Escaped,8.2,
Sátántangó,8.2,
Bhaag Milkha Bhaag,8.2,"$17,551,296"
Napoléon vu par Abel Gance,8.2,"$39,448"
The Kid,8.2,"$41,979"
They Shall Not Grow Old,8.2,"$21,656,913"
A Brighter Summer Day,8.2,"$117,372"
Look on the Internet,8.2,
Paris Is Burning,8.2,"$3,906,006"
Rocco and His Brothers,8.2,"$11,328"
Uri: The Surgical Strike,8.2,"$39,346,577"
K.G.F: Chapter 1,8.2,"$6,421,597"
Kantara,8.2,"$2,406,221"
Hera Pheri,8.2,
Ayla: The Daughter of War,8.2,"$946,947"
Searching for Sugar Man,8.2,"$9,380,362"
Lion of the Desert,8.2,
Gangs of Wasseypur,8.2,"$4,384,642"
My Father and My Son,8.2,"$18,612,999"
Zindagi Na Milegi Dobara,8.2,"$5,192,743"
Pather Panchali,8.2,"$135,342"
Paradise Lost: The Child Murders at Robin Hood Hills,8.2,
Bãhubali 2: The Conclusion,8.2,"$254,158,390"
Dersu Uzala,8.2,"$14,480"
Super Deluxe,8.2,"$273,191"
Sherlock Jr.,8.2,$399
Hope,8.2,
"Swades: We, the People",8.2,"$1,953,889"
13th,8.2,$566
Rangasthalam,8.2,"$551,820"
Umberto D.,8.2,"$72,433"
The Ascent,8.2,
Life and a Day,8.2,
Dag II,8.2,"$11,378,898"
Ennio,8.2,"$4,333,771"
Soy Cuba,8.2,"$274,098"
Banshun,8.2,"$19,681"
The Easy Life,8.2,
Vikram Vedha,8.2,"$546,792"
Los olvidados,8.2,"$134,918"
Maanaadu,8.2,"$565,759"
Rascal Does Not Dream of a Dreaming Girl,8.2,"$3,060,705"
Ordet,8.2,
Disclosure,8.2,
In & of Itself,8.2,
Aparajito,8.2,"$134,241"
HyperNormalisation,8.2,
Make Way for Tomorrow,8.2,"$6,416"
I Am a Fugitive from a Chain Gang,8.2,
Before the Flood,8.2,$988
Saptha Sagaradaache Ello - Side A,8.2,"$37,253"
The Mole: Undercover in North Korea,8.2,
Racing Extinction,8.2,
Harlan County U.S.A.,8.2,
American Utopia,8.2,"$258,556"
Theeran Adhigaaram Ondru,8.2,"$238,484"
Chithha,8.2,"$7,664"
Dhuruvangal Pathinaaru,8.2,
Ballada o soldate,8.2,
Shahid,8.2,"$377,803"
Sluzhebnyy roman,8.2,
Bizim Için Sampiyon,8.2,"$6,214,362"
Guizi lai le,8.2,"$18,944"
Jung Kook: I Am Still,8.2,"$10,763,217"
Obchod na korze,8.2,
Paan Singh Tomar,8.2,"$40,311"
Hearts and Minds,8.2,"$28,754"
Cep Herkülü: Naim Süleymanoglu,8.2,"$4,920,899"
Uncle Tom,8.2,
Khosla Ka Ghosla!,8.2,"$40,194"
Padayappa,8.2,"₹440,000,000"
Mathu Vadalara,8.2,"$7,035"
Mis,8.2,
Vaaranam Aayiram,8.2,"$921,007"
The Art of Flight,8.2,"$158,532"
Garuda Gamana Vrishabha Vahana,8.2,
Drushyam,8.2,"₹200,000,000"
Kadhalukku Mariyadhai,8.2,"$24,849"
The Crash Reel,8.2,
Ivan Vasilevich menyaet professiyu,8.2,
Cuba and the Cameraman,8.2,
Jigarthanda,8.2,"$24,274"
The Conversion,8.2,
Bommarillu,8.2,
Pelli Choopulu,8.2,
Ustad Hotel,8.2,"$2,178"
One More Time with Feeling,8.2,"$904,440"
12 stulev,8.2,
V Boy Idut Odni 'stariki',8.2,
Ghilli,8.2,"$163,961"
LA 92,8.2,$297
Pearl Jam Twenty,8.2,"$471,334"
Kshanam,8.2,
The Times of Harvey Milk,8.2,"$46,573"
Nil Battey Sannata,8.2,
Athadu,8.2,
No End in Sight,8.2,"$1,433,319"
The Union: The Business Behind Getting High,8.2,
Deiva Thirumagal,8.2,"$846,407"
Naduvula Konjam Pakkatha Kaanom,8.2,
Kirik Party,8.2,"$12,195"
Television,8.2,
Bol,8.2,"$509,872"
Foo Fighters: Back and Forth,8.2,"$172,558"
How to Train Your Dragon,8.1,"$494,879,860"
The Wizard of Oz,8.1,"$25,637,669"
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,"$654,264,546"
Harry Potter and the Deathly Hallows: Part 2,8.1,"$1,342,499,744"
Logan,8.1,"$619,180,476"
Mad Max: Fury Road,8.1,"$380,437,267"
Dead Poets Society,8.1,"$235,860,116"
Blade Runner,8.1,"$41,758,452"
The Terminator,8.1,"$78,371,200"
Gone Girl,8.1,"$370,890,259"
Catch Me If You Can,8.1,"$352,114,312"
Inside Out,8.1,"$859,076,254"
Ah-ga-ssi,8.1,"$37,863,670"
Ratatouille,8.1,"$623,729,107"
The Grand Budapest Hotel,8.1,"$174,567,384"
The Big Lebowski,8.1,"$48,066,565"
The Sound of Music,8.1,"$159,484,051"
Hacksaw Ridge,8.1,"$180,563,636"
Stand by Me,8.1,"$53,522,503"
Rocky,8.1,"$117,253,184"
V for Vendetta,8.1,"$134,686,457"
The Help,8.1,"$221,802,186"
Jaws,8.1,"$477,220,580"
Trainspotting,8.1,"$16,981,823"
The Exorcist,8.1,"$430,872,776"
Ford v. Ferrari,8.1,"$225,508,210"
Warrior,8.1,"$23,308,615"
The Deer Hunter,8.1,"$49,080,126"
Fargo,8.1,"$60,611,975"
"Paris, Texas",8.1,"$2,698,710"
Million Dollar Baby,8.1,"$216,763,646"
Into the Wild,8.1,"$56,676,733"
"Three Billboards Outside Ebbing, Missouri",8.1,"$162,729,321"
Salinui Chueok,8.1,"$1,210,156"
Platoon,8.1,"$138,545,632"
Rush,8.1,"$96,992,516"
Spotlight,8.1,"$98,690,254"
Chinatown,8.1,"$29,231,954"
12 Years a Slave,8.1,"$187,734,091"
