Title,Average Rating,Worldwide Gross
"Montevideo, vidimo se!",8.1,"$2,273,204"
Colour Photo,8.1,
The Legend of Bhagat Singh,8.1,
Monanieba,8.1,
The Great Indian Kitchen,8.1,
Padosan,8.1,
Namuslu,8.1,
Oru CBI Diary Kurippu,8.1,
Endless Corridor,8.1,
Kolah Ghermezi and Pesar Khale,8.1,
Dune,8.0,"$407,673,628"
Deadpool,8.0,"$782,837,347"
Blade Runner 2049,8.0,"$276,605,984"
The Princess Bride,8.0,"$30,964,149"
Casino Royale,8.0,"$616,577,552"
Donnie Darko,8.0,"$7,412,634"
La La Land,8.0,"$509,183,536"
Her,8.0,"$48,269,269"
The Martian,8.0,"$630,621,406"
Guardians of the Galaxy,8.0,"$773,350,376"
Black Swan,8.0,"$329,398,046"
The Revenant,8.0,"$532,950,503"
The Incredibles,8.0,"$631,688,498"
Sin City,8.0,"$158,733,820"
Zootopia,8.0,"$1,025,521,689"
Sling Blade,8.0,"$24,444,121"
The Avengers,8.0,"$1,520,538,536"
The Imitation Game,8.0,"$233,555,708"
The Life and Death of Colonel Blimp,8.0,"$90,179"
The Last Picture Show,8.0,"$29,146,255"
The Pursuit of Happyness,8.0,"$307,127,625"
Twelve Monkeys,8.0,"$168,839,459"
Rosemary's Baby,8.0,"$3,288"
JFK,8.0,"$205,405,498"
Dances with Wolves,8.0,"$424,208,848"
Stalker,8.0,"$438,245"
The Graduate,8.0,"$105,017,024"
Magnolia,8.0,"$48,453,541"
CODA,8.0,"$1,905,058"
Soul,8.0,"$121,977,511"
Groundhog Day,8.0,"$71,108,778"
Scent of a Woman,8.0,"$134,095,253"
Dogville,8.0,"$16,690,617"
Young Frankenstein,8.0,"$86,276,706"
Beauty and the Beast,8.0,"$451,291,298"
Blood Diamond,8.0,"$171,720,398"
Big Fish,8.0,"$123,235,422"
Rain Man,8.0,"$354,825,435"
Contratiempo,8.0,"$31,191,910"
Pâfekuto burû,8.0,"$563,130"
A Woman Under the Influence,8.0,"$25,601"
Aladdin,8.0,"$504,050,219"
Lion,8.0,"$140,853,810"
How to Make Millions Before Grandma Dies,8.0,"$5,114,857"
Slumdog Millionaire,8.0,"$378,411,362"
Dog Day Afternoon,8.0,"$50,002,721"
The Bourne Ultimatum,8.0,"$444,100,035"
Cinderella Man,8.0,"$108,539,911"
Kill Bill: Vol. 2,8.0,"$154,118,514"
The King's Speech,8.0,"$472,088,310"
Akira,8.0,"$3,289,058"
Planet of the Apes,8.0,"$32,600,372"
Cool Hand Luke,8.0,"$1,767"
Life of Brian,8.0,"$20,781,763"
Chungking Express,8.0,"$3,294,092"
Butch Cassidy and the Sundance Kid,8.0,"$102,311,848"
The Straight Story,8.0,"$6,449,471"
La Leggenda Del Pianista Sull'oceano,8.0,"$21,061,339"
Gandhi,8.0,"$52,768,419"
8½,8.0,"$200,502"
Rio Bravo,8.0,"$27,210"
The Night of the Hunter,8.0,"$6,030"
Amores perros,8.0,"$20,908,467"
Fiddler on the Roof,8.0,"$10,407,120"
Annie Hall,8.0,"$38,289,445"
Taylor Swift: The Movie,8.0,"$261,656,269"
Papillon,8.0,"$53,267,000"
Nausicaä of the Valley of the Wind,8.0,"$9,013,757"
What Ever Happened to Baby Jane?,8.0,"$4,154"
A Matter of Life and Death,8.0,"$179,059"
La dolce vita,8.0,"$217,420"
IP Man,8.0,"$22,108,789"
Tenkû No Shiro Rapyuta,8.0,"$6,218,229"
Festen,8.0,"$1,657,778"
Kimi no suizô o tabetai,8.0,"$33,748,006"
Pink Floyd: The Wall,8.0,"$22,274,148"
Central do Brasil,8.0,"$5,971,073"
The Shop Around the Corner,8.0,"$42,219"
Persona,8.0,"$90,813"
Do-ga-ni,8.0,"$30,996,130"
The Samouri,8.0,"$328,741"
Roman Holiday,8.0,"$22,728"
Fail Safe,8.0,
Wolfwalkers,8.0,"$1,310,720"
Touch of Evil,8.0,"$2,285,063"
Anatomy of a Murder,8.0,$194
Song of the Sea,8.0,"$4,228,034"
Who's Afraid of Virginia Woolf?,8.0,"$28,006,929"
Mommy,8.0,"$13,156,856"
Mou Gaan Dou,8.0,"$8,836,958"
Kaguya-hime No Monogatari,8.0,"$24,751,400"
Das Cabinet des Dr. Caligari,8.0,"$9,297"
Secrets & Lies,8.0,"$13,417,292"
The 400 Blows,8.0,"$193,228"
Fitzcarraldo,8.0,"$4,413"
Andrei Rublev,8.0,"$176,472"
Build My Gallows High,8.0,
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,8.0,"$8,842,229"
Underground,8.0,"$182,134"
Dare Mo Shiranai,8.0,"$2,288,093"
The Elite Squad,8.0,"$14,759,148"
Maidaan,8.0,"$371,226"
Sweet Smell of Success,8.0,"$7,704"
Brief Encounter,8.0,"$92,293"
Bãhubali: The Beginning,8.0,"$24,548,038"
Hibernation,8.0,"$4,018,705"
Hadashi No Gen,8.0,
Persepolis,8.0,"$22,783,978"
Love Exposure,8.0,
Mar adentro,8.0,"$43,731,621"
Le Scaphandre Et Le Papillon,8.0,"$19,780,116"
Ivan's Childhood,8.0,"$87,638"
The Castle of the Spider's Web,8.0,"$59,633"
"Crna machka, beli machor",8.0,"$370,787"
Dilwale Dulhania Le Jayenge,8.0,"$83,096"
Limelight,8.0,"$9,291"
Okuribito,8.0,"$74,236,951"
The Hidden Fortress,8.0,"$56,546"
The Virgin Spring,8.0,"$6,952"
M.S. Dhoni: The Untold Stor,8.0,"$28,903,047"
Jodorowsky's Dune,8.0,"$662,736"
"Quo Vadis, Aida?",8.0,"$813,253"
Crumb,8.0,"$3,041,083"
Bowling for Columbine,8.0,"$58,015,923"
Evangelion: 3.0+1.01 Thrice Upon a Time,8.0,"$93,882,453"
Touching the Void,8.0,"$13,905,522"
"Goodbye, Children",8.0,"$4,575,613"
Manon des sources,8.0,"$3,940,542"
Spalovac mrtvol,8.0,
La strada,8.0,"$41,362"
Haider,8.0,"$1,404,307"
El ángel exterminador,8.0,"$1,843"
Vals Im Bashir,8.0,"$11,179,372"
Ahlat Agaci,8.0,"$1,696,258"
Jigarthanda Double X,8.0,"$279,408"
Pink,8.0,"$180,180"
Indagine su un cittadino al di sopra di ogni sospetto,8.0,
The Ox-Bow Incident,8.0,
Only One Man Is Enough,8.0,$327
Day for Night,8.0,$509
G.O.R.A.,8.0,"$20,839,049"
Citizenfour,8.0,"$3,780,692"
Greed,8.0,
Kind Hearts and Coronets,8.0,"$146,400"
Sanjuro,8.0,"$63,461"
Tropa de Elite 2: O Inimigo Agora é Outro,8.0,"$63,618,850"
Angst essen Seele auf,8.0,"$16,247"
Werckmeister harmóniák,8.0,"$69,923"
Omkara,8.0,"$16,466,144"
A Tree Grows in Brooklyn,8.0,
Durak,8.0,
"Rome, Open City",8.0,"$24,113"
A Raisin in the Sun,8.0,
Taegukgi hwinallimyeo,8.0,"$81,407,286"
Turtles Can Fly,8.0,"$1,075,553"
Medena zemja,8.0,"$1,314,260"
Yol,8.0,
Winter Light,8.0,"$8,894"
The Biggest Little Farm,8.0,"$5,270,685"
Lage Raho Munna Bhai,8.0,"$17,897,527"
A Short Film About Killing,8.0,
Malik,8.0,
Sicko,8.0,"$36,163,768"
Gekijouban Made in Abyss: Fukaki Tamashii no Reimei,8.0,"$4,971,635"
The Bridge,8.0,
Utvandrarna,8.0,
Going Clear: Scientology and the Prison of Belief,8.0,"$230,194"
Castaway on the Moon,8.0,"$3,732,224"
Körkarlen,8.0,
The Red Pill,8.0,
Gulaal,8.0,"$2,364,294"
Moskva slezam ne verit,8.0,"$17,023"
The Blue Elephant,8.0,"$695,436"
The Story of Hachikō,8.0,"$13,827,720"
Por Thozhil,8.0,"$350,534"
An Autumn Afternoon,8.0,"$27,189"
Warui yatsu hodo yoku nemuru,8.0,"$46,961"
Jeux interdits,8.0,"$19,889"
Maqbool,8.0,
The King of Kong,8.0,"$790,128"
Shame,8.0,"$1,798"
A Patch of Blue,8.0,$56
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",8.0,"$3,696,069"
The Cameraman,8.0,$698
The Last Laugh,8.0,
Charlie,8.0,"$46,083"
Company,8.0,
We All Loved Each Other So Much,8.0,"$117,948"
The Wind,8.0,
Nybyggarna,8.0,
The Corporation,8.0,"$4,605,682"
Aparayano Papaiya,8.0,"$90,328"
Andaz Apna Apna,8.0,
Sciuscià,8.0,"$34,677"
The Disappearance of Haruhi Suzumiya,8.0,"$7,701,498"
The Browning Version,8.0,
Deewaar,8.0,"$65,317"
Joseph,8.0,
Biruma no tategoto,8.0,"$33,763"
Ayyappanum Koshiyum,8.0,"$5,088,713"
Special Chabbis,8.0,"$647,074"
Ship of Theseus,8.0,
Love Today,8.0,"$158,787"
Vizontele,8.0,"$968,318"
Karnan,8.0,"$3,817,585"
Nna Thaan Case Kodu,8.0,"$1,554,666"
Esperando la carroza,8.0,"$596,550"
नीला हाथी 2,8.0,"$713,957"
Al midan,8.0,"$124,244"
The Internet's Own Boy: The Story of Aaron Swartz,8.0,"$48,911"
1: Nenokkadine,8.0,
Ugramm,8.0,
Eftyhia,8.0,"$1,294"
Little Dieter Needs to Fly,8.0,
Mukkabaaz,8.0,"$140,981"
Requiem for the American Dream,8.0,"$130,152"
The Naked Island,8.0,"$14,673"
Tõde ja õigus,8.0,
Dedemin Insanlari,8.0,"$6,130,561"
Rane,8.0,
Operation Java,8.0,
Leader,8.0,
Tuntematon sotilas,8.0,
Assal Eswed,8.0,
In the Shadow of the Moon,8.0,"$2,161,369"
Oopiri,8.0,"$7,124"
Manjhi: The Mountain Man,8.0,
Vaastav: The Reality,8.0,"$81,367"
Paradise Lost 3: Purgatory,8.0,
Android Kunjappan Version 5.25,8.0,"$10,230"
Inequality for All,8.0,"$1,205,273"
Chasing Coral,8.0,
Memories,8.0,
The Breath,8.0,"$15,291,338"
Ayirathil Oruvan,8.0,
Dia,8.0,
Metal: A Headbanger's Journey,8.0,"$5,095"
Why We Fight,8.0,"$1,439,972"
Oh My Kadavule,8.0,"$35,668"
Pokiri,8.0,"$93,651"
Chikamatsu monogatari,8.0,"$9,311"
Kaakha Kaakha,8.0,
Ranga Maarthaanda,8.0,
Richard Pryor: Live in Concert,8.0,
Ennu Ninte Moideen,8.0,
Kammatti Paadam,8.0,"$3,891"
Beregis avtomobilya,8.0,"$10,154"
Arabesk,8.0,
Indru Netru Naalai,8.0,
Sakar Sakir,8.0,
Stanley Kubrick: A Life in Pictures,8.0,
Unnaipol Oruvan,8.0,"₹500,000,000"
Çiçek Abbas,8.0,
Okkadu,8.0,"$11,764"
Titanic,7.9,"$2,264,750,694"
The Holdovers,7.9,"$45,635,030"
Mulholland Dr.,7.9,"$20,289,986"
Harry Potter and the Prisoner of Azkaban,7.9,"$808,485,409"
Look Back,7.9,"$12,605,482"
Knives Out,7.9,"$312,897,920"
Perfect Days,7.9,"$25,654,800"
A Christmas Story,7.9,"$20,792,619"
True Romance,7.9,"$13,088,850"
The Nightmare Before Christmas,7.9,"$107,798,585"
Arrival,7.9,"$212,758,656"
Guardians of the Galaxy Vol. 3,7.9,"$845,555,777"
Avatar,7.9,"$2,923,706,026"
Shrek,7.9,"$488,629,509"
Jojo Rabbit,7.9,"$93,694,707"
Star Trek,7.9,"$385,681,768"
Children of Men,7.9,"$70,596,471"
The Perks of Being a Wallflower,7.9,"$33,384,127"
Iron Man,7.9,"$585,796,247"
Boogie Nights,7.9,"$43,117,303"
Edge of Tomorrow,7.9,"$377,044,245"
E.T. The Extra-Terrestrial,7.9,"$797,307,407"
In Bruges,7.9,"$38,938,097"
Shaun of the Dead,7.9,"$31,508,087"
Zack Snyder's Justice League,7.9,
Bohemian Rhapsody,7.9,"$910,813,521"
Edward Scissorhands,7.9,"$86,024,005"
Almost Famous,7.9,"$47,387,566"
Laura,7.9,$151
Mystic River,7.9,"$156,595,191"
Thor: Ragnarok,7.9,"$855,301,806"
Fantastic Mr. Fox,7.9,"$58,091,644"
X-Men: Days of Future Past,7.9,"$746,045,700"
Spartacus,7.9,"$1,846,975"
Wonder,7.9,"$315,025,930"
Marriage Story,7.9,"$333,686"
The Blues Brothers,7.9,"$115,229,890"
Dallas Buyers Club,7.9,"$55,198,285"
District 9,7.9,"$210,888,950"
Spinal Tap,7.9,"$4,738,481"
Toy Story 2,7.9,"$497,375,381"
The Maltese Falcon,7.9,"$39,387"
Miracle on 34th Street,7.9,"$1,742"
Kôkaku Kidôtai,7.9,"$929,593"
Boyhood,7.9,"$48,137,666"
Heatwave,7.9,"$37,295,445"
Life of Pi,7.9,"$609,016,565"
Carlito's Way,7.9,"$63,848,322"
The Ten Commandments,7.9,"$65,500,755"
Zimtor the Unspongeable.,7.9,"$111,926,200"
A Fistful of Dollars,7.9,"$14,516,248"
The Big Heat,7.9,"$6,804"
Wings of Desire,7.9,"$3,518,525"
Kal Ho Naa Ho,7.9,"$13,214,520"
"Blood in, Blood Out",7.9,"$4,496,583"
The Wrestler,7.9,"$44,734,660"
A Streetcar Named Desire,7.9,"$53,162"
Wo Hu Cang Long,7.9,"$213,978,518"
Dancer in the Dark,7.9,"$40,061,153"
The Wild Bunch,7.9,"$640,561"
Before Midnight,7.9,"$20,710,514"
Solarus,7.9,"$229,210"
Warrios,7.9,"$1,608,610"
Mr. Chance,7.9,"$30,179,435"
All the President's Men,7.9,"$70,601,199"
Sing Street,7.9,"$13,624,522"
In the Heat of the Night,7.9,"$27,669"
Togo,7.9,
Strangers on a Train,7.9,"$50,415"
Ying Xiong,7.9,"$177,395,557"
Shoplifters,7.9,"$67,999,348"
The Candidate of Manchuria,7.9,"$2,757,256"
Serbuan Maut 2: Berandal,7.9,"$6,566,916"
Il gattopardo,7.9,"$294,138"
Rope,7.9,"$10,883"
The Big Sleep,7.9,"$51,050"
Auntie Mame,7.9,
Chandu Champion,7.9,"$750,617"
High Noon,7.9,$217
Harold and Maude,7.9,"$3,978"
Notorious,7.9,"$117,060"
The Killing,7.9,$380
Taeksi Woonjunsa,7.9,"$86,252,940"
Offret,7.9,"$250,156"
Patton,7.9,"$61,749,765"
King Kong,7.9,$651
Talk to Her,7.9,"$64,826,117"
In Cold Blood,7.9,$316
The Mirror,7.9,"$124,367"
The Lion in Winter,7.9,"$18,762"
Harvey,7.9,
In a Lonely Place,7.9,"$22,276"
The Adventures of Robin Hood,7.9,$291
Short Term 12,7.9,"$1,645,164"
Kes,7.9,"$79,751"
The Thin Man,7.9,
Gegen Die Wand,7.9,"$11,065,801"
Il conformista,7.9,"$632,898"
Wo,7.9,"$447,344"
The Stoning of Soraya M.,7.9,"$1,120,476"
Arsenic and Old Lace,7.9,
Amour,7.9,"$29,664,140"
The Hustler,7.9,
Onibaba,7.9,
Stalag 17,7.9,
A Night to Remember,7.9,
Yeopgijeogin Geunyeo,7.9,"$365,429"
Nostalghia,7.9,"$323,811"
Le cercle rouge,7.9,"$473,897"
My Name Is Khan,7.9,"$42,345,360"
Kagemusha,7.9,"$4,018,532"
Leila's Brothers,7.9,"$840,512"
Cat on a Hot Tin Roof,7.9,"$1,872"
The Big Country,7.9,
Mildred Pierce,7.9,"$11,584"
Mishima: A Life in Four Chapters,7.9,"$569,996"
Cries & Whispers,7.9,"$37,068"
When We Were Kings,7.9,"$2,789,985"
Sleuth,7.9,
Kaidan,7.9,
The Alpinist,7.9,"$1,445,831"
My Man Godfrey,7.9,
Battleship Potemkin,7.9,"$61,389"
About Elly,7.9,"$879,422"
Second Wind,7.9,"$16,310"
Ascenseur pour l'échafaud,7.9,"$431,784"
Matewan,7.9,"$1,680,358"
Vozvrashchenie,7.9,"$8,482,993"
The Greatest Night in Pop,7.9,
Nine Queens,7.9,"$12,413,888"
"4 luni, 3 saptamâni si 2 zile",7.9,"$10,174,839"
Pad Man,7.9,"$29,045,020"
La notte,7.9,"$40,703"
No Man's Land,7.9,"$4,858,869"
Pixote: A Lei do Mais Fraco,7.9,
Bin-jip,7.9,"$3,403,957"
Exit Through the Gift Shop,7.9,"$5,409,178"
Mia aioniotita kai mia mera,7.9,"$107,178"
The Lost Weekend,7.9,$681
Angels with Dirty Faces,7.9,$524
One Two Three,7.9,
Opening Night,7.9,"$32,191"
Day Will Come,7.9,"$56,187"
La Belle et la Bête,7.9,"$298,718"
Sullivan's Travels,7.9,"$10,249"
Evangelion: 2.0 You Can (Not),7.9,"$41,780,025"
La règle du jeu,7.9,"$273,641"
Jab We Met,7.9,"$10,065,630"
Flee,7.9,"$711,676"
Gully Boy,7.9,"$28,299,498"
Icarus,7.9,
Roaring Twenties,7.9,
Alice in the Cities,7.9,"$59,294"
Aruitemo aruitemo,7.9,"$3,511,120"
"Now, Voyager",7.9,"$10,390"
Love Letter,7.9,"$7,854,754"
Topio stin omihli,7.9,
The Thin Blue Line,7.9,"$1,209,846"
Divorzio all'italiana,7.9,"$131,467"
Baby,7.9,"$11,533,057"
Black Hawk Down,7.9,
"Goodbye, Mr. Chips",7.9,
Såsom i en spegel,7.9,"$8,939"
Night and the City,7.9,"$43,024"
Letter from an Unknown Woman,7.9,$852
The way he looks,7.9,"$1,207,841"
Arjun Reddy,7.9,"$145,522"
Don't Look Now... We're Being Shot At!,7.9,
The War Game,7.9,
Cría cuervos,7.9,"$13,029"
The Face of Another,7.9,"$35,185"
I Am Not Your Negro,7.9,"$8,345,298"
Badhaai Ho,7.9,"$26,125,610"
Deliver Us from Evil,7.9,"$327,205"
Thiruchitrambalam,7.9,"$5,342,111"
Orphée,7.9,
Madame de...,7.9,"$135,636"
The Little Foxes,7.9,
Random Harvest,7.9,
Avaze gonjeshk-ha,7.9,"$220,360"
Mukundan Unni Associates,7.9,"$44,990"
Eteros Ego,7.9,"$371,528"
Trouble in Paradise,7.9,$345
Super 30,7.9,"$24,701,637"
Zendegi va digar hich,7.9,
Sevmek Zamani,7.9,
Marketa Lazarová,7.9,
Burden of Dreams,7.9,
Anjaam Pathiraa,7.9,"$1,106,211"
Das Testament des Dr. Mabuse,7.9,"$27,690"
Dai-bosatsu tôge,7.9,
Dont Look Back,7.9,
The Last Days,7.9,"$421,432"
West of Memphis,7.9,"$318,317"
Floating Weeds,7.9,
I soliti ignoti,7.9,
The Trap,7.9,"$276,664"
Captains Courageous,7.9,
Ugly,7.9,
Dev.D,7.9,"$4,047,969"
Marley,7.9,"$3,842,919"
Ivy,7.9,"$78,862"
Gaav,7.9,
Trilogy: The Weeping Meadow,7.9,"$64,424"
Love on a Leash,7.9,
Johnny Gaddaar,7.9,"$1,109,943"
Sonchiriya,7.9,"$914,565"
Tower,7.9,"$101,987"
Kanal,7.9,
Airlift,7.9,"$9,323,484"
Amici miei,7.9,
Tupac: Resurrection,7.9,"$7,808,524"
Gemide,7.9,
Robin Williams: Come Inside My Mind,7.9,
Turab el-Mas,7.9,"$188,228"
Salaam Bombay!,7.9,"$2,080,758"
Kin-dza-dza!,7.9,"$23,902"
Hey Ram,7.9,"$274,675"
The Sound of Trumpets,7.9,"$9,080"
Monterey Pop,7.9,
Nobi,7.9,
El verdugo,7.9,
Le peuple migrateur,7.9,"$34,128,314"
Akibiyori,7.9,"$17,781"
Kozure Ôkami: Sanzu no kawa no ubaguruma,7.9,
Ko,7.9,"$326,238"
Lyubov i golubi,7.9,
Anvil: The Story of Anvil,7.9,"$951,380"
Mera Naam Joker,7.9,
Ayitha Ezhuthu,7.9,
Bingo: O Rei das Manhãs,7.9,"$899,782"
The Devil and Daniel Johnston,7.9,"$432,339"
Shams Al-Ma'arif,7.9,"$12,005"
Happy Days,7.9,
The Big Parade,7.9,
Five Broken Cameras,7.9,"$146,475"
Jalsaghar,7.9,"$3,247"
Él,7.9,
Vishwaroopam,7.9,"$791,040"
Tina,7.9,"$99,648"
Karthikeya 2,7.9,"$2,440,029"
Madras,7.9,
Munje!,7.9,"$1,833"
Mumbai Police,7.9,
The Class,7.9,"$7,205"
Hazaaron Khwaishein Aisi,7.9,
Velaiilla Pattadhari,7.9,"$57,262"
Pizza,7.9,
TT3D: Closer to the Edge,7.9,"$3,034,200"
Ankhon Dekhi,7.9,"$151,226"
Hamoun,7.9,
Vettaiyaadu Vilaiyaadu,7.9,"$7,888"
Earth,7.9,"$108,976,456"
Otona no miru ehon - Umarete wa mita keredo,7.9,
Vabank,7.9,
Die Nibelungen: Kriemhilds Rache,7.9,
Microcosmos : le peuple de l'herbe,7.9,"$1,433,210"
Dor,7.9,"$517,575"
Bill Cunningham New York,7.9,"$2,007,978"
Kushi,7.9,
The House I Live In,7.9,"$219,159"
Angamaly Diaries,7.9,"$661,915"
Pappa ante Portas,7.9,
Svetat e golyam i spasenie debne otvsyakade,7.9,"$291,275"
Devrim Arabalari,7.9,"$1,100,299"
Border,7.9,
Friends,7.9,
Manam,7.9,"$28,369"
Tito i ja,7.9,
The Class of '92,7.9,"$50,410"
Kick,7.9,
Salak Milyoner,7.9,
BTS Permission to Dance on Stage - Seoul: Live Viewing,7.9,"$32,600,000"
Sharkwater,7.9,"$1,658,393"
The Batman,7.8,"$772,319,315"
The Day of the Jackal,7.8,
Poor Things,7.8,"$117,625,455"
The Gentlemen,7.8,"$115,175,729"
Atonement,7.8,"$129,266,061"
Tombstone,7.8,"$56,505,065"
Hidden Figures,7.8,"$235,957,472"
Pride & Prejudice,7.8,"$121,616,555"
The Notebook,7.8,"$118,537,193"
Little Women,7.8,"$218,843,645"
Get Out,7.8,"$255,751,443"
Everything Everywhere All at Once,7.8,"$143,412,671"
American Gangster,7.8,"$269,755,430"
The Hateful Eight,7.8,"$161,217,616"
The Hobbit: An Unexpected Journey,7.8,"$1,017,107,150"
How to Train Your Dragon 2,7.8,"$621,537,519"
Training Day,7.8,"$104,876,233"
Paddington 2,7.8,"$283,699,493"
The Irishman,7.8,"$968,853"
Skyfall,7.8,"$1,108,594,137"
Past Lives,7.8,"$42,536,130"
About Time,7.8,"$87,100,748"
Drive,7.8,"$79,747,261"
Ghostbusters,7.8,"$296,578,797"
The Social Network,7.8,"$224,927,749"
Apocalypto,7.8,"$120,654,337"
All Quiet on the Western Front,7.8,
The Big Short,7.8,"$133,440,870"
The Girl with the Dragon Tattoo,7.8,"$232,617,430"
The Fall,7.8,"$3,983,981"
Call Me by Your Name,7.8,"$43,368,603"
Dunkirk,7.8,"$530,432,122"
The Breakfast Club,7.8,"$51,525,171"
Rogue One,7.8,"$1,058,684,742"
The Hobbit: The Desolation of Smaug,7.8,"$959,079,095"
The Bourne Identity,7.8,"$214,034,224"
Manchester by the Sea,7.8,"$78,988,148"
Hot Fuzz,7.8,"$80,581,021"
Coraline,7.8,"$185,860,104"
The Curious Case of Benjamin Button,7.8,"$335,802,786"
Predator,7.8,"$98,268,458"
Ferris Bueller's Day Off,7.8,"$70,738,901"
Society of the Snow,7.8,"$1,281"
Remember the Titans,7.8,"$136,771,683"
Nightcrawler,7.8,"$47,425,835"
Star Wars: The Force Awakens,7.8,"$2,071,310,218"
Puss in Boots: The Last Wish,7.8,"$481,757,663"
Nosferatu,7.8,"$45,595"
The Sandlot,7.8,"$34,348,443"
Seven Days in May,7.8,
Captain America: Civil War,7.8,"$1,155,046,416"
Willy Wonka & the Chocolate Factory,7.8,"$670,213"
A Bronx Tale,7.8,"$17,287,898"
Mary Poppins,7.8,"$103,125,597"
Little Miss Sunshine,7.8,"$101,059,571"
Back to the Future Part II,7.8,"$332,500,002"
Rise Roar Revolt,7.8,"$166,602,994"
The Fugitive,7.8,"$368,875,760"
Misery,7.8,"$61,277,597"
The Last Samurai,7.8,"$454,627,263"
Cast Away,7.8,"$429,632,142"
The Man from Earth,7.8,
Glory,7.8,"$26,979,166"
Baymax,7.8,"$657,870,525"
Ang-ma-reul Bo-at-da,7.8,"$12,966,357"
Monster,7.8,"$20,564,964"
The Muppet Christmas Carol,7.8,"$33,274,029"
The Untouchables,7.8,"$76,272,360"
Captain Fantastic,7.8,"$23,149,206"
Moon,7.8,"$9,760,107"
Boyz N the Hood,7.8,"$57,532,703"
Straight Outta Compton,7.8,"$201,634,991"
Midnight Cowboy,7.8,"$44,802,577"
Låt den rätte komma in,7.8,"$11,227,336"
Moonrise Kingdom,7.8,"$68,265,576"
Captain Phillips,7.8,"$218,791,811"
The Insider,7.8,"$60,289,912"
Brazil,7.8,"$9,949,953"
Serenity,7.8,"$40,445,129"
Walk the Line,7.8,"$186,797,986"
The Fighter,7.8,"$129,190,869"
Awakenings,7.8,"$52,096,475"
Breaking the Waves,7.8,"$3,831,182"
Mississippi Burning,7.8,"$34,603,943"
Män som hatar kvinnor,7.8,"$104,414,200"
Close,7.8,"$5,216,044"
Hunt for the Wilderpeople,7.8,"$38,560,308"
Aavesham,7.8,"$3,694,257"
Gaslight,7.8,"$2,391"
Lilja 4-ever,7.8,"$1,007,747"
The King of Comedy,7.8,"$2,537,298"
Cabaret,7.8,"$77,612"
All That Jazz,7.8,"$37,824,824"
The Searchers,7.8,"$1,071"
Thirteen Lives,7.8,
Charade,7.8,"$175,119"
Majo No Takkyûbin,7.8,"$10,403,278"
Isle of Dogs,7.8,"$64,659,098"
Trois Couleurs: Bleu,7.8,"$1,518,216"
Night of the Living Dead,7.8,"$237,994"
Dawn of the Dead,7.8,"$159,822"
Kramer vs. Kramer,7.8,"$106,260,000"
The World's Fastest Indian,7.8,"$18,302,013"
The Killing Fields,7.8,"$34,700,291"
The Remains of the Day,7.8,"$23,240,144"
Bramayugam,7.8,"$1,388,375"
The Outlaw: Josey Wales,7.8,"$31,800,000"
La Migliore Offerta,7.8,"$20,919,703"
Birdman of Alcatraz,7.8,
October Sky,7.8,"$34,698,753"
Ed Wood,7.8,"$5,888,045"
Kaze Tachinu,7.8,"$136,865,366"
The Artist,7.8,"$133,471,171"
Frankenstein,7.8,"$1,626"
Un prophète,7.8,"$17,874,044"
The Right Stuff,7.8,"$21,192,315"
Freaks,7.8,"$4,072"
Letters from Iwo Jima,7.8,"$68,673,228"
Jujutsu Kaisen 0: The Movie,7.8,"$166,760,828"
Chugyeogja,7.8,"$36,496,231"
My Left Foot: The Story of Christy Brown,7.8,"$14,743,391"
Hanu Man,7.8,"$775,578"
Loving Vincent,7.8,"$42,187,665"
Stagecoach,7.8,
You Can't Take It with You,7.8,
Manhattan,7.8,"$40,194,067"
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,7.8,"$46,408"
Mimi wo sumaseba,7.8,"$4,420,615"
Hannah and Her Sisters,7.8,"$40,084,041"
Ninotchka,7.8,"$2,477"
Grizzly Man,7.8,"$4,064,694"
East of Eden,7.8,"$28,344"
The Bride of Frankenstein,7.8,"$11,533"
Batman: Mask of the Phantasm,7.8,"$5,863,139"
Todo Sobre Mi Madre,7.8,"$67,957,990"
The Philadelphia Story,7.8,"$413,654"
Pride,7.8,"$19,014,619"
Das weiße Band - Eine deutsche Kindergeschichte,7.8,"$19,353,588"
Tokyo Godfathers,7.8,"$459,203"
Once,7.8,"$20,939,022"
Veer Zara,7.8,"$6,698,673"
To Have and Have Not,7.8,"$12,459"
The Chorus,7.8,"$88,385,944"
"Aguirre, the Wrath of God",7.8,"$37,732"
Shadow of a Doubt,7.8,$875
Article 370,7.8,"$13,222,021"
"They Shoot Horses, Don't They?",7.8,
Les parapluies de Cherbourg,7.8,"$104,081"
Jûbê Ninpûchô,7.8,"$1,073"
Premalu,7.8,"$2,342,985"
Guess Who's Coming to Dinner,7.8,"$56,666,797"
"I, Daniel Blake",7.8,"$15,697,699"
Playtime,7.8,"$66,492"
The Servant,7.8,"$75,720"
His Girl Friday,7.8,
Baby You Have This,7.8,"$11,665"
The Lunchbox,7.8,"$11,621,785"
Soshite chichi ni naru,7.8,"$37,170,163"
The Asphalt Jungle,7.8,"$29,868"
Babettes gæstebud,7.8,"$4,637,920"
Under Sandet,7.8,"$3,169,553"
Amy,7.8,"$23,706,386"
Johnny Got His Gun,7.8,"$2,735"
