Country Name,2016,2015,2014
Cayman Islands,"62,564","61,721","60,848"
Botswana,"21,59,925","21,20,716","20,88,619"
Bosnia,"33,86,263","34,29,362","34,82,106"
Indonesia,"26,15,56,386","25,83,83,257","25,51,28,076"
India,"1,32,45,17,250","1,31,01,52,392","1,29,56,00,768"
Sao Tome And Principe,"2,03,221","1,99,439","1,95,727"
Netherlands,"1,70,30,314","1,69,39,923","1,68,65,008"
China,"1,37,86,65,000","1,37,12,20,000","1,36,42,70,000"
Turks And Caicos Islands,"36,558","35,979","35,371"
Portugal,"1,03,25,452","1,03,58,076","1,04,01,062"
Nepal,"2,72,63,430","2,70,15,033","2,69,05,982"
"Congo, Rep.","49,80,996","48,56,093","47,36,965"
Qatar,"26,54,379","25,65,708","24,59,202"
Morocco,"3,51,26,274","3,46,63,608","3,41,92,358"
Namibia,"23,58,044","23,14,901","22,73,426"
Lao PDR,"68,45,848","67,41,160","66,39,763"
Jamaica,"29,06,242","28,91,024","28,75,137"
Virgin Islands (U.S.),"1,07,516","1,07,712","1,07,882"
Central African Republic,"45,37,683","44,93,171","44,64,171"
Bhutan,"7,36,706","7,27,885","7,19,053"
Uzbekistan,"3,18,47,900","3,12,98,900","3,07,57,700"
Micronesia,"1,10,215","1,08,886","1,07,444"
Cabo Verde,"5,31,140","5,24,740","5,18,276"
Guyana,"7,71,363","7,67,433","7,63,371"
American Samoa,"55,739","55,806","55,791"
Egypt,"9,44,47,071","9,24,42,549","9,04,24,668"
Yemen,"2,71,68,210","2,64,97,881","2,58,23,488"
United States,"32,30,71,755","32,07,38,994","31,83,86,329"
Faroe Islands,"48,173","48,055","47,965"
Iran,"7,95,63,991","7,84,92,208","7,74,65,769"
"Congo, Dem. Rep.","7,87,89,130","7,62,44,532","7,37,67,445"
Moldova,"28,02,170","28,34,530","28,56,950"
Germany,"8,23,48,669","8,16,86,611","8,09,82,500"
El Salvador,"63,56,137","63,25,121","62,95,124"
Latvia,"19,59,537","19,77,527","19,93,782"
Malaysia,"3,06,84,652","3,02,70,965","2,98,66,606"
Peru,"3,09,26,036","3,04,70,739","3,00,90,372"
Cameroon,"2,39,26,549","2,32,98,376","2,26,81,853"
Estonia,"13,15,790","13,15,407","13,14,545"
Ireland,"47,55,335","47,01,957","46,57,740"
Papua New Guinea,"82,71,766","81,07,772","79,46,733"
Luxembourg,"5,82,014","5,69,604","5,56,319"
Hong Kong,"73,36,600","72,91,300","72,29,500"
San Marino,"33,503","33,270","32,941"
Colombia,"4,81,75,048","4,75,20,667","4,69,67,706"
Tajikistan,"86,63,575","84,54,019","82,52,828"
Senegal,"1,49,93,514","1,45,78,450","1,41,74,740"
Turkey,"7,98,27,868","7,85,29,413","7,72,29,262"
Hungary,"98,14,023","98,43,028","98,66,468"
Antigua And Barbuda,"94,520","93,571","92,562"
Kosovo,"17,77,557","17,88,196","18,12,771"
Lesotho,"20,75,041","20,59,011","20,43,448"
Kiribati,"1,12,529","1,10,927","1,09,387"
Slovak Republic,"54,30,798","54,23,801","54,18,649"
Liechtenstein,"37,655","37,465","37,219"
Uganda,"3,96,49,173","3,82,25,447","3,69,11,530"
Grenada,"1,10,263","1,09,603","1,08,900"
Sudan,"3,98,47,433","3,89,02,948","3,79,77,657"
Bahamas,"3,77,923","3,74,200","3,70,625"
Equatorial Guinea,"12,15,181","11,68,575","11,22,273"
Cuba,"1,13,35,108","1,13,24,777","1,13,06,909"
Tonga,"1,01,143","1,00,780","1,01,023"
Macao,"6,12,824","6,02,093","5,90,210"
Paraguay,"67,77,878","66,88,746","65,99,524"
Sri Lanka,"2,12,03,000","2,09,70,000","2,07,78,000"
Monaco,"38,070","37,723","37,320"
St. Kitts And Nevis,"51,629","51,204","50,776"
Kazakhstan,"1,77,94,055","1,75,42,806","1,72,88,285"
Mauritius,"12,63,473","12,62,605","12,60,934"
Eswatini,"11,13,994","11,04,038","10,95,022"
Sierra Leone,"73,28,846","71,71,909","70,17,153"
North Korea,"2,53,07,665","2,51,83,832","2,50,57,793"
Curacao,"1,59,664","1,57,980","1,55,909"
Mauritania,"41,63,532","40,46,304","39,30,894"
Maldives,"4,75,505","4,54,914","4,35,018"
Greece,"1,07,75,971","1,08,20,883","1,08,92,413"
Suriname,"5,64,883","5,59,136","5,53,278"
Italy,"6,06,27,498","6,07,30,582","6,07,89,140"
Aruba,"1,04,865","1,04,339","1,03,776"
Poland,"3,79,70,087","3,79,86,412","3,80,11,735"
Mali,"1,79,65,448","1,74,38,772","1,69,34,213"
Malawi,"1,72,05,253","1,67,45,305","1,62,89,550"
Belarus,"95,01,534","94,89,616","94,74,511"
Mongolia,"30,56,358","29,98,433","29,40,111"
Uruguay,"34,24,139","34,12,013","34,00,439"
Gabon,"20,07,882","19,47,690","18,83,801"
Fiji,"8,72,406","8,68,632","8,66,447"
Canada,"3,61,09,487","3,57,02,908","3,54,37,435"
Dominica,"71,307","71,175","71,091"
Syrian Arab Republic,"1,74,65,567","1,79,97,411","1,87,10,711"
Czech Republic,"1,05,66,332","1,05,46,059","1,05,25,347"
Brunei,"4,19,791","4,14,914","4,09,778"
Algeria,"4,05,51,398","3,97,28,020","3,89,23,688"
Cyprus,"11,70,189","11,60,987","11,52,297"
Tuvalu,"11,232","11,099","10,973"
Kenya,"4,90,51,531","4,78,78,339","4,67,00,063"
Greenland,"56,186","56,114","56,295"
Guatemala,"1,58,27,690","1,55,67,419","1,53,06,316"
French Polynesia,"2,74,576","2,73,119","2,71,713"
Bolivia,"1,10,31,822","1,08,69,732","1,07,06,517"
