id,rank,date,artist,song,last_week,weeks_on_chart,peak_rank
640788,31,2010-03-13,Taylor Swift,Today Was A Fairytale,24.0,6,2
578716,89,1972-02-19,Dennis Coffey & The Detroit Guitar Band,Taurus,,1,89
1034467,87,2017-10-07,Selena Gomez Featuring Gucci Mane,Fetish,74.0,11,27
578606,84,1977-07-02,Walter Egan,Only The Lucky,89.0,4,84
22859,20,1986-01-11,Miami Sound Machine,Conga,21.0,13,20
570525,63,1965-07-03,Dean Martin,(Remember Me) I'm The One Who Loves You,36.0,7,32
571881,98,1973-02-10,The Raiders,Love Music,100.0,2,98
578398,11,1975-11-08,People's Choice,Do It Any Way You Wanna,12.0,12,11
580178,81,1972-04-29,Steve Alaimo,Amerikan Music,,1,81
656268,78,2010-07-24,Eminem Featuring Lil Wayne,No Love,67.0,3,23
492518,23,2006-12-23,Chris Brown,Say Goodbye,17.0,18,10
598440,31,2009-06-06,The Fray,You Found Me,25.0,27,7
332743,94,1986-09-27,Kenny Loggins,Danger Zone,79.0,21,2
721506,62,2012-06-16,Drake Featuring Lil Wayne,HYFR (Hell Ya F*****g Right),63.0,13,62
397016,16,2001-05-19,R. Kelly Featuring Jay-Z,Fiesta,22.0,8,16
17315,59,1993-04-24,Duran Duran,Come Undone,86.0,2,59
