Country_Region,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Latitude,Longtitude,Mean_Age,Lockdown_Date,Lockdown_Type,Country_Code
Romania,19466145,11720000,2020-03-23,2020-02-27,45.943161,24.96676,41.3,2020-03-25,Full,ROU
Laos,7062000,14000,,2020-03-25,19.85627,102.495496,37.0,2020-03-29,Full,LAO
Western Sahara,500000,14000,,2020-04-06,24.215527,-12.885834,26.8,2020-03-20,Full,ESH
Tunisia,11565204,8299000,2020-03-20,2020-03-05,33.886917,9.537499,31.1,2020-03-20,Full,TUN
Namibia,2448255,14000,,2020-03-15,-22.95764,18.49041,21.0,2020-03-14,Full,NAM
Central African Republic,4666377,14000,,2020-03-16,6.611111,20.939444,17.8,,,CAF
"Korea, South",51606633,15347000,2020-02-21,2020-01-23,35.9078,127.7669,37.0,,,KOR
Burundi,11175378,14000,2020-04-14,2020-04-01,-3.373056,29.918886,17.6,,,BDI
Spain,46796540,82773000,2020-03-04,2020-02-02,40.463667,-3.74922,43.2,2020-03-14,Full,ESP
Estonia,1321977,3234000,2020-03-26,2020-02-28,58.595272,25.013607,41.6,2020-03-13,Full,EST
Thailand,69428524,38178000,2020-03-02,2020-01-23,15.870032,100.992541,37.8,2020-03-22,Partial,THA
Equatorial Guinea,1308974,14000,2020-04-23,2020-03-16,1.6508009999999995,10.267895,22.2,2020-03-22,Full,GNQ
Portugal,10283822,16186000,2020-03-18,2020-03-03,39.399872,-8.224454,43.9,2020-03-18,Full,PRT
Cameroon,25216237,14000,2020-03-26,2020-03-07,7.369722,12.354722,18.3,,,CMR
Libya,6678567,14000,2020-04-03,2020-03-25,26.3351,17.228331,27.2,2020-03-22,Full,LBY
Morocco,36029138,12289000,2020-03-11,2020-03-03,31.791702,-7.09262,27.9,2020-03-16,Full,MAR
Sudan,41801533,836000,2020-03-14,2020-03-14,12.862807,30.217636,18.9,2020-03-24,Partial,SDN
Bosnia and Herzegovina,3323929,1053000,2020-03-22,2020-03-06,43.915886,17.679076000000006,41.0,2020-03-11,Full,BIH
Grenada,111454,185000,,2020-03-23,12.262776,-61.604171,27.2,2020-03-25,Full,GRD
Ireland,4867309,10926000,2020-03-12,2020-03-01,53.41291,-8.243889999999999,36.9,2020-03-12,Full,IRL
Slovakia,5450000,14000,2020-03-19,2020-03-07,48.669026,19.699024,39.2,2020-03-09,Full,SVK
Germany,82905782,38881000,2020-03-10,2020-01-28,51.165691,10.451526,45.9,2020-03-20,Full,DEU
West Bank and Gaza,4569087,606000,2020-03-27,2020-03-06,31.9466,35.3027,37.0,2020-04-09,Full,PSE
Madagascar,26262368,291000,,2020-03-21,-18.766947,46.869107,18.7,2020-03-23,Partial,MDG
Azerbaijan,9939800,2633000,2020-03-14,2020-03-02,40.143105,47.57692700000001,30.3,2020-03-02,Full,AZE
Belize,383071,489000,2020-04-07,2020-03-24,17.189877,-88.49765,23.5,2020-04-16,Full,BLZ
Luxembourg,607950,1018000,2020-03-15,2020-03-01,49.815273,6.129583,39.3,2020-03-16,Full,LUX
Togo,7889094,573000,2020-03-28,2020-03-07,8.619543,0.824782,18.9,2020-03-20,Partial,TGO
Nicaragua,6465513,1256000,2020-03-28,2020-03-20,12.865416,-85.207229,25.2,,,NIC
Montenegro,622227,2077000,2020-03-24,2020-03-18,42.708678000000006,19.37439,37.7,2020-03-24,Full,MNE
Ghana,29767108,14000,2020-03-22,2020-03-15,7.9465270000000015,-1.0231940000000002,20.4,2020-03-15,Full,GHA
Australia,24982688,9246000,2020-03-02,2020-01-26,-25.274398,133.775136,37.4,2020-03-25,Partial,AUS
Saudi Arabia,33699947,15334000,2020-03-25,2020-03-03,23.885942,45.079162,29.8,2020-03-15,Full,SAU
Haiti,11123176,447000,2020-04-06,2020-03-21,18.971187,-72.28521500000002,23.0,,,HTI
Congo (Brazzaville),5244363,156000,2020-04-03,2020-03-16,-4.521666000000001,21.964255,37.0,2020-03-28,Partial,COG
Ethiopia,109224559,849000,2020-04-06,2020-03-14,9.145,40.489673,18.6,2020-03-16,Full,ETH
Kenya,51393010,14000,2020-03-27,2020-03-14,-0.023559,37.906193,19.0,2020-03-15,Full,KEN
Canada,37057765,21134000,2020-03-10,2020-01-27,56.130366,-106.346771,40.5,2020-03-16,Partial,CAN
Kosovo,1845300,14000,2020-03-27,2020-03-27,42.602636,20.902977,37.0,2020-03-25,Partial,RKS
Russia,144478050,24551000,2020-03-20,2020-02-01,61.52401,105.318756,38.7,2020-03-27,Full,RUS
North Macedonia,2082958,707000,2020-03-23,2020-02-27,41.6086,21.7453,37.0,2020-03-18,Full,MKD
Nepal,28087871,1173000,,2020-01-26,28.394857,84.12400799999998,23.2,2020-03-24,Full,NPL
Serbia,6982604,1711000,2020-03-21,2020-03-07,44.016521,21.005859,40.0,2020-03-15,Full,SRB
