Season,Date,Team 1,Score 1,Team 2,Score 2,Venue
Season 1,"February 02, 2024",Gujarat Giants,30,Haryana Steelers,34,"Thyagaraj Indoor Stadium, Delhi"
Season 1,"February 03, 2024",U.P. Yoddhas,39,U Mumba,23,"Thyagaraj Indoor Stadium, Delhi"
Season 1,"February 03, 2024",Dabang Delhi K.C.,44,Telugu Titans,33,"Thyagaraj Indoor Stadium, Delhi"
Season 1,"February 04, 2024",Bengaluru Bulls,42,U Mumba,37,"Thyagaraj Indoor Stadium, Delhi"
Season 1,"February 04, 2024",Gujarat Giants,42,Tamil Thalaivas,30,"Thyagaraj Indoor Stadium, Delhi"
Season 1,"February 05, 2024",Jaipur Pink Panthers,33,Patna Pirates,36,"Thyagaraj Indoor Stadium, Delhi"
Season 1,"February 05, 2024",Dabang Delhi K.C.,30,Puneri Paltan,30,"Thyagaraj Indoor Stadium, Delhi"
Season 1,"February 06, 2024",Tamil Thalaivas,32,U.P. Yoddhas,25,"Thyagaraj Indoor Stadium, Delhi"
Season 1,"February 07, 2024",Bengaluru Bulls,31,Puneri Paltan,40,"Thyagaraj Indoor Stadium, Delhi"
Season 1,"February 07, 2024",Dabang Delhi K.C.,22,Jaipur Pink Panthers,27,"Thyagaraj Indoor Stadium, Delhi"
Season 1,"February 09, 2024",Bengal Warriors,32,Gujarat Giants,41,"Netaji Indoor Stadium, Kolkata"
Season 1,"February 09, 2024",Haryana Steelers,50,U.P. Yoddhas,34,"Netaji Indoor Stadium, Kolkata"
Season 1,"February 10, 2024",Patna Pirates,44,U Mumba,23,"Netaji Indoor Stadium, Kolkata"
Season 1,"February 10, 2024",Bengal Warriors,55,Telugu Titans,35,"Netaji Indoor Stadium, Kolkata"
Season 1,"February 11, 2024",Tamil Thalaivas,29,Puneri Paltan,56,"Netaji Indoor Stadium, Kolkata"
Season 1,"February 11, 2024",Bengaluru Bulls,28,Gujarat Giants,50,"Netaji Indoor Stadium, Kolkata"
Season 1,"February 12, 2024",U.P. Yoddhas,30,Jaipur Pink Panthers,67,"Netaji Indoor Stadium, Kolkata"
Season 1,"February 12, 2024",Bengal Warriors,46,U Mumba,34,"Netaji Indoor Stadium, Kolkata"
Season 1,"February 13, 2024",Patna Pirates,38,Telugu Titans,36,"Netaji Indoor Stadium, Kolkata"
Season 1,"February 14, 2024",Dabang Delhi K.C.,45,Tamil Thalaivas,43,"Netaji Indoor Stadium, Kolkata"
Season 1,"February 14, 2024",Bengal Warriors,26,Puneri Paltan,29,"Netaji Indoor Stadium, Kolkata"
Season 1,"February 16, 2024",Haryana Steelers,39,Patna Pirates,32,"Tau Devilal indoor stadium, Panchkula"
Season 1,"February 16, 2024",Telugu Titans,44,Jaipur Pink Panthers,51,"Tau Devilal indoor stadium, Panchkula"
Season 1,"February 17, 2024",Haryana Steelers,46,U Mumba,40,"Tau Devilal indoor stadium, Panchkula"
Season 1,"February 17, 2024",U.P. Yoddhas,29,Gujarat Giants,36,"Tau Devilal indoor stadium, Panchkula"
Season 1,"February 18, 2024",Tamil Thalaivas,74,Bengal Warriors,37,"Tau Devilal indoor stadium, Panchkula"
Season 1,"February 18, 2024",Dabang Delhi K.C.,46,Bengaluru Bulls,38,"Tau Devilal indoor stadium, Panchkula"
Season 1,"February 19, 2024",Gujarat Giants,36,Jaipur Pink Panthers,45,"Tau Devilal indoor stadium, Panchkula"
Season 1,"February 19, 2024",Haryana Steelers,36,Puneri Paltan,51,"Tau Devilal indoor stadium, Panchkula"
Season 1,"February 20, 2024",U Mumba,45,Telugu Titans,45,"Tau Devilal indoor stadium, Panchkula"
Season 1,"February 21, 2024",Puneri Paltan,40,U.P. Yoddhas,38,"Tau Devilal indoor stadium, Panchkula"
Season 1,"February 21, 2024",Haryana Steelers,39,Bengaluru Bulls,53,"Tau Devilal indoor stadium, Panchkula"
Season 1,"February 26, 2024",Dabang Delhi K.C.,35,Patna Pirates,37,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 1,"February 26, 2024",Gujarat Giants,25,Haryana Steelers,42,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 1,"February 28, 2024",Puneri Paltan,37,Patna Pirates,21,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 1,"February 28, 2024",Jaipur Pink Panthers,27,Haryana Steelers,31,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 1,"March 01, 2024",Puneri Paltan,28,Haryana Steelers,25,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
