Country Name,2018,2017,2016,2015,2014
Italy,"6,04,21,760","6,05,36,709","6,06,27,498","6,07,30,582","6,07,89,140"
Aruba,"1,05,846","1,05,361","1,04,865","1,04,339","1,03,776"
Poland,"3,79,74,750","3,79,74,826","3,79,70,087","3,79,86,412","3,80,11,735"
Mali,"1,90,77,755","1,85,12,429","1,79,65,448","1,74,38,772","1,69,34,213"
Malawi,"1,81,43,215","1,76,70,193","1,72,05,253","1,67,45,305","1,62,89,550"
Belarus,"94,83,499","94,98,264","95,01,534","94,89,616","94,74,511"
Mongolia,"31,70,214","31,13,788","30,56,358","29,98,433","29,40,111"
Uruguay,"34,49,290","34,36,645","34,24,139","34,12,013","34,00,439"
Gabon,"21,19,275","20,64,812","20,07,882","19,47,690","18,83,801"
Fiji,"8,83,490","8,77,460","8,72,406","8,68,632","8,66,447"
Canada,"3,70,65,178","3,65,45,295","3,61,09,487","3,57,02,908","3,54,37,435"
Dominica,"71,626","71,460","71,307","71,175","71,091"
Syrian Arab Republic,"1,69,45,062","1,70,95,669","1,74,65,567","1,79,97,411","1,87,10,711"
Czech Republic,"1,06,29,928","1,05,94,438","1,05,66,332","1,05,46,059","1,05,25,347"
Brunei,"4,28,960","4,24,481","4,19,791","4,14,914","4,09,778"
Algeria,"4,22,28,415","4,13,89,174","4,05,51,398","3,97,28,020","3,89,23,688"
Cyprus,"11,89,262","11,79,685","11,70,189","11,60,987","11,52,297"
Tuvalu,"11,505","11,365","11,232","11,099","10,973"
Kenya,"5,13,92,570","5,02,21,146","4,90,51,531","4,78,78,339","4,67,00,063"
Greenland,"56,023","56,172","56,186","56,114","56,295"
Guatemala,"1,63,46,950","1,60,87,418","1,58,27,690","1,55,67,419","1,53,06,316"
French Polynesia,"2,77,673","2,76,108","2,74,576","2,73,119","2,71,713"
Bolivia,"1,13,53,140","1,11,92,853","1,10,31,822","1,08,69,732","1,07,06,517"
