"game_id","first","time_control_name","game_end_reason","winner","created_at","last_update","type","game_request.lexicon","game_request.initial_time_seconds","game_request.increment_seconds","game_request.challenge_rule","game_request.game_mode","game_request.rating_mode","game_request.max_overtime_minutes","game_request.player_vs_bot","game_request.bot_type","game_request.rules.board_layout_name","game_request.rules.letter_distribution_name","game_request.rules.variant_name"
"cKKEW6i8","Reklaw","regular","STANDARD",0,"2024-04-13T11:54:58.372930Z","2024-04-13T12:13:11.080941Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",5,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"PsJUBjvJ","oldwoman","regular","STANDARD",0,"2024-04-13T11:54:54.838231Z","2024-04-13T12:13:07.345550Z","NATIVE","RD28",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"Ns2fU3r6","WurdyNurdyGurdy","regular","TIME",1,"2024-04-13T11:53:44.228196Z","2024-04-13T12:14:46.497782Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"W4a82cpz","Cappellusman","regular","STANDARD",1,"2024-04-13T11:44:35.633543Z","2024-04-13T11:54:23.168325Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"DWA4Gc8a","BasicBot","regular","STANDARD",1,"2024-04-13T11:41:34.895186Z","2024-04-13T11:54:46.319420Z","NATIVE","RD28",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"QreTYgHC","Milton2001","rapid","TIME",1,"2024-04-13T11:37:42.428204Z","2024-04-13T11:48:49.655306Z","NATIVE","CSW21",600,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"PNGysqqq","BasicBot","regular","STANDARD",0,"2024-04-13T11:32:52.434088Z","2024-04-13T11:44:23.394881Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"bcjUFnD3","BasicBot","blitz","TIME",0,"2024-04-13T11:31:33.813182Z","2024-04-13T11:37:39.649900Z","NATIVE","CSW21",300,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"k4WJsiLb","MEHAAN","regular","STANDARD",0,"2024-04-13T11:28:52.090148Z","2024-04-13T11:33:47.278057Z","NATIVE","CSW21",3600,0,"VOID","REAL_TIME","RATED",10,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english","classic"
"XZdK8fZH","cookietime","regular","STANDARD",0,"2024-04-13T11:28:29.492685Z","2024-04-13T11:36:30.849595Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"HzSs9pR2","BasicBot","regular","STANDARD",1,"2024-04-13T11:28:15.710747Z","2024-04-13T11:42:13.754971Z","NATIVE","NWL23",1500,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"m5BuHKVB","BasicBot","rapid","STANDARD",0,"2024-04-13T11:22:37.757982Z","2024-04-13T11:28:18.759959Z","NATIVE","CSW21",600,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"hGGoXGsS","CHAMINDA","regular","TIME",1,"2024-04-13T11:22:37.056608Z","2024-04-13T11:42:39.642008Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",0,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"KkKgK692","taolnwza008","regular","TIME",1,"2024-04-13T11:20:07.947606Z","2024-04-13T11:44:19.661050Z","NATIVE","CSW21",1380,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"h69c5xuA","BasicBot","regular","STANDARD",1,"2024-04-13T11:19:01.256054Z","2024-04-13T11:28:07.289096Z","NATIVE","CSW21",3600,0,"VOID","REAL_TIME","RATED",10,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english","classic"
"jZZfa6fJ","Milton2001","rapid","STANDARD",0,"2024-04-13T11:16:39.791463Z","2024-04-13T11:21:49.231042Z","NATIVE","CSW21",600,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"FLYjjaDZ","BasicBot","regular","STANDARD",0,"2024-04-13T11:16:32.729438Z","2024-04-13T11:25:40.367540Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"3uMup3qo","Cappellusman","regular","CONSECUTIVE_ZEROES",1,"2024-04-13T11:13:56.786193Z","2024-04-13T11:28:15.950908Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"Zu2jTRWF","BasicBot","regular","STANDARD",1,"2024-04-13T11:12:35.586429Z","2024-04-13T11:20:03.139031Z","NATIVE","CSW21",1380,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"ggwyUkuz","BasicBot","rapid","STANDARD",0,"2024-04-13T11:08:30.606051Z","2024-04-13T11:14:49.097430Z","NATIVE","CSW21",600,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"4J3UbKVb","taolnwza008","regular","STANDARD",0,"2024-04-13T11:04:29.228684Z","2024-04-13T11:12:33.013541Z","NATIVE","CSW21",1380,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"D3Xam29Y","cookietime","regular","STANDARD",1,"2024-04-13T11:04:15.092190Z","2024-04-13T11:15:16.046705Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"78YtZasg","BasicBot","regular","TIME",0,"2024-04-13T11:03:04.036346Z","2024-04-13T12:04:09.620133Z","NATIVE","CSW21",3600,0,"FIVE_POINT","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"cZ3QMich","Milton2001","rapid","STANDARD",0,"2024-04-13T11:02:02.069229Z","2024-04-13T11:08:26.379255Z","NATIVE","CSW21",600,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"prVvkbD2","BasicBot","regular","STANDARD",0,"2024-04-13T10:56:11.980144Z","2024-04-13T11:10:01.820061Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"33KNRHrA","BasicBot","regular","STANDARD",1,"2024-04-13T10:54:34.091769Z","2024-04-13T11:04:25.015421Z","NATIVE","CSW21",1380,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"47GpJgZV","kxnmunch","regular","STANDARD",1,"2024-04-13T10:46:13.701190Z","2024-04-13T11:03:01.524460Z","NATIVE","CSW21",3600,0,"FIVE_POINT","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"44afNcnp","sahilgrover49","regular","TIME",1,"2024-04-13T10:44:01.134070Z","2024-04-13T11:11:09.616059Z","NATIVE","CSW21",1500,0,"VOID","REAL_TIME","CASUAL",2,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"fosa72H2","cookietime","rapid","TIME",1,"2024-04-13T10:42:14.880156Z","2024-04-13T10:56:17.357804Z","NATIVE","CSW21",780,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"KLiCRKLN","AnnisaCahaya17","rapid","STANDARD",0,"2024-04-13T10:37:27.842398Z","2024-04-13T10:46:16.825093Z","NATIVE","CSW21",600,0,"VOID","REAL_TIME","RATED",2,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"xFTU2fCG","eliza712","regular","TIME",1,"2024-04-13T10:33:28.966505Z","2024-04-13T11:08:39.658492Z","NATIVE","CSW21",1500,0,"FIVE_POINT","REAL_TIME","RATED",10,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"cpByf4PC","BasicBot","rapid","STANDARD",0,"2024-04-13T10:30:05.806253Z","2024-04-13T10:37:17.970155Z","NATIVE","CSW21",600,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
