title,genre,release_date
Midnight Cowboy,Drama,1969-05-25
The Dirt,"Drama,Music,History",2019-03-22
The Wave,"Drama,Thriller",2008-03-11
Blood Diamond,"Drama,Thriller,Action",2006-01-26
A Close Shave,"Family,Animation,Comedy",1995-04-10
Patton,"War,Drama,History",1970-01-25
Fireproof,"Drama,Romance",2008-09-26
Empire of the Sun,"Drama,History,War",1987-12-09
"Live Twice, Love Once","Comedy,Drama",2019-09-06
Avatar,"Action,Adventure,Fantasy,Science Fiction",2009-12-10
Barbie as The Princess & the Pauper,"Animation,Family,Comedy",2004-09-28
The Wrestler,"Drama,Romance",2008-09-07
The Outlaw Josey Wales,Western,1976-07-14
Lupin the Third: The Castle of Cagliostro,"Family,Animation,Adventure,Comedy,Crime",1979-12-15
Fear City: A Family-Style Comedy,Comedy,1994-03-09
The Insult,"Drama,Crime",2017-09-14
Still Alice,Drama,2014-12-05
The Revenant,"Western,Drama,Adventure",2015-12-25
This Is England,"Drama,Crime",2006-09-12
Happiness,"Comedy,Drama",1998-10-16
Dirty Harry,"Action,Crime,Thriller",1971-12-23
Ed Wood,"Comedy,Drama,History",1994-09-27
Ciao Alberto,"Animation,Comedy,Family,Fantasy",2021-11-12
Mr & Mme Adelman,"Romance,Drama,Comedy",2017-03-08
Incredibles 2,"Action,Adventure,Animation,Family",2018-06-14
The Fifth Element,"Adventure,Fantasy,Action,Thriller,Science Fiction",1997-05-02
Au Revoir les Enfants,"Drama,War",1987-10-07
Miller's Crossing,"Drama,Thriller,Crime",1990-09-21
Pandora,"Thriller,Drama,Action",2016-12-07
The Seventh Continent,Drama,1989-10-20
Eat Drink Man Woman,"Comedy,Drama,Romance",1994-01-28
The Train,"Thriller,War,Action",1964-09-24
E.T. the Extra-Terrestrial,"Science Fiction,Adventure,Family,Fantasy",1982-06-11
Doctor Strange in the Multiverse of Madness,"Fantasy,Action,Adventure",2022-05-04
Boyhood,Drama,2014-06-05
For the Birds,"Animation,Family,Comedy",2000-11-02
Invasion of the Body Snatchers,"Horror,Science Fiction",1956-02-05
My Darling Clementine,Western,1946-10-17
Upgrade,"Action,Thriller,Science Fiction",2018-05-31
Hercules,"Animation,Family,Fantasy,Adventure,Comedy,Romance",1997-06-20
Lilo & Stitch,"Animation,Family",2002-06-21
Pierrot le Fou,"Drama,Thriller",1965-08-29
Blade Runner 2049,"Science Fiction,Drama",2017-10-04
Zorba the Greek,Drama,1964-12-14
The Vanishing,Thriller,1988-10-27
A Boy Called Christmas,"Family,Adventure,Fantasy",2021-11-25
The Man Who Would Be King,"Adventure,Drama",1975-12-03
Justice League: War,"Animation,Action",2014-02-02
Cold Eyes,"Crime,Action,Thriller",2013-07-03
Courageous,Drama,2011-09-30
Zodiac,"Crime,Drama,Mystery,Thriller",2007-03-02
Bonnie and Clyde,"Crime,Drama",1967-07-18
Fury,"War,Drama,Action",2014-10-15
One Piece Film: Z,"Action,Adventure,Animation",2012-12-15
Kal Ho Naa Ho,"Comedy,Drama",2003-11-27
Dawn of the Dead,Horror,1978-09-02
Turning Red,"Animation,Family,Comedy,Fantasy",2022-03-10
Minions: The Rise of Gru,"Family,Animation,Adventure,Comedy,Fantasy",2022-06-29
The Long Goodbye,"Crime,Mystery,Thriller,Comedy",1973-03-07
A Few Good Men,Drama,1992-12-11
Who Framed Roger Rabbit,"Fantasy,Animation,Comedy,Crime",1988-06-21
Walk the Line,"Drama,Music,Romance",2005-09-13
Breaking the Waves,"Drama,Romance",1996-05-13
Shottas,"Action,Adventure,Crime,Drama",2002-02-27
Deadpool 2,"Action,Comedy,Adventure",2018-05-10
The Crow,"Fantasy,Action,Thriller",1994-05-11
Spider-Man: Far From Home,"Action,Adventure,Science Fiction",2019-06-28
Human Capital,Drama,2014-01-09
The Gospel According to St. Matthew,"History,Drama",1965-03-03
The Woman in the Window,"Drama,Thriller,Mystery,Crime",1944-10-25
Iron Monkey,"Action,Crime,Drama",1993-09-03
Repulsion,"Drama,Thriller,Horror",1965-06-01
The Royal Tenenbaums,"Comedy,Drama",2001-10-05
Black Book,"Drama,Thriller,War",2006-09-14
Ordinary People,Drama,1980-09-19
Cold War,"Drama,Romance,War,Music",2018-06-08
Aquarius,Drama,2016-09-01
Phantom of the Paradise,"Comedy,Fantasy,Horror,Music,Thriller",1974-10-31
The Silence,"Drama,Romance",1963-09-23
The Sandlot,"Family,Comedy",1993-04-07
The Mauritanian,"Drama,Thriller",2021-02-10
Sonatine,"Action,Crime,Thriller",1993-04-10
Scarface,"Action,Crime,Drama,Thriller",1932-04-09
Paddington 2,"Adventure,Comedy,Family",2017-11-09
Zelig,Comedy,1983-07-15
Police Story,"Action,Crime,Thriller",1985-12-14
Maggie Simpson in Playdate with Destiny,"Animation,Comedy,Family,Romance",2020-02-29
Before Midnight,"Romance,Drama",2013-04-05
Then Came You,"Comedy,Drama",2019-02-01
The 36th Chamber of Shaolin,"Action,Adventure",1978-02-02
Lucky Number Slevin,"Drama,Thriller,Crime,Mystery",2006-02-24
Swept Away,"Romance,Drama,Comedy",1974-12-18
Imitation of Life,"Drama,Romance",1959-10-02
Volver,"Comedy,Drama,Romance",2006-03-17
A Night at the Opera,"Comedy,Music",1935-11-15
Delusions of Grandeur,"Comedy,History",1971-12-08
A Grand Day Out,"Animation,Comedy,Family",1990-05-18
The Fallout,Drama,2022-01-28
The Book Thief,Drama,2013-11-08
To Have and Have Not,"Adventure,Romance,War",1945-01-20
After Hours,"Comedy,Thriller,Drama",1985-09-13
Hamlet,Drama,1996-12-25
Why Don't You Play in Hell?,"Drama,Action,Comedy",2013-09-14
Patients,"Drama,Comedy",2017-03-01
The Adventures of Pinocchio,"Family,Drama",1972-12-21
Willy Wonka & the Chocolate Factory,"Family,Fantasy,Comedy",1971-06-29
You Can't Take It with You,"Comedy,Drama,Romance",1938-09-01
Corpse Bride,"Romance,Fantasy,Animation",2005-09-12
Berserk: The Golden Age Arc II - The Battle for Doldrey,"Action,Adventure,Drama,Fantasy,Animation",2012-06-23
mid90s,"Drama,Comedy",2018-10-19
Rogue One: A Star Wars Story,"Action,Adventure,Science Fiction",2016-12-14
Prison Break: The Final Break,"Action,Drama,Thriller",2009-05-24
Johnny Got His Gun,"War,Drama",1971-08-04
This Is Spinal Tap,"Music,Comedy",1984-05-04
Fearless,"Drama,Action",2006-01-26
South Park: Post COVID: The Return of COVID,"Animation,Comedy,TV Movie",2021-12-16
Last Night in Soho,"Thriller,Horror,Mystery",2021-10-21
Johnny Guitar,"Drama,Western,Romance",1954-05-26
Open Your Eyes,"Drama,Thriller,Science Fiction",1997-12-19
Peeping Tom,"Horror,Thriller,Drama",1960-05-16
Glory,"Drama,History,War",1989-12-15
The Great Silence,"Western,Action",1968-02-21
Sympathy for Mr. Vengeance,"Action,Drama,Thriller",2002-03-29
Irma la Douce,"Comedy,Romance",1963-06-05
Almost Famous,"Drama,Music",2000-09-15
Predator,"Science Fiction,Action,Adventure,Thriller",1987-06-12
18 Presents,"Drama,Fantasy",2020-01-02
Carol,"Romance,Drama",2015-11-20
Black Sunday,Horror,1960-08-12
Three Colors: White,"Comedy,Drama,Mystery",1994-01-26
The Last Letter From Your Lover,"Drama,Romance",2021-07-23
The Stronghold,"Thriller,Action,Crime",2021-08-18
That's Life,Comedy,1998-12-18
The Insider,"Drama,Thriller",1999-03-10
Through My Window,"Romance,Drama",2022-02-04
Mirage,"Thriller,Drama,Mystery,Fantasy",2018-11-30
Little Tickles,Drama,2018-11-14
The Flowers of War,"Drama,History,War",2011-12-15
Peaceful Warrior,Drama,2006-03-30
The Guernsey Literary & Potato Peel Pie Society,"Romance,Drama,History",2018-04-19
One Piece: Strong World,"Animation,Fantasy,Adventure",2009-12-12
Hour of the Wolf,"Drama,Horror",1968-02-19
Marty,"Drama,Romance",1955-04-11
Love & Basketball,"Action,Comedy,Drama,Romance",2000-04-21
The Death of Superman,"Science Fiction,Animation,Action,Drama",2018-08-28
Kung Fury,"Action,Comedy,Science Fiction,Fantasy",2015-05-22
Lifted,"Family,Animation,Science Fiction",2006-12-28
A Perfect World,"Crime,Drama,Thriller",1993-11-24
Uncle Frank,Drama,2020-11-25
In Safe Hands,Drama,2018-12-05
"Paul, Apostle of Christ","Drama,History",2018-03-23
Neon Genesis Evangelion: Death and Rebirth,"Drama,Science Fiction,Animation",1997-03-15
The Taking of Pelham One Two Three,"Crime,Action,Thriller",1974-10-02
Sense and Sensibility,"Drama,Romance",1995-12-13
Miss Sloane,"Thriller,Drama",2016-11-25
The Best of Me,"Drama,Romance",2014-10-15
The Magdalene Sisters,"Drama,History",2002-08-30
La Vie en Rose,"Music,Drama",2007-02-14
Star Trek II: The Wrath of Khan,"Action,Adventure,Science Fiction,Thriller",1982-06-04
Chemical Hearts,"Drama,Romance",2020-08-21
Spellbound,"Mystery,Thriller,Romance",1945-11-08
Letters from Iwo Jima,"Action,Drama,War",2006-12-19
The Big Blue,"Adventure,Drama,Romance",1988-05-10
The One and Only Ivan,"Family,Comedy,Drama",2020-08-21
Birdman or (The Unexpected Virtue of Ignorance),"Drama,Comedy",2014-10-17
3096 Days,Drama,2013-02-21
Red Desert,Drama,1964-09-04
The First Day of the Rest of Your Life,Drama,2008-07-23
About Elly,Drama,2009-06-06
Cell 211,"Action,Thriller,Drama",2009-11-06
True Grit,Western,1969-06-11
In Bruges,"Comedy,Drama,Crime",2008-02-08
Desert Flower,Drama,2009-09-24
The Adventures of Robin Hood,"Adventure,Action,Romance",1938-05-13
Shane,"Drama,Western",1953-04-23
Eyes Wide Shut,"Drama,Thriller,Mystery",1999-07-16
Barton Fink,"Comedy,Drama,Crime",1991-08-01
Dragon Ball Z: Bardock - The Father of Goku,"Animation,Action,Science Fiction,Drama,Fantasy",1990-10-17
Glory Road,"Drama,History",2006-01-13
Everything You Want,"Comedy,Drama",2017-05-11
No Time to Die,"Adventure,Action,Thriller",2021-09-29
The Farewell,"Comedy,Drama",2019-07-12
Spirit Untamed,"Animation,Adventure,Family,Western",2021-05-20
Dunkirk,"War,Action,Drama",2017-07-19
Fist of Legend,Action,1994-12-22
Scooby-Doo and the Ghoul School,"Adventure,Animation,Mystery,Family,TV Movie,Comedy,Fantasy",1988-10-16
Adam's Apples,"Drama,Comedy,Crime",2005-04-15
Beauty and the Beast,"Drama,Fantasy,Romance",1946-10-29
Mulan: Rise of a Warrior,"Adventure,Drama,Action",2009-11-26
Training Day,"Action,Crime,Drama",2001-10-05
Ghostbusters,"Comedy,Fantasy",1984-06-08
Sweet Bean,Drama,2015-05-30
Redline,"Animation,Action,Science Fiction",2010-05-27
Boys Don't Cry,"Crime,Drama",1999-09-02
The Devils,"Drama,History",1971-07-01
Facing the Giants,Drama,2006-09-29
The Right Stuff,"Drama,History,Adventure",1983-10-20
Frida,"Drama,Romance",2002-08-29
Eraserhead,"Fantasy,Horror",1977-09-28
Monster Pets: A Hotel Transylvania Short,"Animation,Comedy,Fantasy",2021-04-02
Cape Fear,"Drama,Thriller",1962-04-12
My Cousin Vinny,"Comedy,Crime",1992-03-13
Kingdom: Ashin of the North,"Drama,Fantasy,Thriller",2021-07-23
"Watch Out, We're Mad","Action,Comedy",1974-03-29
The Name of the Rose,"Drama,Thriller,Mystery",1986-09-24
The Secret of NIMH,"Family,Animation,Fantasy,Adventure",1982-06-17
A Better Tomorrow,"Action,Crime,Drama",1986-08-02
Teen Titans: The Judas Contract,"Science Fiction,Animation,Action",2017-03-31
Baby Driver,"Action,Crime",2017-06-28
The Age of Adaline,"Romance,Fantasy,Drama",2015-04-16
Black Box,"Mystery,Thriller,Drama",2021-09-08
Nocturnal Animals,"Drama,Thriller",2016-11-04
Ecce Bombo,"Comedy,Drama",1978-03-08
The Innocents,"Horror,History,Thriller",1961-12-15
Jin-Roh: The Wolf Brigade,"Animation,Science Fiction,Thriller,Drama",1999-11-17
They Call Me Jeeg,"Crime,Drama,Action,Science Fiction",2016-02-25
Richard Jewell,"Drama,History,Crime",2019-12-13
Russian Ark,"Drama,Fantasy,History,Mystery",2002-05-22
The Shack,"Drama,Fantasy",2017-03-03
Don't Torture a Duckling,Horror,1972-09-29
The Hurricane,Drama,1999-09-17
"The Simpsons: The Good, the Bart, and the Loki","Animation,Comedy,Family",2021-07-07
Waves,"Romance,Drama",2019-11-15
Pain and Glory,Drama,2019-03-22
Breathe,"Drama,Romance",2017-10-13
Tekkonkinkreet,"Action,Adventure,Animation",2006-10-21
An Affair to Remember,"Drama,Romance",1957-07-11
Belle de Jour,"Drama,Romance",1967-05-24
Nebraska,"Drama,Adventure",2013-09-21
Scott Pilgrim vs. the World,"Action,Comedy,Romance",2010-08-12
The Secret Life of Bees,"Family,Adventure,Drama",2008-09-17
Chaplin,Drama,1992-12-17
Veer-Zaara,"Drama,Romance",2004-11-12
Back to the Future Part III,"Adventure,Comedy,Science Fiction",1990-05-25
100 Meters,"Comedy,Drama",2016-11-04
Head Full of Honey,"Comedy,Drama",2014-12-25
Unbroken,"Drama,War",2014-12-25
Lemonade Mouth,"Drama,Comedy,TV Movie",2011-12-06
Ip Man 2,"Action,History,Drama",2010-04-29
How the Grinch Stole Christmas!,"Animation,Family,Comedy",1966-12-18
The Last King of Scotland,Drama,2006-01-12
First Blood,"Action,Adventure,Thriller,War",1982-10-22
Just Another Christmas,"Comedy,Family",2020-12-03
PAW Patrol: The Movie,"Animation,Family,Adventure,Comedy",2021-08-09
Suicide Room,"Drama,Thriller,Animation",2011-03-04
Ghost in the Shell 2.0,"Action,Animation,Science Fiction",2008-07-12
High Plains Drifter,"Western,Drama,Mystery",1973-04-19
Caro diario,"Comedy,Drama",1993-10-12
"It's the Great Pumpkin, Charlie Brown","Family,Animation,TV Movie",1966-10-27
Leviathan,Drama,2014-09-24
The Lion in Winter,"Drama,History",1968-10-30
The Thin Red Line,"Drama,History,War",1998-03-05
The Enigma of Kaspar Hauser,"Drama,History",1974-11-01
Miss You Already,"Comedy,Drama",2015-09-12
Cabaret,"Music,Drama,Romance",1972-02-13
Fabrizio De André: Principe libero,"Music,History",2018-01-23
Trinity Is Still My Name,"Comedy,Western",1971-10-21
The Bourne Identity,"Action,Drama,Mystery,Thriller",2002-06-14
A Hard Day's Night,"Music,Comedy",1964-07-07
Spread Your Wings,"Adventure,Family",2019-09-12
Cherry,"Drama,Crime",2021-02-26
Man on Fire,"Action,Drama,Thriller",2004-04-23
The Station Agent,"Drama,Comedy",2003-01-26
I Can Quit Whenever I Want,Comedy,2014-02-06
A Letter to Momo,"Comedy,Fantasy,Animation,Drama,Family",2012-04-21
Star Trek,"Science Fiction,Action,Adventure",2009-05-06
John Wick: Chapter 3 - Parabellum,"Action,Thriller,Crime",2019-05-15
On the Basis of Sex,"Drama,History",2018-12-25
You're Not You,Drama,2014-10-10
The Umbrellas of Cherbourg,"Drama,Romance",1964-02-19
Ray,"Drama,Music",2004-10-29
Once Upon a Time… in Hollywood,"Comedy,Drama,Thriller",2019-07-24
Predestination,"Science Fiction,Thriller",2014-08-28
Alice,"Animation,Fantasy,Adventure",1988-08-03
The Devil's Advocate,"Drama,Mystery,Thriller,Horror",1997-10-17
La Belle Époque,"Comedy,Drama",2019-11-06
American Sniper,"War,Action",2014-12-25
School of Life,"Drama,Comedy,Family",2017-02-22
Captain America: Civil War,"Adventure,Action,Science Fiction",2016-04-27
The Good Lie,Drama,2014-06-27
The Secret of Kells,"Animation,Family,Fantasy",2009-02-09
All That Jazz,Drama,1979-12-16
Rushmore,"Comedy,Drama",1998-12-11
The Reader,"Drama,Romance",2008-01-02
Once Were Warriors,Drama,1994-09-02
Dragon Ball Z: Fusion Reborn,"Animation,Action,Fantasy,Science Fiction",1995-03-04
The Fugitive,"Drama,Action,Thriller",1993-08-06
Blow-Up,"Drama,Mystery,Thriller",1966-12-18
I Can Quit Whenever I Want 3: Ad Honorem,"Action,Comedy",2017-11-30
Miracles from Heaven,Drama,2016-03-17
Big Fish & Begonia,"Animation,Adventure,Fantasy",2016-07-08
The Artist,"Drama,Comedy,Romance",2011-10-12
A Dog's Life,"Comedy,Drama",1918-04-14
Y Tu Mamá También,"Drama,Romance",2001-06-08
Dog,"Drama,Comedy",2022-02-17
Like Crazy,"Drama,Comedy",2016-05-17
Thesis,"Horror,Thriller",1996-04-11
Bram Stoker's Dracula,"Romance,Horror",1992-11-13
The Motorcycle Diaries,Drama,2004-02-06
Vampyr,"Horror,Fantasy",1932-05-06
Apollo 13,"History,Drama,Adventure",1995-06-30
Moxie,"Comedy,Drama,Music",2021-03-03
Mudbound,Drama,2017-11-16
Doctor Strange,"Action,Adventure,Fantasy",2016-10-25
Selma,"History,Drama",2014-12-25
Lone Survivor,"War,Action,Drama,History",2013-12-24
A Woman Is a Woman,"Comedy,Drama,Romance",1961-09-06
The Verdict,Drama,1982-12-08
Black Widow,"Action,Adventure,Science Fiction",2021-07-07
The Red Violin,"Drama,Thriller,Mystery,Music,Romance",1998-09-10
House,"Comedy,Fantasy,Horror",1977-08-26
El Dorado,"Western,Adventure,Action,Romance",1966-12-17
Sin City,"Thriller,Action,Crime",2005-04-01
Greyhound,"War,Action,Drama",2020-07-10
Z-O-M-B-I-E-S,"Music,Fantasy,Comedy,Romance,TV Movie",2018-02-16
Queen,"Comedy,Drama",2014-03-07
The Life of David Gale,"Drama,Thriller,Crime",2003-02-21
Top Hat,"Comedy,Music,Romance",1935-08-29
Wind River,"Crime,Drama,Mystery,Thriller",2017-08-03
His Girl Friday,"Comedy,Drama,Romance",1940-01-18
Pretty Woman,"Romance,Comedy",1990-03-23
Naked,"Drama,Comedy",1993-09-14
Clerks,Comedy,1994-09-13
Happy as Lazzaro,"Drama,Fantasy",2018-05-31
The Hunger Games: Catching Fire,"Adventure,Action,Science Fiction",2013-11-15
Boy,"Drama,Comedy",2010-02-14
Pickup on South Street,"Crime,Thriller,Romance",1953-05-27
Enter the Dragon,Action,1973-08-17
Withnail & I,"Comedy,Drama",1987-06-19
Burning,"Mystery,Drama,Thriller",2018-05-17
Head-On,"Drama,Romance",2004-03-11
The Godfather: Part III,"Crime,Drama,Thriller",1990-12-25
Santa Claus Is a Stinker,Comedy,1985-01-14
Men of Honor,Drama,2000-09-13
When Harry Met Sally...,"Comedy,Romance,Drama",1989-01-12
The Passion of the Christ,Drama,2004-02-25
Being John Malkovich,"Comedy,Drama,Fantasy",1999-10-29
El Angel,"Drama,Crime",2018-08-09
"Oslo, August 31st",Drama,2011-08-31
The Bandit,"Crime,Drama,Thriller",1996-11-29
The Experiment,"Drama,Thriller",2001-03-07
Memoir of a Murderer,"Thriller,Action,Crime",2017-09-07
Justice League: Doom,"Action,Animation,Science Fiction",2012-02-28
American Satan,"Thriller,Drama,Music",2017-10-13
The Raid,"Action,Thriller,Crime",2012-03-22
Okja,"Adventure,Drama,Science Fiction,Fantasy",2017-06-28
"McFarland, USA","Drama,Family",2015-02-20
Sorcerer,"Adventure,Thriller",1977-06-24
Ocean's Eleven,"Thriller,Crime",2001-12-07
Minari,Drama,2021-02-12
Submarine,"Drama,Comedy,Romance",2011-03-18
Sophie's Choice,"Drama,Romance",1982-12-08
The Lego Movie,"Adventure,Animation,Comedy,Family,Fantasy",2014-02-06
Kelly's Heroes,"Adventure,Comedy,War",1970-01-01
A Twelve-Year Night,"Drama,Crime,History",2018-09-20
Frantz,"History,Drama,Romance",2016-09-07
The Lady from Shanghai,"Crime,Drama,Mystery,Thriller",1947-12-24
The Lovers on the Bridge,"Drama,Romance",1991-10-16
First They Killed My Father,"War,Drama,History",2017-02-18
Frances Ha,"Comedy,Drama",2013-05-17
Judas and the Black Messiah,"Drama,History",2021-02-12
Trolls World Tour,"Family,Animation,Comedy,Fantasy,Adventure,Music",2020-03-11
Descendants 2,"Family,Fantasy,TV Movie,Music,Adventure,Action,Romance",2017-07-21
The Florida Project,Drama,2017-10-06
Joyeux Noel,"Drama,War,Romance,History",2005-11-09
Duel,"Action,Thriller,TV Movie",1971-11-13
The Piano,"Drama,Romance",1993-05-19
Contact,"Drama,Science Fiction,Mystery",1997-07-11
The Legend of Drunken Master,"Action,Comedy",1994-02-03
As Good as It Gets,"Comedy,Romance",1997-12-19
The Wind That Shakes the Barley,"Drama,War",2006-03-23
Drive My Car,Drama,2021-08-18
Duck Soup,"Comedy,War",1933-11-12
Inside Man,"Crime,Drama,Thriller",2006-03-17
The Bourne Ultimatum,"Action,Drama,Mystery,Thriller",2007-08-03
This Crazy Heart,Drama,2017-12-21
I Can Quit Whenever I Want 2: Masterclass,"Action,Comedy,Crime",2017-02-02
Swades,Drama,2004-12-17
The Mission,"Adventure,Drama,Action,History",1986-09-29
The Secret Garden,"Drama,Family,Fantasy",1993-08-13
Legends of the Fall,"Adventure,Drama,Romance,War,Western",1994-12-16
Phineas and Ferb: The Movie: Candace Against the Universe,"Family,Animation,Science Fiction,Comedy,TV Movie",2020-08-28
Barbie: Princess Charm School,"Family,Animation,Fantasy",2011-10-05
Daisies,"Comedy,Fantasy",1966-12-30
The Purple Rose of Cairo,"Fantasy,Comedy,Romance",1985-03-01
Once,"Drama,Music,Romance",2006-07-15
Jacob's Ladder,"Drama,Mystery,Horror",1990-11-02
Blood and Black Lace,"Horror,Mystery,Thriller",1964-04-10
Zulu,"Action,Drama,History,War",1964-01-22
Erin Brockovich,Drama,2000-03-17
Lifeboat,"War,Drama",1944-01-28
Bad Education,"Crime,Drama",2004-03-19
The Man Who Copied,"Comedy,Drama,Romance,Crime",2003-06-13
Scooby-Doo! and the Reluctant Werewolf,"Animation,Comedy,Family,Mystery,TV Movie",1988-11-13
Braindead,"Horror,Comedy",1992-08-13
Run,"Thriller,Horror,Drama",2020-11-20
Blindspotting,"Comedy,Drama",2018-07-20
The Peanut Butter Falcon,"Adventure,Drama,Comedy",2019-08-09
Promise at Dawn,"Drama,Romance",2017-12-20
Tarzan,"Family,Adventure,Animation,Drama",1999-06-18
A Place in the Sun,"Drama,Thriller",1951-06-12
Scooby-Doo! in Where's My Mummy?,"Mystery,Animation,Family,Adventure,Comedy,Fantasy",2005-12-13
The Way of the Dragon,"Action,Crime",1972-06-01
Lupin III: The First,"Adventure,Action,Animation",2019-12-06
Mission: Impossible - Fallout,"Action,Adventure",2018-07-13
District 9,Science Fiction,2009-08-05
Women on the Verge of a Nervous Breakdown,"Comedy,Drama",1988-03-25
The Remains of the Day,"Drama,Romance",1993-11-05
Moonlight,Drama,2016-10-21
Palm Trees in the Snow,"Drama,History,Romance",2015-12-25
Glengarry Glen Ross,"Crime,Drama,Mystery",1992-09-15
A Quiet Place,"Horror,Drama,Science Fiction",2018-04-03
Those Happy Days,"Comedy,Family",2006-06-28
Grease,"Romance,Comedy",1978-07-07
Berserk: The Golden Age Arc I - The Egg of the King,"Action,Adventure,Fantasy,Animation",2012-02-03
Black Panther,"Action,Adventure,Science Fiction",2018-02-13
Fruitvale Station,Drama,2013-07-26
"The Cook, the Thief, His Wife & Her Lover","Crime,Drama",1989-10-13
The 39 Steps,"Mystery,Thriller",1935-06-06
Status Update,"Comedy,Fantasy,Science Fiction",2018-02-09
Mesrine: Killer Instinct,"Drama,Action,Thriller,Crime",2008-10-22
Mad Max 2,"Adventure,Action,Thriller,Science Fiction",1981-12-24
The Best of Enemies,"Drama,History",2019-04-05
Once in a Lifetime,Drama,2014-12-03
The Zookeeper's Wife,"Drama,History,War",2017-03-24
Red River,"Western,Adventure,Drama,Romance",1948-08-26
Fantasia,"Animation,Family",1940-04-11
Philomena,Drama,2013-11-01
The Hunt for Red October,"Action,Adventure,Thriller",1990-03-02
Enemy at the Gates,"Drama,War,History",2001-03-14
"Crouching Tiger, Hidden Dragon","Adventure,Drama,Action,Romance",2000-07-06
Freaks Out,"Adventure,Action,Science Fiction",2021-10-28
Creed,Drama,2015-11-25
Batman: Assault on Arkham,"Thriller,Animation,Action,Crime",2014-08-12
Cure,"Crime,Thriller,Horror,Mystery",1997-12-27
The Killers,"Crime,Mystery,Thriller",1946-08-28
August Rush,"Family,Drama,Music",2007-11-21
Adaptation.,"Comedy,Crime,Drama",2002-12-06
The Last of the Mohicans,"Action,Adventure,Drama,History,Romance,War",1992-08-26
Europa,Drama,1991-06-27
Citizen X,"Crime,Drama",1995-02-25
Nosferatu the Vampyre,"Drama,Horror",1979-01-17
Star Wars: Episode III - Revenge of the Sith,"Adventure,Action,Science Fiction",2005-05-17
Little Lord Fauntleroy,"TV Movie,Family,Drama",1980-11-25
"Suddenly, Last Summer","Thriller,Drama,Mystery",1959-12-22
Saw,"Horror,Mystery,Crime",2004-10-01
Father There Is Only One 2,"Comedy,Family",2020-07-29
Justice League Dark,"Science Fiction,Action,Animation,Fantasy,Thriller",2017-03-29
Love and Monsters,"Comedy,Action,Adventure,Fantasy",2020-10-16
New World,"Thriller,Crime,Drama",2013-02-21
Life of Pi,"Adventure,Drama",2012-11-20
The Twelve Tasks of Asterix,"Family,Animation,Comedy,Adventure",1976-06-26
Shine,Drama,1996-08-15
Mon Oncle,Comedy,1958-05-10
Summer of 85,"Romance,Drama",2020-07-14
Stuck in Love,"Drama,Comedy",2013-06-14
The Great Gatsby,"Drama,Romance",2013-05-10
One Day,"Drama,Romance",2011-03-02
Serenity,"Science Fiction,Action,Adventure,Thriller",2005-09-23
Oscar,Comedy,1967-10-11
Office Space,Comedy,1999-02-19
Dead Man Walking,Drama,1995-12-29
Sonic the Hedgehog,"Action,Science Fiction,Comedy,Family",2020-02-12
A Royal Affair,"Drama,History,Romance",2012-03-29
Seconds,"Science Fiction,Thriller",1966-10-05
Scooby-Doo! and the Witch's Ghost,"Animation,Comedy,Mystery,Family,Fantasy",1999-11-05
Nashville,"Drama,Music,Comedy",1975-06-11
The Omen,"Horror,Thriller",1976-06-06
Enter the Void,"Fantasy,Drama",2009-06-17
Malena,Drama,2000-03-16
Beetlejuice,"Fantasy,Comedy",1988-03-30
An American Werewolf in London,"Horror,Comedy",1981-08-21
Lolita,"Crime,Drama,Romance",1962-06-21
Lost in Translation,"Comedy,Drama,Romance",2003-09-18
Sorry We Missed You,Drama,2019-10-04
The Sucker,"Comedy,Crime",1965-03-24
Scooby-Doo! WrestleMania Mystery,"Animation,Comedy,Family,Mystery",2014-03-25
If I Stay,Drama,2014-08-21
The Man in the Moon,"Drama,Family,Romance",1991-09-30
My Father's Glory,"Adventure,Drama",1990-08-29
Juliet of the Spirits,"Comedy,Drama,Fantasy",1965-10-22
Santa Claus Is a Stinker,Comedy,1982-08-25
American Psycho,"Thriller,Drama,Crime",2000-04-13
Interview with the Vampire,"Horror,Drama,Fantasy",1994-11-11
Anima,Music,2019-06-27
The Basketball Diaries,"Drama,Crime",1995-04-21
The Man Without a Past,"Romance,Comedy,Drama",2002-03-01
Masculin Féminin,"Drama,Romance",1966-03-22
The Time Machine,"Thriller,Adventure,Fantasy,Science Fiction,Romance",1960-05-25
Home Alone,"Comedy,Family",1990-11-16
Summer with Monika,"Drama,Romance",1953-02-09
The Fighter,Drama,2010-12-10
Jeremiah Johnson,"Adventure,Western,History",1972-09-10
Down by Law,"Crime,Drama,Comedy",1986-09-20
The Mad Adventures of Rabbi Jacob,Comedy,1973-10-17
The Devil Wears Prada,"Comedy,Drama,Romance",2006-06-29
Now Is Good,"Drama,Romance",2012-05-25
Dazed and Confused,"Comedy,Drama",1993-09-24
Blow,"Crime,Drama",2001-04-04
John Wick,"Action,Thriller",2014-10-22
Chocolate,"Action,Comedy,Crime",2008-02-06
Taken,"Action,Thriller",2008-02-18
Happiest Season,"Romance,Comedy",2020-11-26
Sicario,"Action,Crime,Thriller",2015-09-17
Secretariat,Drama,2010-08-20
Blood and Bone,"Action,Drama,Thriller",2009-02-07
Futurama: Bender's Big Score,"Animation,Comedy,Science Fiction,TV Movie",2008-03-05
25th Hour,"Crime,Drama",2002-12-19
